"";"x"
"(Intercept)";1,43555537505887
"BlueTeamChampionAkali";-1,42122724314491
"BlueTeamChampionAmbessa";-2,88164059903267
"BlueTeamChampionAnivia";-1,13729488132748
"BlueTeamChampionAnnie";0,409761059023727
"BlueTeamChampionAurelionSol";0,675725161146851
"BlueTeamChampionAurora";-1,72347058045997
"BlueTeamChampionAzir";-1,35961892598795
"BlueTeamChampionCaitlyn";-7,78714725463355
"BlueTeamChampionCassiopeia";-0,268082821849228
"BlueTeamChampionChogath";-2,40895762886469
"BlueTeamChampionCorki";-1,87121962042095
"BlueTeamChampionEkko";-7,50796445551509
"BlueTeamChampionEzreal";-7,50796445551548
"BlueTeamChampionFiora";0,810924484536416
"BlueTeamChampionGalio";-0,224268014124005
"BlueTeamChampionGragas";2,78197971745507
"BlueTeamChampionHwei";-0,15297730893398
"BlueTeamChampionIrelia";-4,30474412179976
"BlueTeamChampionJayce";-0,837038386480591
"BlueTeamChampionKaisa";-4,78714725463364
"BlueTeamChampionKarma";2,45761998490432
"BlueTeamChampionKassadin";-3,28031139411677
"BlueTeamChampionKatarina";-3,50796445551516
"BlueTeamChampionKayle";-1,53040729649537
"BlueTeamChampionKogMaw";-3,76967931344172
"BlueTeamChampionKSante";-3,39356798127402
"BlueTeamChampionLeblanc";-2,22088274637723
"BlueTeamChampionLeeSin";-1,36350572369454
"BlueTeamChampionLissandra";-0,103582351183516
"BlueTeamChampionLucian";0,772424063148079
"BlueTeamChampionLux";-4,21387604138086
"BlueTeamChampionMel";-0,415098360804726
"BlueTeamChampionMissFortune";-2,11140456425974
"BlueTeamChampionNaafiri";-0,0519255766099958
"BlueTeamChampionNeeko";-2,17589889902437
"BlueTeamChampionOrianna";0,742938539903716
"BlueTeamChampionOrnn";-10,7347747154161
"BlueTeamChampionPantheon";-3,28588916335242
"BlueTeamChampionRenekton";-1,86736244567387
"BlueTeamChampionRumble";0,564444624941068
"BlueTeamChampionRyze";-0,777956697205019
"BlueTeamChampionSett";1,72082849296706
"BlueTeamChampionSion";-4,93656765912001
"BlueTeamChampionSmolder";-3,14695801585629
"BlueTeamChampionSwain";0,557823836203841
"BlueTeamChampionSylas";-1,06247258470932
"BlueTeamChampionSyndra";-1,55719330659571
"BlueTeamChampionTaliyah";0,564444624939467
"BlueTeamChampionTristana";-1,23318144811579
"BlueTeamChampionTryndamere";-1,36956724531545
"BlueTeamChampionTwistedFate";0,00319456952721067
"BlueTeamChampionVarus";-4,31053104049957
"BlueTeamChampionVeigar";3,28556064608734
"BlueTeamChampionVelkoz";-4,38756805714507
"BlueTeamChampionVex";0,279582200242846
"BlueTeamChampionViktor";-1,5865585158511
"BlueTeamChampionVladimir";-1,52002940664702
"BlueTeamChampionXerath";0,359472563652309
"BlueTeamChampionYasuo";-0,825612396039468
"BlueTeamChampionYone";-1,72232293199722
"BlueTeamChampionZed";-2,79323844534186
"BlueTeamChampionZiggs";0,515796724552064
"BlueTeamChampionZilean";-1,24479314120691
"BlueTeamChampionZoe";1,15009095611965
"RedTeamChampionAhri";-1,90514807856333
"RedTeamChampionAkali";0,756821503392142
"RedTeamChampionAkshan";2,78871263906508
"RedTeamChampionAmbessa";0,20363992807865
"RedTeamChampionAnivia";-0,949211342078826
"RedTeamChampionAnnie";-1,88549639989161
"RedTeamChampionAurelionSol";-1,72953386934633
"RedTeamChampionAurora";-0,383629798448774
"RedTeamChampionAzir";-0,306009743229956
"RedTeamChampionCassiopeia";-0,404284451326931
"RedTeamChampionChogath";-0,346228837378326
"RedTeamChampionCorki";0,35159187957447
"RedTeamChampionDiana";-2,65759867785385
"RedTeamChampionEkko";-5,07593644907095
"RedTeamChampionEzreal";-0,857440339153453
"RedTeamChampionGalio";-2,24647985959521
"RedTeamChampionGragas";3,43413122477004
"RedTeamChampionHwei";-1,72206527295269
"RedTeamChampionIrelia";6,56444462494115
"RedTeamChampionJayce";-1,18859032543267
"RedTeamChampionKarma";-1,4152276023851
"RedTeamChampionKatarina";3,28676755693836
"RedTeamChampionKayle";NA
"RedTeamChampionLeblanc";1,40352344770051
"RedTeamChampionLeeSin";-3,31896465100093
"RedTeamChampionLissandra";-0,961047769501656
"RedTeamChampionLucian";-0,657598677853864
"RedTeamChampionLux";-0,975548101206008
"RedTeamChampionMel";0,951904199619119
"RedTeamChampionNaafiri";1,74635337305565
"RedTeamChampionNasus";7,28676755693847
"RedTeamChampionOrianna";-1,70078065964285
"RedTeamChampionPantheon";-0,333485417689141
"RedTeamChampionRyze";-0,324150810799199
"RedTeamChampionSett";-4,56433575463787
"RedTeamChampionSion";0,6059893781651
"RedTeamChampionSmolder";-0,206727788674889
"RedTeamChampionSwain";-4,31615200715416
"RedTeamChampionSylas";-1,13623089906758
"RedTeamChampionSyndra";0,0724090804563852
"RedTeamChampionTaliyah";-1,72111602114615
"RedTeamChampionTristana";0,945268894475643
"RedTeamChampionTryndamere";0,291249030899969
"RedTeamChampionVeigar";1,20808929365414
"RedTeamChampionVelkoz";-1,17656177350406
"RedTeamChampionVex";-2,54258379247418
"RedTeamChampionViego";-4,69676990230184
"RedTeamChampionViktor";-1,12502433455918
"RedTeamChampionVladimir";3,71342501191446
"RedTeamChampionXerath";-1,60469082081415
"RedTeamChampionYasuo";1,89852488196617
"RedTeamChampionYone";-0,156383868025992
"RedTeamChampionZed";-1,99999999999833
"RedTeamChampionZeri";5,43566424536213
"RedTeamChampionZiggs";0,432977937661873
"RedTeamChampionZilean";0,79854418238307
"RedTeamChampionZoe";-2,82611035346151
