"";"x"
"(Intercept)";-1,02996355216442
"BlueTeamChampionAmumu";-1,31032241778739
"BlueTeamChampionAnnie";-2,86095321783615
"BlueTeamChampionAshe";6,32569407632765
"BlueTeamChampionBard";1,62979976268475
"BlueTeamChampionBlitzcrank";0,972342739066049
"BlueTeamChampionBraum";0,758950333774615
"BlueTeamChampionCamille";-13,4341963602069
"BlueTeamChampionChogath";-10,6743059236716
"BlueTeamChampionElise";-1,52947998152124
"BlueTeamChampionFiddleSticks";2,91676825897277
"BlueTeamChampionGalio";1,84379493231574
"BlueTeamChampionGragas";1,3575626801696
"BlueTeamChampionHwei";-6,73760019205014
"BlueTeamChampionJanna";6,1361516969886
"BlueTeamChampionKarma";1,51874636548557
"BlueTeamChampionLeblanc";-4,25000543816744
"BlueTeamChampionLeeSin";-11,3187677160009
"BlueTeamChampionLeona";-0,886554549550308
"BlueTeamChampionLulu";1,95174445675031
"BlueTeamChampionLux";-0,180927716908196
"BlueTeamChampionMaokai";-2,33974646619219
"BlueTeamChampionMilio";-1,00165549242612
"BlueTeamChampionMonkeyKing";-0,259930871684583
"BlueTeamChampionMorgana";-3,30314174124818
"BlueTeamChampionNami";6,11847424690011
"BlueTeamChampionNautilus";0,0128806909739896
"BlueTeamChampionNeeko";0,0609229424382399
"BlueTeamChampionPantheon";-4,30683846699448
"BlueTeamChampionPoppy";0,348515900799952
"BlueTeamChampionPyke";-0,202028000914027
"BlueTeamChampionRakan";0,933411619709711
"BlueTeamChampionRell";1,00534513112243
"BlueTeamChampionRenata";-0,355618551944364
"BlueTeamChampionSejuani";-8,98723906381998
"BlueTeamChampionSenna";2,53226266943186
"BlueTeamChampionSeraphine";0,10667001301925
"BlueTeamChampionSett";7,26239980794903
"BlueTeamChampionShen";5,03770952711415
"BlueTeamChampionSona";0,68249690567339
"BlueTeamChampionSoraka";4,34605151138854
"BlueTeamChampionTahmKench";-4,43250108385693
"BlueTeamChampionTaric";1,74742944032536
"BlueTeamChampionThresh";-0,709056587444987
"BlueTeamChampionVeigar";1,24990015059162
"BlueTeamChampionYuumi";-0,355667019358575
"BlueTeamChampionZac";-2,49836920089835
"BlueTeamChampionZilean";5,23326125950192
"BlueTeamChampionZyra";2,32569407632777
"RedTeamChampionAmumu";0,23177176174166
"RedTeamChampionAnnie";-1,44055646631406
"RedTeamChampionAshe";2,38558210410869
"RedTeamChampionBard";1,0017701384282
"RedTeamChampionBlitzcrank";1,4105395642128
"RedTeamChampionBraum";-0,574156080685003
"RedTeamChampionCamille";-1,88787721093558
"RedTeamChampionElise";1,2819499292907
"RedTeamChampionFiddleSticks";-1,63689208060787
"RedTeamChampionGalio";1,45891734465618
"RedTeamChampionGragas";-0,583541194683996
"RedTeamChampionJanna";0,804000734193367
"RedTeamChampionKarma";-0,651268731834775
"RedTeamChampionKennen";16,3855821041085
"RedTeamChampionLeblanc";-1,90344806754529
"RedTeamChampionLeona";1,33310529341255
"RedTeamChampionLulu";0,180921785639534
"RedTeamChampionLux";0,0299635521644506
"RedTeamChampionMaokai";0,289894423849057
"RedTeamChampionMel";4,09655193245465
"RedTeamChampionMilio";-1,37332350028742
"RedTeamChampionNami";1,21089126907262
"RedTeamChampionNautilus";1,7800634015729
"RedTeamChampionNeeko";1,01720261598443
"RedTeamChampionNidalee";5,07821909541411
"RedTeamChampionOrnn";3,52085064111618
"RedTeamChampionPantheon";3,27996899033123
"RedTeamChampionPoppy";1,83040157452311
"RedTeamChampionPyke";1,77985306138244
"RedTeamChampionRakan";-0,652533353508967
"RedTeamChampionRell";-0,232436255785016
"RedTeamChampionRenata";0,704269475836728
"RedTeamChampionSenna";1,00201603860743
"RedTeamChampionSeraphine";-2,43384940236735
"RedTeamChampionShen";-1,53584008762818
"RedTeamChampionSoraka";2,45325837833171
"RedTeamChampionTahmKench";0,73465984991356
"RedTeamChampionTaric";0,393969311585387
"RedTeamChampionThresh";-0,608409404341725
"RedTeamChampionYuumi";0,441767223270073
"RedTeamChampionZac";5,46428608322737
"RedTeamChampionZilean";3,53071431832746
"RedTeamChampionZyra";4,09655193245466
