"";"x"
"(Intercept)";0,74854782322845
"BlueTeamChampionAkali";-1,3182833975953
"BlueTeamChampionAmbessa";-0,49214185714719
"BlueTeamChampionAnivia";0,624489951642027
"BlueTeamChampionAurora";0,712230929213111
"BlueTeamChampionAzir";0,271969933370106
"BlueTeamChampionCamille";-0,592271329852598
"BlueTeamChampionCassiopeia";4,00204223778117
"BlueTeamChampionChogath";0,0714481488200589
"BlueTeamChampionCorki";1,42586211724394
"BlueTeamChampionDarius";-0,994704519441641
"BlueTeamChampionDiana";-2,72803006663001
"BlueTeamChampionDraven";-3,83810008157189
"BlueTeamChampionDrMundo";-1,68901602819543
"BlueTeamChampionFiora";-1,63190297815918
"BlueTeamChampionGalio";1,62522754374363
"BlueTeamChampionGangplank";2,49241995891398
"BlueTeamChampionGaren";-1,50373099289058
"BlueTeamChampionGnar";-0,0172045982592922
"BlueTeamChampionGragas";1,30851288748452
"BlueTeamChampionGwen";-0,147876279879959
"BlueTeamChampionIrelia";-2,04407573749537
"BlueTeamChampionJax";-0,686181803472558
"BlueTeamChampionJayce";-0,413092313511312
"BlueTeamChampionKaisa";8,41537091445704
"BlueTeamChampionKalista";-0,0670434580290088
"BlueTeamChampionKarma";-3,39536921177685
"BlueTeamChampionKayle";5,32029534031611
"BlueTeamChampionKayn";-0,510197963984226
"BlueTeamChampionKennen";-0,437183733918971
"BlueTeamChampionKled";-0,238030037612272
"BlueTeamChampionKSante";0,764017287012952
"BlueTeamChampionLeblanc";-7,72803006662993
"BlueTeamChampionMalphite";1,08278095065504
"BlueTeamChampionMaokai";-0,169905287225339
"BlueTeamChampionMissFortune";-1,51299005910374
"BlueTeamChampionMonkeyKing";0,572220572413247
"BlueTeamChampionMordekaiser";-1,20463639910314
"BlueTeamChampionNaafiri";5,66120313791762
"BlueTeamChampionNasus";-0,23803003761223
"BlueTeamChampionNautilus";3,93678118782526
"BlueTeamChampionNeeko";-4,58462908554307
"BlueTeamChampionNidalee";-0,999475840820953
"BlueTeamChampionOlaf";-0,847968346150799
"BlueTeamChampionOrnn";1,83935797012805
"BlueTeamChampionPantheon";-1,23781117982306
"BlueTeamChampionPoppy";0,471170062560631
"BlueTeamChampionQuinn";-0,437006236586361
"BlueTeamChampionRenekton";-0,335495021192519
"BlueTeamChampionRiven";1,27196993337017
"BlueTeamChampionRumble";-0,24100821943198
"BlueTeamChampionRyze";-0,139909824907483
"BlueTeamChampionSejuani";5,08867043842239
"BlueTeamChampionSett";-0,179692911694191
"BlueTeamChampionShen";4,2184444448717
"BlueTeamChampionSinged";-5,02472590843508
"BlueTeamChampionSion";0,681795922251647
"BlueTeamChampionSmolder";-2,67970465968387
"BlueTeamChampionSwain";3,9329565419709
"BlueTeamChampionSylas";1,42586211724379
"BlueTeamChampionTrundle";3,3957189295599
"BlueTeamChampionTryndamere";-3,23068094874887
"BlueTeamChampionUdyr";-1,26732408922064
"BlueTeamChampionUrgot";-1,16732375334305
"BlueTeamChampionVarus";0,136730163608783
"BlueTeamChampionVayne";-0,380192881900742
"BlueTeamChampionVex";-4,02472590843517
"BlueTeamChampionVi";-1,58462908554291
"BlueTeamChampionVladimir";-2,00357896006096
"BlueTeamChampionVolibear";-1,01589700203971
"BlueTeamChampionWarwick";-1,53106160229133
"BlueTeamChampionXerath";1,93295654197097
"BlueTeamChampionYasuo";-2,50319456533608
"BlueTeamChampionYone";-3,01165199250475
"BlueTeamChampionYorick";-0,078394451562856
"BlueTeamChampionZac";-4,15706714825368
"RedTeamChampionAkali";-1,51256511024141
"RedTeamChampionAmbessa";-0,723821914793316
"RedTeamChampionAnivia";0,455909452230556
"RedTeamChampionAurora";-0,00640344494331939
"RedTeamChampionCamille";-0,977670517747246
"RedTeamChampionCassiopeia";-6,02434227289906
"RedTeamChampionChogath";-0,0482243564817543
"RedTeamChampionDarius";-0,627996662425902
"RedTeamChampionDraven";2,66454449028287
"RedTeamChampionDrMundo";-0,704084744049141
"RedTeamChampionFiora";1,09810329405967
"RedTeamChampionGalio";-2,47693779564876
"RedTeamChampionGangplank";-0,543849738669934
"RedTeamChampionGaren";-0,521301052654875
"RedTeamChampionGnar";-1,17440994047224
"RedTeamChampionGragas";-1,23555776412468
"RedTeamChampionGwen";-0,0205177565986126
"RedTeamChampionIrelia";2,93762069585167
"RedTeamChampionJax";-0,213332212138188
"RedTeamChampionJayce";-1,16391873768553
"RedTeamChampionKarma";-3,72378523365628
"RedTeamChampionKennen";-2,17166563348448
"RedTeamChampionKled";-0,372091143366192
"RedTeamChampionKSante";-0,681504365199402
"RedTeamChampionLeeSin";-2,67015337166559
"RedTeamChampionMalphite";-0,658417186726567
"RedTeamChampionMaokai";-2,07725326131544
"RedTeamChampionMel";-1,3730377748704
"RedTeamChampionMonkeyKing";-0,55581193085371
"RedTeamChampionMordekaiser";0,694875938113152
"RedTeamChampionNaafiri";-1,60067154334847
"RedTeamChampionNautilus";0,547587841697826
"RedTeamChampionNidalee";-1,23884905379359
"RedTeamChampionOlaf";-0,589634092840698
"RedTeamChampionOrnn";-1,83089449965884
"RedTeamChampionPantheon";-3,00832859602976
"RedTeamChampionPoppy";-2,15905433371725
"RedTeamChampionRenekton";-0,409750961146057
"RedTeamChampionRengar";-1,51256511024143
"RedTeamChampionRiven";-3,50753960379645
"RedTeamChampionRumble";-1,5105177856162
"RedTeamChampionRyze";0,216464300585281
"RedTeamChampionSejuani";-3,39295068574437
"RedTeamChampionSett";-0,24030914909494
"RedTeamChampionShen";-1,99317471086336
"RedTeamChampionSion";-2,45618196188981
