"";"x"
"(Intercept)";1,18226810020698
"BlueTeamChampionAshe";-0,859876100418461
"BlueTeamChampionBrand";-1,19516253643665
"BlueTeamChampionCaitlyn";-0,788207555166246
"BlueTeamChampionCorki";-1,03799458428453
"BlueTeamChampionDraven";0,159748768054494
"BlueTeamChampionEzreal";-1,06655038112902
"BlueTeamChampionGalio";-1,1951625364367
"BlueTeamChampionGnar";-1,93535249598918
"BlueTeamChampionHwei";0,769599341290788
"BlueTeamChampionJhin";-1,35824811734644
"BlueTeamChampionJinx";-0,700034961665807
"BlueTeamChampionKaisa";-1,18203643551269
"BlueTeamChampionKalista";-0,826615883819316
"BlueTeamChampionKogMaw";0,678769620984606
"BlueTeamChampionLeeSin";1,15531899145082
"BlueTeamChampionLucian";-1,07900865782805
"BlueTeamChampionLux";-2,34684196764863
"BlueTeamChampionMel";-0,157504764000857
"BlueTeamChampionMissFortune";-0,742727943188311
"BlueTeamChampionNilah";-2,84468100854928
"BlueTeamChampionRumble";1,65315803235142
"BlueTeamChampionSenna";0,444291614450592
"BlueTeamChampionSeraphine";-1,68085795945409
"BlueTeamChampionSion";-1,44394595162861
"BlueTeamChampionSivir";-1,10355256519157
"BlueTeamChampionSmolder";-0,833950329309161
"BlueTeamChampionSwain";1,76959934129093
"BlueTeamChampionTaliyah";-2,55570838554941
"BlueTeamChampionTristana";-1,35762047428742
"BlueTeamChampionTwitch";-1,20252369277897
"BlueTeamChampionVarus";-0,654818116649012
"BlueTeamChampionVayne";-2,42765039190377
"BlueTeamChampionViktor";1,26959934129082
"BlueTeamChampionXayah";-1,00542987635799
"BlueTeamChampionYasuo";-0,0375408336291829
"BlueTeamChampionZeri";-1,23035543235313
"BlueTeamChampionZiggs";0,0495299616510246
"BlueTeamChampionZyra";-1,19516253643662
"RedTeamChampionAshe";-0,770908919347387
"RedTeamChampionBrand";-2,527449983558
"RedTeamChampionCaitlyn";-0,340052994124263
"RedTeamChampionCassiopeia";-2,11571771907794
"RedTeamChampionCorki";0,0481325585021843
"RedTeamChampionDraven";-0,0503349495157491
"RedTeamChampionEzreal";-0,0908399006935138
"RedTeamChampionHwei";-3,32401998286054
"RedTeamChampionJhin";0,0128944362296296
"RedTeamChampionJinx";-0,35605431117401
"RedTeamChampionKaisa";0,164573867441614
"RedTeamChampionKalista";-0,626559714657532
"RedTeamChampionKogMaw";-2,4148882358003
"RedTeamChampionLucian";0,19471897015527
"RedTeamChampionMel";-0,725164908492026
"RedTeamChampionMissFortune";-0,255987155435701
"RedTeamChampionNilah";-1,17586286153641
"RedTeamChampionOrianna";-2,52744998355796
"RedTeamChampionOrnn";-0,000231664694299323
"RedTeamChampionRumble";2,88428228092204
"RedTeamChampionSenna";1,60240381329681
"RedTeamChampionSeraphine";-0,372261443377717
"RedTeamChampionSivir";-0,0322537922246421
"RedTeamChampionSmolder";-0,716569312835522
"RedTeamChampionSwain";0,383308783986413
"RedTeamChampionTahmKench";-3,43954015701872
"RedTeamChampionTaliyah";-1,22209358032966
"RedTeamChampionTristana";-0,144670966189638
"RedTeamChampionTwitch";-0,802995148927638
"RedTeamChampionVarus";-0,246915604217794
"RedTeamChampionVayne";-1,2594275460552
"RedTeamChampionVeigar";-2,52744998355795
"RedTeamChampionVelkoz";-0,115717719077973
"RedTeamChampionXayah";-0,337587091657758
"RedTeamChampionXerath";2,17535237408047
"RedTeamChampionYasuo";1,01776686145886
"RedTeamChampionZeri";-0,168788891226922
"RedTeamChampionZiggs";-0,507144809150251
