"";"x"
"(Intercept)";0,523904513735087
"BlueTeamChampionAmumu";2,05784856523427
"BlueTeamChampionAnnie";-2,26795633529568
"BlueTeamChampionAshe";-1,47275572890767
"BlueTeamChampionBard";-0,627283212272479
"BlueTeamChampionBlitzcrank";-0,641348298794356
"BlueTeamChampionBraum";-0,76148698284111
"BlueTeamChampionCamille";6,66790991930214
"BlueTeamChampionChogath";2,52724427109212
"BlueTeamChampionElise";0,417887857420321
"BlueTeamChampionFiddleSticks";-0,960270369803978
"BlueTeamChampionGalio";-0,426139739990192
"BlueTeamChampionGragas";-1,21017775516795
"BlueTeamChampionHwei";2,55841994270522
"BlueTeamChampionJanna";-1,96729014251392
"BlueTeamChampionKarma";-1,28428937773457
"BlueTeamChampionLeblanc";-0,293836900679545
"BlueTeamChampionLeeSin";1,34544896454824
"BlueTeamChampionLeona";0,292920950243033
"BlueTeamChampionLulu";-1,35302368493413
"BlueTeamChampionLux";-0,482329192459239
"BlueTeamChampionMaokai";0,405911061037736
"BlueTeamChampionMilio";-0,126556084168866
"BlueTeamChampionMonkeyKing";0,702970192988781
"BlueTeamChampionMorgana";1,08930741135198
"BlueTeamChampionNami";-3,21221558144125
"BlueTeamChampionNautilus";-0,244069392355552
"BlueTeamChampionNeeko";-0,349564102186213
"BlueTeamChampionPantheon";0,793667481239673
"BlueTeamChampionPoppy";-0,772144179745313
"BlueTeamChampionPyke";-0,677020743592854
"BlueTeamChampionRakan";-0,745558390544592
"BlueTeamChampionRell";-0,192819182534705
"BlueTeamChampionRenata";-0,0905981703996046
"BlueTeamChampionSejuani";1,41727576196634
"BlueTeamChampionSenna";-0,728803063090884
"BlueTeamChampionSeraphine";-1,31194937355843
"BlueTeamChampionSett";-0,44158005729459
"BlueTeamChampionShen";-1,92251821360758
"BlueTeamChampionSona";0,0263897191169305
"BlueTeamChampionSoraka";-1,99009017450862
"BlueTeamChampionTahmKench";1,02040159880309
"BlueTeamChampionTaric";-0,417757652379084
"BlueTeamChampionThresh";-0,1800046380397
"BlueTeamChampionVeigar";-4,03257851659315
"BlueTeamChampionYuumi";-1,3799814815762
"BlueTeamChampionZac";1,23624522655353
"BlueTeamChampionZilean";-2,10114370218267
"BlueTeamChampionZyra";-1,47275572890775
"RedTeamChampionAmumu";-0,607137674551986
"RedTeamChampionAnnie";1,05820762884454
"RedTeamChampionAshe";-1,43330634333544
"RedTeamChampionBard";-0,0205703597368702
"RedTeamChampionBlitzcrank";-0,48315785949152
"RedTeamChampionBraum";0,466650796195133
"RedTeamChampionCamille";-0,724135035134877
"RedTeamChampionElise";0,336513381866722
"RedTeamChampionFiddleSticks";0,914764283689512
"RedTeamChampionGalio";-0,205993713742786
"RedTeamChampionGragas";0,792405738567662
"RedTeamChampionJanna";0,0239007532241373
"RedTeamChampionKarma";0,130646521716699
"RedTeamChampionKennen";-7,43330634333548
"RedTeamChampionLeblanc";-3,77834612319049
"RedTeamChampionLeona";-0,613211925087034
"RedTeamChampionLulu";0,386896374202368
"RedTeamChampionLux";0,476095486264916
"RedTeamChampionMaokai";-0,226874706723851
"RedTeamChampionMel";-0,778346123190488
"RedTeamChampionMilio";0,914056285304818
"RedTeamChampionNami";-0,0415753212759046
"RedTeamChampionNautilus";-0,491325997142011
"RedTeamChampionNeeko";0,058819724298576
"RedTeamChampionNidalee";-2,17088082880098
"RedTeamChampionOrnn";-3,30546022628993
"RedTeamChampionPantheon";-1,23006761305538
"RedTeamChampionPoppy";-0,337947041898883
"RedTeamChampionPyke";0,254862269278718
"RedTeamChampionRakan";0,449705767148004
"RedTeamChampionRell";-0,0823244564404645
"RedTeamChampionRenata";-0,051148784827394
"RedTeamChampionSenna";-0,0111329135128691
"RedTeamChampionSeraphine";0,267389214366627
"RedTeamChampionShen";-1,19181443303725
"RedTeamChampionSoraka";-1,88437138295785
"RedTeamChampionTahmKench";0,400251188853634
"RedTeamChampionTaric";-0,866289007831557
"RedTeamChampionThresh";0,335224439379537
"RedTeamChampionYuumi";-0,668979288667625
"RedTeamChampionZac";-1,7957620268367
"RedTeamChampionZilean";-1,47597139304818
"RedTeamChampionZyra";0,221653876809504
