"";"Champion";"Side";"Role";"Kills";"Deaths";"Assists";"CSAt15Min";"CSAtEnd";"GoldAt15Min";"GoldAtEnd";"Games_played"
"1";"(Intercept)";"(Intercept)";"bottom";-2,21934398840776;1,18226810020698;-1,5689476617716;-12,3881549078271;-22,5406438067998;-514,281600042135;-2364,47779354154;NA
"2";"(Intercept)";"(Intercept)";"jungle";0,863183089192694;-1,0702890710995;-1,32330397993476;-12,4752510982242;-32,186573473027;174,459066029366;-310,18769178854;NA
"3";"(Intercept)";"(Intercept)";"mid";3,22657795973489;-4,53918952581124;1,43555537505887;24,624788812298;58,7593041101439;836,643926870369;2907,47077625178;NA
"4";"(Intercept)";"(Intercept)";"support";-0,137208047412769;0,523904513735087;-1,02996355216442;0,755394391244341;0,411325370679997;-71,8224240220829;-177,390474844975;NA
"5";"(Intercept)";"(Intercept)";"top";0,164501464609153;-0,40768524300849;0,74854782322845;-1,61956423874253;2,90108530232697;-41,7677723646009;83,400295263156;NA
"6";"Aatrox";"Blue";"top";0;0;0;0;0;0;0;94
"7";"Aatrox";"Red";"mid";0;0;0;0;0;0;0;1
"8";"Aatrox";"Red";"top";0;0;0;0;0;0;0;83
"9";"Ahri";"Blue";"mid";0;0;0;0;0;0;0;211
"10";"Ahri";"Red";"mid";3,5085355465847;-4,65817545175779;1,90514807856333;24,1866115450111;59,9409077391617;865,261504153354;3236,2911905699;231
"11";"Akali";"Blue";"mid";1,02503248644973;0,454462063621165;-1,42122724314491;-1,04628495266584;-4,97235665358967;18,6702435473264;242,141538177549;84
"12";"Akali";"Blue";"top";0,975161433622627;0,141801891710267;-1,3182833975953;13,8539560686033;6,09309086071199;452,720898884809;439,540669891334;13
"13";"Akali";"Red";"mid";4,20499348842105;-3,88013503053231;-0,756821503392142;24,0555549737662;54,4043345876432;968,55770920655;3094,84362326494;74
"14";"Akali";"Red";"top";0,624869312526746;0,121459447880836;1,51256511024141;6,69996800322249;24,5775072070825;115,763989789125;1223,30158061264;2
"15";"Akshan";"Red";"mid";5,62639475114835;-3,52114258292545;-2,78871263906508;27,9752488016118;115,668615850929;425,391565168074;7378,21863351659;1
"16";"Alistar";"Blue";"support";0;0;0;0;0;0;0;292
"17";"Alistar";"Red";"support";0;0;0;0;0;0;0;267
"18";"Ambessa";"Blue";"jungle";0;0;0;0;0;0;0;6
"19";"Ambessa";"Blue";"mid";-2,26247691661117;2,39252960699722;-2,88164059903267;-6,9539329991661;-9,65979863241102;-433,836243514443;-984,714118399105;19
"20";"Ambessa";"Blue";"top";0,274833285433927;0,131340838090125;-0,49214185714719;-2,42354212170666;0,942384819646367;-20,8726447201844;227,267688321248;351
"21";"Ambessa";"Red";"jungle";0;0;0;0;0;0;0;4
"22";"Ambessa";"Red";"mid";4,06797870692502;-4,21925557302897;-0,20363992807865;24,7075004456168;67,2944530669037;849,947475780927;3745,37781398976;15
"23";"Ambessa";"Red";"top";0,379106655144392;-0,556775916763996;0,723821914793316;-1,00680707949408;5,48812224840615;7,4507001505643;413,143398966915;315
"24";"Amumu";"Blue";"jungle";-0,740297184131296;1,5604974018622;1,46538074578986;11,9155319169067;5,36879548644977;-127,759097877223;-71,2632629379369;12
"25";"Amumu";"Blue";"support";-0,551643319240145;2,05784856523427;-1,31032241778739;-1,91048276458042;2,54601453664761;40,8241081381346;-419,807877381438;2
"26";"Amumu";"Red";"jungle";-0,260671230246208;0,710136885961497;0,949277127315383;-0,567056128712625;-23,6895404553755;112,578315120939;-381,071060876652;8
"27";"Amumu";"Red";"support";-0,418599003621276;0,607137674551986;-0,23177176174166;2,37907578855751;0,584056205745944;-27,5350713717084;-292,988494510075;5
"28";"Anivia";"Blue";"mid";-0,331345716020256;0,00133243283992979;-1,13729488132748;2,26307349279819;-2,63017328127703;-304,329274821369;813,745884896684;3
"29";"Anivia";"Blue";"top";0,92197754127132;-0,880438099535021;0,624489951642027;4,53938413384431;21,3136539077061;508,0885958941;1678,04698018132;3
"30";"Anivia";"Red";"mid";2,0140340855653;-4,18099096934577;0,949211342078826;26,1668038679068;67,2728523413353;1079,56800664911;3086,3546558785;5
"31";"Anivia";"Red";"top";-0,863540738603136;0,879132596932802;-0,455909452230556;6,30389063914451;8,50292805535046;-100,167253956469;145,725562292051;3
"32";"Annie";"Blue";"mid";-1,71824411313931;1,9498590615345;0,409761059023727;-6,71386533034691;-12,8299820202896;-310,92747588616;-861,28774921817;5
"33";"Annie";"Blue";"support";0,152589096036302;-2,26795633529568;-2,86095321783615;4,09593838035377;10,2779342319093;87,0537231963038;210,245769932944;2
"34";"Annie";"Red";"mid";3,89083294564844;-3,97860434999822;1,88549639989161;25,6598657808453;42,8880847776735;1093,18197567425;2993,77286890044;11
"35";"Annie";"Red";"support";3,78489440306318;-1,05820762884454;1,44055646631406;0,208149871318465;6,59544346568192;256,47168497249;1795,26366198284;1
"36";"Aphelios";"Blue";"bottom";0;0;0;0;0;0;0;12
"37";"Aphelios";"Red";"bottom";0;0;0;0;0;0;0;11
"38";"Ashe";"Blue";"bottom";1,42681849610583;-0,859876100418461;2,34757441513977;12,5624146822632;2,00779687638567;268,328160049156;1045,54698761695;164
"39";"Ashe";"Blue";"support";0,115458409671717;-1,47275572890767;6,32569407632765;-2,3654086221675;8,23805595310246;286,695003996271;2107,12731062276;1
"40";"Ashe";"Red";"bottom";-1,73646982984001;0,770908919347387;0,308218460906521;-3,3386842432003;-27,3452137467377;-382,206190583134;-1757,90293277844;152
"41";"Ashe";"Red";"support";0,641441611423101;1,43330634333544;-2,38558210410869;-7,25466131395317;10,0067094850189;-119,991498373688;714,189445225547;1
