"";"x"
"(Intercept)";3,0778891064222
"BlueTeamChampionAshe";8,41971368482684
"BlueTeamChampionBrand";-34,377935747369
"BlueTeamChampionCaitlyn";15,1995743107714
"BlueTeamChampionCorki";8,78138728571762
"BlueTeamChampionDraven";5,62741747528458
"BlueTeamChampionEzreal";7,82912520136355
"BlueTeamChampionGalio";27,059284330307
"BlueTeamChampionGnar";-44,8096860205897
"BlueTeamChampionHwei";15,0956736108137
"BlueTeamChampionJhin";6,1104619434916
"BlueTeamChampionJinx";7,57386849211679
"BlueTeamChampionKaisa";2,40814713305229
"BlueTeamChampionKalista";14,6708800839933
"BlueTeamChampionKogMaw";8,56931489934603
"BlueTeamChampionLeeSin";-2,75411560928565
"BlueTeamChampionLucian";12,2572735688761
"BlueTeamChampionLux";11,1005025285011
"BlueTeamChampionMel";4,2541430360346
"BlueTeamChampionMissFortune";10,0139361301551
"BlueTeamChampionNilah";17,5751271007738
"BlueTeamChampionRumble";29,6294856958542
"BlueTeamChampionSenna";-80,7219922012275
"BlueTeamChampionSeraphine";-6,6246076322925
"BlueTeamChampionSion";42,3803336468111
"BlueTeamChampionSivir";3,94362056257608
"BlueTeamChampionSmolder";-3,12712018281224
"BlueTeamChampionSwain";24,0423414126924
"BlueTeamChampionTaliyah";16,2713202957205
"BlueTeamChampionTristana";-1,92201638759426
"BlueTeamChampionTwitch";-14,4262649407404
"BlueTeamChampionVarus";10,7325664187811
"BlueTeamChampionVayne";4,35982541494933
"BlueTeamChampionViktor";-39,9764410532947
"BlueTeamChampionXayah";7,8597077700911
"BlueTeamChampionYasuo";9,98745197136211
"BlueTeamChampionZeri";5,40196045448085
"BlueTeamChampionZiggs";11,1180318310642
"BlueTeamChampionZyra";3,63130325342462
"RedTeamChampionAshe";-6,26133571851788
"RedTeamChampionBrand";5,68746878597846
"RedTeamChampionCaitlyn";-9,98002844231583
"RedTeamChampionCassiopeia";-9,44161784667334
"RedTeamChampionCorki";-7,6336232418612
"RedTeamChampionDraven";-14,8291710987825
"RedTeamChampionEzreal";-4,98885172697785
"RedTeamChampionHwei";-2,30367104745567
"RedTeamChampionJhin";-3,78428765473494
"RedTeamChampionJinx";-3,15640897201583
"RedTeamChampionKaisa";-2,99690747425576
"RedTeamChampionKalista";-5,94765034697212
"RedTeamChampionKogMaw";-6,07247431789216
"RedTeamChampionLucian";-3,30636740285984
"RedTeamChampionMel";-1,39654796273669
"RedTeamChampionMissFortune";-9,08302864415998
"RedTeamChampionNilah";-2,21761564740026
"RedTeamChampionOrianna";34,858483188748
"RedTeamChampionOrnn";-21,8201387694314
"RedTeamChampionRumble";-4,19981031937094
"RedTeamChampionSenna";96,1783743959863
"RedTeamChampionSeraphine";10,4679155197331
"RedTeamChampionSivir";-0,694734730373852
"RedTeamChampionSmolder";2,65473722751223
"RedTeamChampionSwain";3,6947663288379
"RedTeamChampionTahmKench";5,9705219324729
"RedTeamChampionTaliyah";2,88902030779505
"RedTeamChampionTristana";-0,158922869637607
"RedTeamChampionTwitch";13,4561591181573
"RedTeamChampionVarus";-6,52245357987102
"RedTeamChampionVayne";-30,3323420196556
"RedTeamChampionVeigar";-8,73257625237321
"RedTeamChampionVelkoz";-11,7965468984836
"RedTeamChampionXayah";-5,84191587425284
"RedTeamChampionXerath";-16,7381266759161
"RedTeamChampionYasuo";-103,133499996183
"RedTeamChampionZeri";-2,67078695942215
"RedTeamChampionZiggs";-3,96125076472573
"BlueTeamPlayer1M MetroArcher";-64,7644568990505
