"";"x"
"(Intercept)";-15,8705692997117
"BlueTeamChampionAmumu";14,1716236459476
"BlueTeamChampionBelveth";20,5693477826602
"BlueTeamChampionBrand";9,58177564196632
"BlueTeamChampionDarius";27,5405493797383
"BlueTeamChampionDiana";22,3818053699066
"BlueTeamChampionDrMundo";11,7737758546092
"BlueTeamChampionElise";9,72186340743496
"BlueTeamChampionGragas";10,9757920486698
"BlueTeamChampionGwen";29,7109996588037
"BlueTeamChampionHecarim";32,6866925646218
"BlueTeamChampionIvern";7,42362128446847
"BlueTeamChampionJarvanIV";15,5038036802879
"BlueTeamChampionJax";4,14274256885753
"BlueTeamChampionKarthus";34,9727728091032
"BlueTeamChampionKayn";33,9315275902312
"BlueTeamChampionKhazix";31,7653025705831
"BlueTeamChampionKindred";22,4882695246096
"BlueTeamChampionLeeSin";15,4388172000767
"BlueTeamChampionLillia";20,1500941574522
"BlueTeamChampionMaokai";8,04858434107116
"BlueTeamChampionMasterYi";18,8091659498062
"BlueTeamChampionMonkeyKing";10,3146494109895
"BlueTeamChampionMorgana";7,12467945786977
"BlueTeamChampionNaafiri";20,1436419872101
"BlueTeamChampionNautilus";1,58436000613575
"BlueTeamChampionNeeko";20,2096368832911
"BlueTeamChampionNidalee";23,2927666789164
"BlueTeamChampionNocturne";17,5911071931136
"BlueTeamChampionNunu";14,4449911620825
"BlueTeamChampionOlaf";23,8547742054989
"BlueTeamChampionPantheon";14,2087454808523
"BlueTeamChampionPoppy";10,0708926316619
"BlueTeamChampionRekSai";13,5408596074457
"BlueTeamChampionRengar";40,8217789136538
"BlueTeamChampionRumble";17,2196328297818
"BlueTeamChampionSejuani";10,0430776399803
"BlueTeamChampionSion";-15,8428996569912
"BlueTeamChampionSkarner";8,91897174453373
"BlueTeamChampionTaliyah";14,5791954027095
"BlueTeamChampionTrundle";21,7385414459864
"BlueTeamChampionVi";13,6519654393565
"BlueTeamChampionViego";19,1071457167809
"BlueTeamChampionVolibear";14,1608099769729
"BlueTeamChampionXinZhao";13,507152044812
"BlueTeamChampionZac";12,1980691234604
"BlueTeamChampionZed";16,7386374216096
"BlueTeamChampionZyra";23,5280970987637
"RedTeamChampionAmumu";11,6906416653354
"RedTeamChampionBelveth";3,08632005659451
"RedTeamChampionBrand";-3,58148901667053
"RedTeamChampionDarius";-8,73614887836034
"RedTeamChampionDiana";6,08753173967581
"RedTeamChampionDrMundo";3,26692220622231
"RedTeamChampionFiddleSticks";35,9280262328111
"RedTeamChampionGraves";-11,5915343079871
"RedTeamChampionGwen";-3,79708054805203
"RedTeamChampionHecarim";-11,4700483572739
"RedTeamChampionIvern";13,8626619134998
"RedTeamChampionJarvanIV";7,00618817416615
"RedTeamChampionJax";5,10378220081378
"RedTeamChampionKarthus";-2,67314950781266
"RedTeamChampionKayn";9,75396047421321
"RedTeamChampionKhazix";-18,1384503530301
"RedTeamChampionKindred";-2,43735395323166
"RedTeamChampionLeeSin";10,6662567904411
"RedTeamChampionLillia";0,019521410726079
"RedTeamChampionMaokai";11,6422790730666
"RedTeamChampionMonkeyKing";7,96900776176621
"RedTeamChampionMordekaiser";-40,2696243195046
"RedTeamChampionMorgana";15,7212630944937
"RedTeamChampionNaafiri";2,49148557675452
"RedTeamChampionNidalee";1,19711993450035
"RedTeamChampionNocturne";0,991885715815677
"RedTeamChampionNunu";2,42243340361025
"RedTeamChampionOlaf";13,3721307015966
"RedTeamChampionPantheon";7,41544710441169
"RedTeamChampionPoppy";11,721082930788
"RedTeamChampionRekSai";1,18323855993097
"RedTeamChampionSejuani";10,5198700019866
"RedTeamChampionShaco";31,9674925702321
"RedTeamChampionShyvana";10,609481446459
"RedTeamChampionSkarner";12,9179748485774
"RedTeamChampionTaliyah";1,58508609910485
"RedTeamChampionTrundle";7,44894995890066
"RedTeamChampionUdyr";9,80219683643537
"RedTeamChampionVi";6,14563352104058
"RedTeamChampionViego";-1,39535092354106
"RedTeamChampionVolibear";1,0013760977515
"RedTeamChampionXinZhao";6,91852187606778
"RedTeamChampionYorick";-12,1327826599195
"RedTeamChampionZac";16,7603725555536
"RedTeamChampionZed";-16,3453907020265
"RedTeamChampionZyra";-3,96889863382727
"BlueTeamPlayer1M Djoko";-15,9123696089115
"BlueTeamPlayer1M Noodle";-20,537005030123
"BlueTeamPlayer5M Theop";-23,4751814774503
"BlueTeamPlayer7D AlluK";-18,5612720721805
"BlueTeamPlayerAFW D4nKa";-10,669772034096
"BlueTeamPlayerALTarzan";3,86471705036871
"BlueTeamPlayerAMI Lojaz";-9,80920256621142
"BlueTeamPlayerANB Ajwad";-20,878398397937
"BlueTeamPlayerANB alex234";-16,8640023235069
"BlueTeamPlayerANB SANTA";-30,1852187236938
"BlueTeamPlayerANC Fragola";-23,4209330277979
"BlueTeamPlayerAOMA Oleg";21,2330721104802
"BlueTeamPlayerAOMA Pipibaat";-13,9865894961697
