"";"x"
"(Intercept)";14,0002284913292
"BlueTeamChampionAkali";-2,43136383400378
"BlueTeamChampionAmbessa";-10,1818085649862
"BlueTeamChampionAnivia";-0,334393327279885
"BlueTeamChampionAnnie";-0,944603219233708
"BlueTeamChampionAurelionSol";-7,45738277091482
"BlueTeamChampionAurora";-1,03343950661855
"BlueTeamChampionAzir";-1,42350974087334
"BlueTeamChampionCaitlyn";6,8646554147123
"BlueTeamChampionCassiopeia";-3,44816306339246
"BlueTeamChampionChogath";6,79528960282155
"BlueTeamChampionCorki";4,01034357188203
"BlueTeamChampionEkko";-20,4086233593839
"BlueTeamChampionEzreal";0,483991240468945
"BlueTeamChampionFiora";-6,91073023907908
"BlueTeamChampionGalio";-7,46034924642042
"BlueTeamChampionGragas";-13,8673346156885
"BlueTeamChampionHwei";3,59594791267838
"BlueTeamChampionIrelia";1,91242108411051
"BlueTeamChampionJayce";0,167675941020766
"BlueTeamChampionKaisa";23,7554030268
"BlueTeamChampionKarma";-1,70887078055153
"BlueTeamChampionKassadin";-13,7038871666854
"BlueTeamChampionKatarina";-16,0531641552658
"BlueTeamChampionKayle";0,908937033060562
"BlueTeamChampionKogMaw";4,72716370735315
"BlueTeamChampionKSante";-12,8260379824144
"BlueTeamChampionLeblanc";10,4778313260776
"BlueTeamChampionLeeSin";6,59847583895223
"BlueTeamChampionLissandra";8,95624231346696
"BlueTeamChampionLucian";1,21669561492973
"BlueTeamChampionLux";-2,56702433575315
"BlueTeamChampionMel";4,12718198911126
"BlueTeamChampionMissFortune";-0,258499997466373
"BlueTeamChampionNaafiri";-10,1531178803951
"BlueTeamChampionNeeko";5,71824589673082
"BlueTeamChampionOrianna";5,68418163505026
"BlueTeamChampionOrnn";-22,2913537343567
"BlueTeamChampionPantheon";-19,3434872400285
"BlueTeamChampionRenekton";-6,66141943719863
"BlueTeamChampionRumble";-18,750642579717
"BlueTeamChampionRyze";3,59620893129935
"BlueTeamChampionSett";-18,0389295110303
"BlueTeamChampionSion";1,08040711004334
"BlueTeamChampionSmolder";-7,6068046721599
"BlueTeamChampionSwain";-10,6264573334343
"BlueTeamChampionSylas";-10,2131354793672
"BlueTeamChampionSyndra";3,45182912345829
"BlueTeamChampionTaliyah";-2,15842083785141
"BlueTeamChampionTristana";-0,79047153680163
"BlueTeamChampionTryndamere";-3,62715341203975
"BlueTeamChampionTwistedFate";-2,37781623668857
"BlueTeamChampionVarus";-15,2042378082155
"BlueTeamChampionVeigar";-3,70849403075855
"BlueTeamChampionVelkoz";10,2251381288363
