"";"x"
"(Intercept)";2,55092272329351
"BlueTeamChampionAmumu";-0,0526954143420497
"BlueTeamChampionAnnie";4,61781582202063
"BlueTeamChampionAshe";-2,34797201969325
"BlueTeamChampionBard";-4,35545664280377
"BlueTeamChampionBlitzcrank";-2,45572960990933
"BlueTeamChampionBraum";-0,0201624653961781
"BlueTeamChampionCamille";3,82159899196425
"BlueTeamChampionChogath";83,4198335164317
"BlueTeamChampionElise";-0,820609331142452
"BlueTeamChampionFiddleSticks";-5,77634376012069
"BlueTeamChampionGalio";5,01653472620566
"BlueTeamChampionGragas";-0,424367115676694
"BlueTeamChampionHwei";-3,00788468832434
"BlueTeamChampionJanna";-5,00471915159081
"BlueTeamChampionKarma";-0,690561817610028
"BlueTeamChampionLeblanc";4,90659272525131
"BlueTeamChampionLeeSin";8,1732838267315
"BlueTeamChampionLeona";2,13548509257699
"BlueTeamChampionLulu";-2,76141761990341
"BlueTeamChampionLux";-18,1805828838268
"BlueTeamChampionMaokai";-3,23736724846599
"BlueTeamChampionMilio";1,81538814815679
"BlueTeamChampionMonkeyKing";1,21854099029355
"BlueTeamChampionMorgana";2,66655121681081
"BlueTeamChampionNami";0,716140828545805
"BlueTeamChampionNautilus";1,57978901805544
"BlueTeamChampionNeeko";0,550400924000808
"BlueTeamChampionPantheon";-0,527797089651826
"BlueTeamChampionPoppy";1,11270787378209
"BlueTeamChampionPyke";1,33400240424442
"BlueTeamChampionRakan";1,06116956880897
"BlueTeamChampionRell";1,63933759367342
"BlueTeamChampionRenata";0,20575790484955
"BlueTeamChampionSejuani";3,24234478495471
"BlueTeamChampionSenna";-1,13921902090537
"BlueTeamChampionSeraphine";1,37533376468733
"BlueTeamChampionSett";11,727603401706
"BlueTeamChampionShen";1,80399711262525
"BlueTeamChampionSona";3,0261592159712
"BlueTeamChampionSoraka";-5,33165434035866
"BlueTeamChampionTahmKench";-1,84303908248083
"BlueTeamChampionTaric";7,5450763747033
"BlueTeamChampionThresh";0,62021267788601
"BlueTeamChampionVeigar";-7,02242227181944
"BlueTeamChampionYuumi";-3,21859047435486
"BlueTeamChampionZac";-2,01921754719864
"BlueTeamChampionZilean";5,77228872634392
"BlueTeamChampionZyra";1,38398865720303
"RedTeamChampionAmumu";-2,38143548179972
"RedTeamChampionAnnie";-3,35878814748591
"RedTeamChampionAshe";5,29288648964629
"RedTeamChampionBard";1,9380446732176
"RedTeamChampionBlitzcrank";0,0923401228527229
"RedTeamChampionBraum";-0,387666348626764
"RedTeamChampionCamille";2,28314074389494
"RedTeamChampionElise";0,19976379175069
"RedTeamChampionFiddleSticks";1,63070196175326
"RedTeamChampionGalio";-5,01084181550245
"RedTeamChampionGragas";0,717415317888891
"RedTeamChampionJanna";2,02621664502119
"RedTeamChampionKarma";0,112950255953189
"RedTeamChampionKennen";8,34132207937583
"RedTeamChampionLeblanc";8,12024766889783
"RedTeamChampionLeona";-2,42910734961209
"RedTeamChampionLulu";-0,024216656733158
"RedTeamChampionLux";-13,3802430215528
"RedTeamChampionMaokai";-3,22496929532131
"RedTeamChampionMel";1,3879077078976
"RedTeamChampionMilio";2,11743322198237
"RedTeamChampionNami";-0,114461765851619
"RedTeamChampionNautilus";-2,98944234853414
"RedTeamChampionNeeko";0,330915581539446
"RedTeamChampionNidalee";19,7772062829966
"RedTeamChampionOrnn";-82,9748500641832
"RedTeamChampionPantheon";-1,24137853272444
"RedTeamChampionPoppy";-0,935313100444631
"RedTeamChampionPyke";-1,2485491267826
"RedTeamChampionRakan";-2,4329362849876
"RedTeamChampionRell";-2,48943062624926
