"";"x"
"(Intercept)";-15,1129889986686
"BlueTeamChampionAkali";15,049706426904
"BlueTeamChampionAmbessa";-2,69956778252347
"BlueTeamChampionAnivia";-8,5351565389803
"BlueTeamChampionAurora";7,94778413776272
"BlueTeamChampionAzir";1,80668830948696
"BlueTeamChampionCamille";-7,21984930455126
"BlueTeamChampionCassiopeia";20,4357096300179
"BlueTeamChampionChogath";-4,23539045782577
"BlueTeamChampionCorki";12,0712796439683
"BlueTeamChampionDarius";7,84794623954873
"BlueTeamChampionDiana";-24,9711283639773
"BlueTeamChampionDraven";51,2902764994312
"BlueTeamChampionDrMundo";5,12803280470429
"BlueTeamChampionFiora";4,31450788205287
"BlueTeamChampionGalio";0,439781182714786
"BlueTeamChampionGangplank";0,873778961422326
"BlueTeamChampionGaren";-4,36307421479046
"BlueTeamChampionGnar";4,38247135750524
"BlueTeamChampionGragas";-2,41847618192165
"BlueTeamChampionGwen";3,67451350491479
"BlueTeamChampionIrelia";17,7084153792934
"BlueTeamChampionJax";-6,13249737747036
"BlueTeamChampionJayce";8,27313279943328
"BlueTeamChampionKaisa";55,4259905515349
"BlueTeamChampionKalista";45,6295698808354
"BlueTeamChampionKarma";18,5553878677543
"BlueTeamChampionKayle";-18,9356930442272
"BlueTeamChampionKayn";-17,6699958839525
"BlueTeamChampionKennen";15,5335732415753
"BlueTeamChampionKled";-9,86899450467728
"BlueTeamChampionKSante";0,328203428777436
"BlueTeamChampionLeblanc";-14,9377994403931
"BlueTeamChampionMalphite";-7,57931592849362
"BlueTeamChampionMaokai";-5,01448744682732
"BlueTeamChampionMissFortune";37,0959177796218
"BlueTeamChampionMonkeyKing";-2,94406000067961
"BlueTeamChampionMordekaiser";-11,7243464330281
"BlueTeamChampionNaafiri";4,1027577643838
"BlueTeamChampionNasus";-12,0668047318144
"BlueTeamChampionNautilus";-13,4763893729431
"BlueTeamChampionNeeko";1,20596368844468
"BlueTeamChampionNidalee";5,76326511591193
"BlueTeamChampionOlaf";1,47168055556835
"BlueTeamChampionOrnn";-6,01781209622081
"BlueTeamChampionPantheon";7,31843349560454
"BlueTeamChampionPoppy";-1,90579556718157
"BlueTeamChampionQuinn";-14,52263994084
"BlueTeamChampionRenekton";7,57952357599422
"BlueTeamChampionRiven";2,56599852486139
"BlueTeamChampionRumble";1,65337800439555
"BlueTeamChampionRyze";8,13563414988659
"BlueTeamChampionSejuani";-6,20299278098074
