"";"x"
"(Intercept)";20,3992625374264
"BlueTeamChampionAshe";-8,58788809730938
"BlueTeamChampionBrand";-0,0422067414144832
"BlueTeamChampionCaitlyn";6,74934969450677
"BlueTeamChampionCorki";-1,24389573207699
"BlueTeamChampionDraven";-8,97918808007028
"BlueTeamChampionEzreal";-7,63892531658758
"BlueTeamChampionGalio";-79,7981362494197
"BlueTeamChampionGnar";-31,3546332806798
"BlueTeamChampionHwei";-36,3137516501077
"BlueTeamChampionJhin";-8,84370113600035
"BlueTeamChampionJinx";4,61923934445341
"BlueTeamChampionKaisa";-6,08011833470963
"BlueTeamChampionKalista";-2,99357373513295
"BlueTeamChampionKogMaw";-58,5820041967764
"BlueTeamChampionLeeSin";-36,2506876978291
"BlueTeamChampionLucian";2,45222910712074
"BlueTeamChampionLux";14,3524884353785
"BlueTeamChampionMel";-28,2966776438583
"BlueTeamChampionMissFortune";3,46857889548011
"BlueTeamChampionNilah";101,626321887944
"BlueTeamChampionRumble";-47,9712294693585
"BlueTeamChampionSenna";-168,163081797887
"BlueTeamChampionSeraphine";-19,0307127442214
"BlueTeamChampionSion";-11,2222732369023
"BlueTeamChampionSivir";0,211818859247029
"BlueTeamChampionSmolder";-6,85126711258059
"BlueTeamChampionSwain";-8,77645882820823
"BlueTeamChampionTaliyah";15,8605457424983
"BlueTeamChampionTristana";-7,3055900241237
"BlueTeamChampionTwitch";-25,0811565534628
"BlueTeamChampionVarus";-10,5353710784073
"BlueTeamChampionVayne";-24,4458267843948
"BlueTeamChampionViktor";-128,977577486617
"BlueTeamChampionXayah";1,22417119803952
"BlueTeamChampionYasuo";1,43548048365773
"BlueTeamChampionZeri";14,3545827994054
"BlueTeamChampionZiggs";-3,98348139219064
"BlueTeamChampionZyra";-20,7815368144035
"RedTeamChampionAshe";0,929753129355183
"RedTeamChampionBrand";-68,6774952011103
"RedTeamChampionCaitlyn";-12,9052541665846
"RedTeamChampionCassiopeia";7,14442150626606
"RedTeamChampionCorki";-7,98190732688303
"RedTeamChampionDraven";-8,42315136948694
"RedTeamChampionEzreal";4,22352207544303
"RedTeamChampionHwei";20,4575262947121
"RedTeamChampionJhin";5,29529367041164
"RedTeamChampionJinx";-9,40857387538724
"RedTeamChampionKaisa";-1,68469058130295
"RedTeamChampionKalista";2,49929516006053
"RedTeamChampionKogMaw";20,5494059768316
"RedTeamChampionLucian";-13,8698286101851
"RedTeamChampionMel";19,5658823311584
"RedTeamChampionMissFortune";-11,4390420959392
"RedTeamChampionNilah";94,4423290638973
"RedTeamChampionOrianna";84,7858051964288
