"";"x"
"(Intercept)";-35,6073554422245
"BlueTeamChampionAmumu";21,0149120310831
"BlueTeamChampionBelveth";84,0149830859573
"BlueTeamChampionBrand";34,3852929520805
"BlueTeamChampionDarius";70,6394313809778
"BlueTeamChampionDiana";57,9227536309494
"BlueTeamChampionDrMundo";47,7279615818758
"BlueTeamChampionElise";10,1877627521043
"BlueTeamChampionGragas";22,9015720087422
"BlueTeamChampionGwen";70,6606576095052
"BlueTeamChampionHecarim";96,8377658032382
"BlueTeamChampionIvern";14,5362804766225
"BlueTeamChampionJarvanIV";21,6504352405815
"BlueTeamChampionJax";40,0367076483487
"BlueTeamChampionKarthus";96,542948891886
"BlueTeamChampionKayn";47,0398974592549
"BlueTeamChampionKhazix";80,3273999311223
"BlueTeamChampionKindred";52,0125152564468
"BlueTeamChampionLeeSin";36,6027788729453
"BlueTeamChampionLillia";57,6202629359554
"BlueTeamChampionMaokai";17,117977393287
"BlueTeamChampionMasterYi";67,3432141243282
"BlueTeamChampionMonkeyKing";37,5028768923991
"BlueTeamChampionMorgana";63,5617175819313
"BlueTeamChampionNaafiri";61,8913778786289
"BlueTeamChampionNautilus";-29,8080673551621
"BlueTeamChampionNeeko";32,2507393606629
"BlueTeamChampionNidalee";59,5019486685865
"BlueTeamChampionNocturne";45,0381469860279
"BlueTeamChampionNunu";52,6598382760736
"BlueTeamChampionOlaf";68,5763318598298
"BlueTeamChampionPantheon";40,3747472427855
"BlueTeamChampionPoppy";26,9757177265707
"BlueTeamChampionRekSai";-2,86427484623231
"BlueTeamChampionRengar";93,3376235705675
"BlueTeamChampionRumble";47,6723845894333
"BlueTeamChampionSejuani";22,3465072781375
"BlueTeamChampionSion";-38,4339613250852
"BlueTeamChampionSkarner";19,944467143579
"BlueTeamChampionTaliyah";45,3852222813353
"BlueTeamChampionTrundle";50,5555242646013
"BlueTeamChampionVi";37,1487687820214
"BlueTeamChampionViego";58,5543841162563
"BlueTeamChampionVolibear";26,6091505865818
"BlueTeamChampionXinZhao";38,9836771934599
"BlueTeamChampionZac";27,0079632728121
"BlueTeamChampionZed";60,7743117170186
"BlueTeamChampionZyra";58,7174010203484
"RedTeamChampionAmumu";20,116481903176
"RedTeamChampionBelveth";3,96864739898566
"RedTeamChampionBrand";-7,89729223231612
"RedTeamChampionDarius";-26,483149379065
"RedTeamChampionDiana";21,3826240193993
"RedTeamChampionDrMundo";-14,7936188502906
"RedTeamChampionFiddleSticks";4,47270521347546
"RedTeamChampionGraves";-4,12721272163853
"RedTeamChampionGwen";-30,5390378216687
"RedTeamChampionHecarim";-13,012224578653
"RedTeamChampionIvern";29,6126605536265
"RedTeamChampionJarvanIV";18,5823929899182
"RedTeamChampionJax";-6,22928148698978
"RedTeamChampionKarthus";-15,2203831743195
"RedTeamChampionKayn";30,2456997444314
"RedTeamChampionKhazix";-44,6880259490612
"RedTeamChampionKindred";-18,7593514783069
"RedTeamChampionLeeSin";6,43931009677051
"RedTeamChampionLillia";-11,8526236572491
"RedTeamChampionMaokai";34,4221105815485
"RedTeamChampionMonkeyKing";10,4576690245133
"RedTeamChampionMordekaiser";-10,859854427883
"RedTeamChampionMorgana";-10,0323078537897
"RedTeamChampionNaafiri";-6,09448686873889
"RedTeamChampionNidalee";-8,24028974320284
"RedTeamChampionNocturne";5,21378808026192
"RedTeamChampionNunu";-29,0071527186531
"RedTeamChampionOlaf";17,9168061845989
"RedTeamChampionPantheon";17,3164882444488
"RedTeamChampionPoppy";33,1971104358625
"RedTeamChampionRekSai";-8,3302459758267
"RedTeamChampionSejuani";31,1520998826312
"RedTeamChampionShaco";51,3988771486568
"RedTeamChampionShyvana";-35,8046142024065
"RedTeamChampionSkarner";28,223848706512
"RedTeamChampionTaliyah";18,198361729304
"RedTeamChampionTrundle";-17,6254860723056
"RedTeamChampionUdyr";-38,3823273090562
"RedTeamChampionVi";10,3023539219828
"RedTeamChampionViego";-5,06311520807518
"RedTeamChampionVolibear";2,13452075154639
"RedTeamChampionXinZhao";14,2968756621874
"RedTeamChampionYorick";-61,2720284288206
"RedTeamChampionZac";3,06391977717716
"RedTeamChampionZed";-113,899163825726
"RedTeamChampionZyra";-15,4075640438786
"BlueTeamPlayer1M Djoko";8,7032271902488
"BlueTeamPlayer1M Noodle";-12,9233258606395
"BlueTeamPlayer5M Theop";-61,4879574062956
"BlueTeamPlayer7D AlluK";-60,0914275681524
"BlueTeamPlayerAFW D4nKa";-17,2855766977713
"BlueTeamPlayerALTarzan";5,70484517799088
"BlueTeamPlayerAMI Lojaz";-35,519307806077
"BlueTeamPlayerANB Ajwad";2,83817889289456
"BlueTeamPlayerANB alex234";-10,1026736937756
"BlueTeamPlayerANB SANTA";-33,5549527488137
"BlueTeamPlayerANC Fragola";-35,9553811954595
"BlueTeamPlayerAOMA Oleg";2,90789543734969
"BlueTeamPlayerAOMA Pipibaat";-13,5332076812875
"BlueTeamPlayerAPM behave";-55,2547100568285
"BlueTeamPlayerAPM Joki37";-30,7108235807382
"BlueTeamPlayerARA Ever";-41,2546808517651
"BlueTeamPlayerARA Nekro";-81,8658975720162
"BlueTeamPlayerAXL Balyy";-40,9562723671497
"BlueTeamPlayerAXL Kikis";17,2102677868862
"BlueTeamPlayerB2TG ShazQ";-1,7088927996737
"BlueTeamPlayerBAM Kania";-4,7400181467419
