"";"x"
"(Intercept)";37,6879798979696
"BlueTeamChampionAkali";-6,6924306956546
"BlueTeamChampionAmbessa";-17,9392573312436
"BlueTeamChampionAnivia";-26,1198286759472
"BlueTeamChampionAnnie";-12,4927478339685
"BlueTeamChampionAurelionSol";-5,92949872912852
"BlueTeamChampionAurora";-5,48835848863675
"BlueTeamChampionAzir";10,6697689703198
"BlueTeamChampionCaitlyn";8,83772118015033
"BlueTeamChampionCassiopeia";14,7513080383047
"BlueTeamChampionChogath";11,8337083944739
"BlueTeamChampionCorki";18,6297312638555
"BlueTeamChampionEkko";9,55985228603346
"BlueTeamChampionEzreal";29,5421462913408
"BlueTeamChampionFiora";36,4171223127806
"BlueTeamChampionGalio";-19,3805539666729
"BlueTeamChampionGragas";-27,4646531112625
"BlueTeamChampionHwei";-6,43859633654084
"BlueTeamChampionIrelia";32,8154336215398
"BlueTeamChampionJayce";3,82425850419673
"BlueTeamChampionKaisa";78,5888598175474
"BlueTeamChampionKarma";-16,8229027059141
"BlueTeamChampionKassadin";-2,45035717374994
"BlueTeamChampionKatarina";-91,9247707402611
"BlueTeamChampionKayle";20,9833911657344
"BlueTeamChampionKogMaw";-25,5714763216925
"BlueTeamChampionKSante";-25,5051957427919
"BlueTeamChampionLeblanc";17,5127424157116
"BlueTeamChampionLeeSin";-4,7275971481245
"BlueTeamChampionLissandra";32,9419640930762
"BlueTeamChampionLucian";1,09853349033394
"BlueTeamChampionLux";-28,833260501349
"BlueTeamChampionMel";-0,298790336972503
"BlueTeamChampionMissFortune";-2,72724705980123
"BlueTeamChampionNaafiri";-0,245641507581443
"BlueTeamChampionNeeko";-0,17075221455177
"BlueTeamChampionOrianna";7,75014526431351
"BlueTeamChampionOrnn";-105,591123427265
"BlueTeamChampionPantheon";-34,1597518862162
"BlueTeamChampionRenekton";-15,9099812680773
"BlueTeamChampionRumble";-50,5791486556409
"BlueTeamChampionRyze";10,5408550235663
"BlueTeamChampionSett";-24,0212058673848
"BlueTeamChampionSion";-3,56259546845808
"BlueTeamChampionSmolder";12,9656878245396
"BlueTeamChampionSwain";-18,0967575865037
"BlueTeamChampionSylas";-12,6907893969572
"BlueTeamChampionSyndra";4,01647915388181
"BlueTeamChampionTaliyah";1,13904294975323
"BlueTeamChampionTristana";9,55169296464264
"BlueTeamChampionTryndamere";2,98278988610877
"BlueTeamChampionTwistedFate";-12,8257043685452
"BlueTeamChampionVarus";9,72251988924952
"BlueTeamChampionVeigar";-33,4344418203662
"BlueTeamChampionVelkoz";-38,3294710829741
"BlueTeamChampionVex";9,41758355885247
"BlueTeamChampionViktor";5,52873357711467
"BlueTeamChampionVladimir";-13,0665373013137
"BlueTeamChampionXerath";-9,41369955226031
