"";"x"
"(Intercept)";-1,91163420406599
"BlueTeamChampionAkali";11,9282583943302
"BlueTeamChampionAmbessa";0,0322092739124729
"BlueTeamChampionAnivia";-0,960113996819091
"BlueTeamChampionAurora";7,58239862305062
"BlueTeamChampionAzir";67,1146430422979
"BlueTeamChampionCamille";-0,31711427931603
"BlueTeamChampionCassiopeia";-0,0487844912016652
"BlueTeamChampionChogath";-22,1405546054085
"BlueTeamChampionCorki";-5,6172602764627
"BlueTeamChampionDarius";3,86605685058182
"BlueTeamChampionDiana";-34,5772959511425
"BlueTeamChampionDraven";23,3739810564018
"BlueTeamChampionDrMundo";21,7641005239981
"BlueTeamChampionFiora";10,4103586319104
"BlueTeamChampionGalio";-12,6115689110933
"BlueTeamChampionGangplank";-6,20453943375314
"BlueTeamChampionGaren";19,0216779616631
"BlueTeamChampionGnar";8,22570670627996
"BlueTeamChampionGragas";-14,5630178830901
"BlueTeamChampionGwen";6,22656319198957
"BlueTeamChampionIrelia";33,3626670640405
"BlueTeamChampionJax";-9,60173149602601
"BlueTeamChampionJayce";12,8695292671357
"BlueTeamChampionKaisa";92,3297304474657
"BlueTeamChampionKalista";16,0022766642374
"BlueTeamChampionKarma";2,26489343441228
"BlueTeamChampionKayle";-10,8423277321716
"BlueTeamChampionKayn";-25,3592473220384
"BlueTeamChampionKennen";15,6975523052819
"BlueTeamChampionKled";20,4291825757151
"BlueTeamChampionKSante";-15,2074924899676
"BlueTeamChampionLeblanc";33,5455251455276
"BlueTeamChampionMalphite";-29,7473472302883
"BlueTeamChampionMaokai";-33,2484501812228
"BlueTeamChampionMissFortune";29,9201157731967
"BlueTeamChampionMonkeyKing";2,48458570881478
"BlueTeamChampionMordekaiser";-0,830312030140017
"BlueTeamChampionNaafiri";51,9595024282211
"BlueTeamChampionNasus";-16,3957834216039
"BlueTeamChampionNautilus";-41,611209633915
"BlueTeamChampionNeeko";-44,2341155418109
"BlueTeamChampionNidalee";3,13652565796471
"BlueTeamChampionOlaf";9,44082472257839
"BlueTeamChampionOrnn";-28,5061869789578
"BlueTeamChampionPantheon";19,1837494950699
"BlueTeamChampionPoppy";-19,2425615251156
"BlueTeamChampionQuinn";41,6990660168322
"BlueTeamChampionRenekton";8,3770549434752
"BlueTeamChampionRiven";-15,3590820880087
"BlueTeamChampionRumble";-3,72191416464768
"BlueTeamChampionRyze";18,7627293476705
"BlueTeamChampionSejuani";-16,8400827886359
"BlueTeamChampionSett";8,26706455958515
"BlueTeamChampionShen";-7,14228697200461
"BlueTeamChampionSinged";-14,0524542570054
"BlueTeamChampionSion";-14,6281212210337
"BlueTeamChampionSmolder";12,3879600381658
"BlueTeamChampionSwain";-0,018181626796433
"BlueTeamChampionSylas";-18,0669493122729
"BlueTeamChampionTrundle";84,0297000029689
"BlueTeamChampionTryndamere";65,0854868612994
"BlueTeamChampionUdyr";-32,5464602006327
"BlueTeamChampionUrgot";-3,08459587046799
"BlueTeamChampionVarus";33,2400008280916
"BlueTeamChampionVayne";-39,1959854484361
"BlueTeamChampionVex";15,2597841049809
"BlueTeamChampionVi";-93,278985551181
"BlueTeamChampionVladimir";25,9792671038963
"BlueTeamChampionVolibear";-0,666874934039473
"BlueTeamChampionWarwick";-0,0921237524357337
"BlueTeamChampionXerath";-20,2350971444073
"BlueTeamChampionYasuo";4,28612110203249
"BlueTeamChampionYone";36,0651966516186
"BlueTeamChampionYorick";8,640251274179
"BlueTeamChampionZac";2,24203789669986
"RedTeamChampionAkali";-36,6667551790473
"RedTeamChampionAmbessa";0,488772049787269
"RedTeamChampionAnivia";1,5965848420772
"RedTeamChampionAurora";-0,262506640164102
"RedTeamChampionCamille";8,43339492062825
"RedTeamChampionCassiopeia";-39,8912741977734
"RedTeamChampionChogath";12,7364042564281
"RedTeamChampionDarius";-11,4299927864369
"RedTeamChampionDraven";-65,1481600301979
"RedTeamChampionDrMundo";13,7703903286102
"RedTeamChampionFiora";-31,3967894822033
"RedTeamChampionGalio";18,855146080983
"RedTeamChampionGangplank";-5,25994564410126
"RedTeamChampionGaren";-0,0205687668703098
"RedTeamChampionGnar";-14,5427189251837
"RedTeamChampionGragas";14,3571263193844
"RedTeamChampionGwen";-2,95824465142243
"RedTeamChampionIrelia";-32,5040110159817
"RedTeamChampionJax";1,20657756622973
"RedTeamChampionJayce";-14,3034769935504
"RedTeamChampionKarma";11,6366070751846
"RedTeamChampionKennen";3,47569327288338
"RedTeamChampionKled";-10,2436032357076
"RedTeamChampionKSante";9,45833489732393
"RedTeamChampionLeeSin";-21,3971235509964
"RedTeamChampionMalphite";8,39276252391015
"RedTeamChampionMaokai";33,5614115225803
"RedTeamChampionMel";4,41110321321715
"RedTeamChampionMonkeyKing";10,2553598624927
"RedTeamChampionMordekaiser";16,3104896398303
