"";"x"
"(Intercept)";4,70579273350067
"BlueTeamChampionAshe";205,761235392119
"BlueTeamChampionBrand";-1160,46213743726
"BlueTeamChampionCaitlyn";425,846782669854
"BlueTeamChampionCorki";276,26945249964
"BlueTeamChampionDraven";240,829672755002
"BlueTeamChampionEzreal";172,385217918644
"BlueTeamChampionGalio";1532,95388636175
"BlueTeamChampionGnar";-1436,57729302626
"BlueTeamChampionHwei";1131,43623431089
"BlueTeamChampionJhin";224,573737969793
"BlueTeamChampionJinx";105,86461444613
"BlueTeamChampionKaisa";26,4494615658898
"BlueTeamChampionKalista";441,178310676848
"BlueTeamChampionKogMaw";749,738082598664
"BlueTeamChampionLeeSin";-1004,5189070575
"BlueTeamChampionLucian";258,783790362394
"BlueTeamChampionLux";922,876586194478
"BlueTeamChampionMel";-69,4460031623447
"BlueTeamChampionMissFortune";359,882509034664
"BlueTeamChampionNilah";-524,392216787352
"BlueTeamChampionRumble";2132,72301671252
"BlueTeamChampionSenna";-3414,98236332526
"BlueTeamChampionSeraphine";-248,909774050398
"BlueTeamChampionSion";2302,58195971964
"BlueTeamChampionSivir";84,2089061472091
"BlueTeamChampionSmolder";-433,961397644202
"BlueTeamChampionSwain";700,133022688405
"BlueTeamChampionTaliyah";773,625353396499
"BlueTeamChampionTristana";153,383096231526
"BlueTeamChampionTwitch";-1026,15938045548
"BlueTeamChampionVarus";313,091563081235
"BlueTeamChampionVayne";8,86853507824433
"BlueTeamChampionViktor";-1037,15205519415
"BlueTeamChampionXayah";342,799794638845
"BlueTeamChampionYasuo";244,820806227761
"BlueTeamChampionZeri";122,436202093912
"BlueTeamChampionZiggs";266,942338249148
"BlueTeamChampionZyra";-406,911857368635
"RedTeamChampionAshe";148,421027114504
"RedTeamChampionBrand";419,496486716589
"RedTeamChampionCaitlyn";-26,773969010696
"RedTeamChampionCassiopeia";-340,567463624819
"RedTeamChampionCorki";51,3328552852847
"RedTeamChampionDraven";-456,93959570639
"RedTeamChampionEzreal";193,505498702481
"RedTeamChampionHwei";153,955742415116
"RedTeamChampionJhin";272,074815808617
"RedTeamChampionJinx";179,637682550457
"RedTeamChampionKaisa";170,300281191973
"RedTeamChampionKalista";-22,6214272974543
"RedTeamChampionKogMaw";275,16785524937
"RedTeamChampionLucian";354,2277039095
"RedTeamChampionMel";76,3794295955833
"RedTeamChampionMissFortune";1,68188224811286
"RedTeamChampionNilah";456,779245683885
"RedTeamChampionOrianna";605,089841782859
"RedTeamChampionOrnn";-258,708676387087
"RedTeamChampionRumble";176,253997670413
"RedTeamChampionSenna";2058,90711973914
"RedTeamChampionSeraphine";500,475351341153
"RedTeamChampionSivir";391,703233066548
"RedTeamChampionSmolder";244,583037483305
"RedTeamChampionSwain";325,879778995332
"RedTeamChampionTahmKench";682,921323554744
"RedTeamChampionTaliyah";668,323129864317
"RedTeamChampionTristana";162,968814652252
"RedTeamChampionTwitch";935,539603376024
"RedTeamChampionVarus";61,1670472090107
"RedTeamChampionVayne";2731,94209864032
"RedTeamChampionVeigar";888,300115155477
"RedTeamChampionVelkoz";276,264568732664
"RedTeamChampionXayah";127,239665005088
"RedTeamChampionXerath";-1239,19390567232
"RedTeamChampionYasuo";-2623,77891626883
"RedTeamChampionZeri";220,115504214687
"RedTeamChampionZiggs";155,813817066526
"BlueTeamPlayer1M MetroArcher";-2051,71280284027
"BlueTeamPlayer1M Unkn0wn";-937,034260846517
"BlueTeamPlayer5M Ratao";144,189927815268
"BlueTeamPlayer7D 6onza";-947,352985528285
"BlueTeamPlayer7D Hika";-688,78291771445
"BlueTeamPlayerAFW Vaynedeta";-382,823937083038
"BlueTeamPlayerALHope";203,196195915305
"BlueTeamPlayerAMI Bazz1";-146,163882873455
"BlueTeamPlayerANB kehvo";-925,057803527343
"BlueTeamPlayerANB Kehvo";-1432,32809973402
"BlueTeamPlayerANB Mimic1";-1752,26064254744
"BlueTeamPlayerANC Brizz";-1945,25086751035
"BlueTeamPlayerAOMA Guppy";-1895,76629641289
"BlueTeamPlayerAOMA MrHB";-1527,41600839037
"BlueTeamPlayerAPM Nikiyas";-1411,16935968947
"BlueTeamPlayerAPM Odi11";-781,768253473864
"BlueTeamPlayerARA Khaydarin";-2321,64622329892
"BlueTeamPlayerAXL Crem";-1360,02759098489
"BlueTeamPlayerB2TG Lothen";-1523,21173094273
"BlueTeamPlayerBAM Nawaf";-633,436855622558
"BlueTeamPlayerBAR Legolas";-1111,20858310051
"BlueTeamPlayerBCT L1mit";907,478972295803
"BlueTeamPlayerBDG Exofeng";-869,508763986453
"BlueTeamPlayerBDS Ice";-142,835499981853
"BlueTeamPlayerBDSA Mishi";-625,232733329156
"BlueTeamPlayerBDSA Piwek";-771,162838511924
"BlueTeamPlayerBE5 Pl0x";-682,930009856916
"BlueTeamPlayerBER Berimbau";-2335,44768601264
"BlueTeamPlayerBFX Diable";-190,951248723408
"BlueTeamPlayerBFX Envyy";-774,489770778805
"BlueTeamPlayerBGT ToongE";-335,25398273992
"BlueTeamPlayerBIG Bean";-241,14507644366
"BlueTeamPlayerBJK Lens";-773,859149743096
"BlueTeamPlayerBJK Neon";93,6127639269533
"BlueTeamPlayerBKD chilioil";-393,191471243686
"BlueTeamPlayerBKR BOOSHI";-1210,84531796459
"BlueTeamPlayerBKR Keduii";-126,647300158643
"BlueTeamPlayerBLDP Nawa";-711,630470385158
"BlueTeamPlayerBLDP Slayder";-397,826688010958
"BlueTeamPlayerBLGElk";-60,2731592402617
"BlueTeamPlayerBLUE Levitate";-345,888045143219
"BlueTeamPlayerBRO Bull";-1197,29844876466
"BlueTeamPlayerBRO Ellim";NA
"BlueTeamPlayerBRO Hype ";-535,040442344536
"BlueTeamPlayerBRO Levy";-3315,56899121133
"BlueTeamPlayerBRT Esko";1,40035801683006
"BlueTeamPlayerBVL MayR";844,82475714669
"BlueTeamPlayerBW Scorth";-512,934472940311
"BlueTeamPlayerBWE NBA";-1291,30570460794
"BlueTeamPlayerC9 Zven";-648,949597730404
"BlueTeamPlayerCBC SkyK";-1434,5734966144
"BlueTeamPlayerCCG Array";84,2912793446908
"BlueTeamPlayerCFO Doggo";-324,614520840868
"BlueTeamPlayerCFOA Cuicuixi";-671,304496910096
"BlueTeamPlayerCG Zewih";-1603,67398365445
"BlueTeamPlayerCGN Reptile";-431,868779994083
"BlueTeamPlayerCHF leemas";-1432,39154899379
"BlueTeamPlayerCHF Violet";-1438,66684748425
"BlueTeamPlayerCK Damocles";-144,299225890391
"BlueTeamPlayerCKZ Luca Brassi";-52,0126332174316
"BlueTeamPlayerCNA Pcelica";-1018,94096575509
"BlueTeamPlayerCNV Chrome";111,083023565233
"BlueTeamPlayerCRZ Rashiro";-1452,4229250362
"BlueTeamPlayerCZV Devn";-1115,5555158896
"BlueTeamPlayerDCG Feng ";155,530856400527
"BlueTeamPlayerDFM Kakkun";-1163,40490063815
"BlueTeamPlayerDFM Milan";-910,233554634301
"BlueTeamPlayerDFMA Deant9";92,9494565700076
"BlueTeamPlayerDG W1ng";396,550913449379
"BlueTeamPlayerDIG Tomo";-526,244593100781
"BlueTeamPlayerDINO Harky";-1166,97140685844
"BlueTeamPlayerDK Aiming";25,9770555414819
"BlueTeamPlayerDK Wayne";-1067,17498163802
"BlueTeamPlayerDM history";811,819145265806
"BlueTeamPlayerDMG Faetski";-1281,74252007722
"BlueTeamPlayerDND Innaxe";-599,871269193074
"BlueTeamPlayerDND Reptile";-564,54503568752
"BlueTeamPlayerDNE BlackSwan";205,785998425917
"BlueTeamPlayerDNET Rias1";1420,63182417264
"BlueTeamPlayerDNF Berserker";189,781417960165
"BlueTeamPlayerDNF Slayer";-954,821854124658
"BlueTeamPlayerDOC Sidav";-1306,69815934885
"BlueTeamPlayerDPM Kojima";-251,567017499285
"BlueTeamPlayerDPM micaO";-670,512037766642
"BlueTeamPlayerDRX Alive";-1044,20200882581
"BlueTeamPlayerDRX LazyFeel";-821,142336128524
"BlueTeamPlayerDRX Teddy";-188,138476022321
"BlueTeamPlayerDSG ScaryJerry";-793,87734097363
"BlueTeamPlayerDVG 452apm";897,109764327782
"BlueTeamPlayerDVKM Lucker";-1133,12399386669
"BlueTeamPlayerDVX Etoo";26,8739870627755
"BlueTeamPlayerDZ sajed";-202,842578339297
"BlueTeamPlayerDZ Spawn";-1694,64036418094
"BlueTeamPlayerEDGAhn";-92,3468687679162
"BlueTeamPlayerEDGAssum";-533,90221938052
"BlueTeamPlayerEE Morfan";1338,15749375892
"BlueTeamPlayerEF Ruep";-390,947434998824
"BlueTeamPlayerEF RUEP";192,700394962995
"BlueTeamPlayerEINS Broeki";-882,228375044178
"BlueTeamPlayerEIQ Strode";789,549176985007
"BlueTeamPlayerEKO MrFreezed";-1648,09755437024
"BlueTeamPlayerESB Ascend";690,990956049381
"BlueTeamPlayerESBA ONLY";1099,09900680591
"BlueTeamPlayerET Kumew";-1359,02213260287
"BlueTeamPlayerEWI noz2k";-460,042050476445
"BlueTeamPlayerF0X Fede";-918,298124743653
"BlueTeamPlayerFAK Shunn";-200,395002013159
"BlueTeamPlayerFES Paladin";-2066,6067057211
"BlueTeamPlayerFLA NinjaKiwi";-77,4227820811785
"BlueTeamPlayerFLH Frankfurt";3631,33998340396
"BlueTeamPlayerFLH MetroArcher";-2209,33723485545
"BlueTeamPlayerFLY Massu";-353,102222502989
"BlueTeamPlayerFMS zamulek";-1385,81716408918
"BlueTeamPlayerFNC Upset";83,4718980514678
"BlueTeamPlayerFOG AKLASS";-1148,10941509623
"BlueTeamPlayerFPXAssum";34,0255627083303
"BlueTeamPlayerFPXbat";-229,400736638489
"BlueTeamPlayerFSK Odi11";-2653,08727029812
"BlueTeamPlayerFSK Pangjin";-1120,64953205825
"BlueTeamPlayerFTW Worst";-162,362568261766
"BlueTeamPlayerFUE Gavotto";-623,192430144115
"BlueTeamPlayerFUR Ayu";-758,973593324131
"BlueTeamPlayerFVN ianshaka";-322,002519623843
"BlueTeamPlayerFX Marvin";-1144,69693069179
"BlueTeamPlayerFXW7 Marvin";-270,117003345897
"BlueTeamPlayerG2 Hans Sama";-157,135440221293
"BlueTeamPlayerGAM Artemis";-1254,12253461153
"BlueTeamPlayerGEN About";-198,24533381007
"BlueTeamPlayerGEN Ruler";72,9318003286505
"BlueTeamPlayerGK FlickeR";-1072,04744888927
"BlueTeamPlayerGK Trigger";-478,162503915074
"BlueTeamPlayerGL Jezu";-467,947771988227
"BlueTeamPlayerGLR KNEZA";1715,47082174131
"BlueTeamPlayerGLR Neramin";202,934295245087
"BlueTeamPlayerGMB Marth";-1636,64491405234
"BlueTeamPlayerGNG Aeru";-1463,27989927206
"BlueTeamPlayerGNG Antonio";-1029,71328247329
"BlueTeamPlayerGOAL Druxy";-1218,21380445249
"BlueTeamPlayerGSMC Kenal";-637,812014395675
"BlueTeamPlayerGSMC LINDGARDE";-548,899612801352
"BlueTeamPlayerGSNS ECSTASSY";-1746,93778666574
"BlueTeamPlayerGSNS RustySniper";-1977,55432345487
"BlueTeamPlayerGTZ Daksider";-1058,58673929681
"BlueTeamPlayerGTZ Shakur";30,1161069384638
"BlueTeamPlayerGW Matias";-784,099601174868
"BlueTeamPlayerGX Noah";-561,187983440668
"BlueTeamPlayerGXP Aetinoth";-670,803920675466
"BlueTeamPlayerGZ Cheng9";-720,062261288118
"BlueTeamPlayerGZ Lilv";65,5066713923869
"BlueTeamPlayerHELL ECSTASSY";-1530,00854605131
"BlueTeamPlayerHELL MrPhant0m";16,389539080002
"BlueTeamPlayerHKUF Prage";-1032,16762715726
"BlueTeamPlayerHKUF Sun1";-1202,46041002489
"BlueTeamPlayerHLE Pyeonsik";-807,451600171035
"BlueTeamPlayerHLE Viper";-256,909574331086
"BlueTeamPlayerHOF Carros 2";890,460778168116
"BlueTeamPlayerHPS Cheng9";-327,306849695432
