"";"x"
"(Intercept)";246,358029768165
"BlueTeamChampionAmumu";-471,643578295753
"BlueTeamChampionBelveth";6,64182707685555
"BlueTeamChampionBrand";-469,067747871803
"BlueTeamChampionDarius";148,783402533298
"BlueTeamChampionDiana";-268,797305489706
"BlueTeamChampionDrMundo";-469,09169102541
"BlueTeamChampionElise";-135,47351578245
"BlueTeamChampionGragas";320,609429074065
"BlueTeamChampionGwen";-25,4544810018018
"BlueTeamChampionHecarim";847,266938102768
"BlueTeamChampionIvern";-269,513073784351
"BlueTeamChampionJarvanIV";-357,131535096227
"BlueTeamChampionJax";-364,9334347747
"BlueTeamChampionKarthus";247,626529546931
"BlueTeamChampionKayn";626,041820226017
"BlueTeamChampionKhazix";266,862160641088
"BlueTeamChampionKindred";99,8589548992405
"BlueTeamChampionLeeSin";-123,792685885619
"BlueTeamChampionLillia";-155,712352720993
"BlueTeamChampionMaokai";-510,631580992849
"BlueTeamChampionMasterYi";-301,617008223071
"BlueTeamChampionMonkeyKing";-400,233954640623
"BlueTeamChampionMorgana";-892,264058690021
"BlueTeamChampionNaafiri";-90,5355169871372
"BlueTeamChampionNautilus";-1048,79712772446
"BlueTeamChampionNeeko";-109,985711205398
"BlueTeamChampionNidalee";11,7311314603743
"BlueTeamChampionNocturne";-304,226697320596
"BlueTeamChampionNunu";-238,094441225656
"BlueTeamChampionOlaf";137,275085972007
"BlueTeamChampionPantheon";-173,689165272522
"BlueTeamChampionPoppy";-391,336077642979
"BlueTeamChampionRekSai";40,556466794605
"BlueTeamChampionRengar";-1373,95354934747
"BlueTeamChampionRumble";92,1418065498021
"BlueTeamChampionSejuani";-511,619422635284
"BlueTeamChampionSion";-1812,25295325489
"BlueTeamChampionSkarner";-583,987821337392
"BlueTeamChampionTaliyah";270,639905959998
"BlueTeamChampionTrundle";218,887537179966
"BlueTeamChampionVi";-321,584264249301
"BlueTeamChampionViego";-132,76191479445
"BlueTeamChampionVolibear";-274,866907113563
"BlueTeamChampionXinZhao";-298,268601665633
"BlueTeamChampionZac";-326,856665118852
"BlueTeamChampionZed";-414,245292843933
"BlueTeamChampionZyra";-65,7718569592361
"RedTeamChampionAmumu";318,375956235026
"RedTeamChampionBelveth";-61,5108312361596
"RedTeamChampionBrand";-176,353720176317
"RedTeamChampionDarius";-489,088953143337
"RedTeamChampionDiana";-142,577851034484
"RedTeamChampionDrMundo";-211,373482226428
"RedTeamChampionFiddleSticks";-440,570240660525
"RedTeamChampionGraves";-1137,33903142835
"RedTeamChampionGwen";-36,7329267344038
"RedTeamChampionHecarim";224,857879629928
"RedTeamChampionIvern";203,688884780733
"RedTeamChampionJarvanIV";145,202899950625
"RedTeamChampionJax";-1,91230986366709
"RedTeamChampionKarthus";-205,850876168118
"RedTeamChampionKayn";-163,79710823907
"RedTeamChampionKhazix";-617,324391705746
"RedTeamChampionKindred";-128,272955756461
"RedTeamChampionLeeSin";-16,0261799667717
"RedTeamChampionLillia";-36,4153959945494
"RedTeamChampionMaokai";367,264034692302
"RedTeamChampionMonkeyKing";45,2694876776587
"RedTeamChampionMordekaiser";-1049,53034501268
"RedTeamChampionMorgana";-121,471304113672
"RedTeamChampionNaafiri";-43,9028393523041
"RedTeamChampionNidalee";-22,9946019849305
"RedTeamChampionNocturne";-185,295073509123
"RedTeamChampionNunu";-87,0737844727093
"RedTeamChampionOlaf";719,011660700224
"RedTeamChampionPantheon";-134,398966998519
"RedTeamChampionPoppy";309,563814189326
"RedTeamChampionRekSai";14,4164439081211
"RedTeamChampionSejuani";216,36130175387
"RedTeamChampionShaco";-298,335649979118
"RedTeamChampionShyvana";452,492393881461
"RedTeamChampionSkarner";354,979971769282
"RedTeamChampionTaliyah";-78,8244512788583
"RedTeamChampionTrundle";472,500180470287
"RedTeamChampionUdyr";84,1913711204408
"RedTeamChampionVi";74,999572210133
"RedTeamChampionViego";-243,24518124808
"RedTeamChampionVolibear";-80,3630738853583
"RedTeamChampionXinZhao";83,9800668451768
"RedTeamChampionYorick";-814,158997798402
"RedTeamChampionZac";314,74525419195
"RedTeamChampionZed";-688,114660831824
"RedTeamChampionZyra";-148,320033847031
"BlueTeamPlayer1M Djoko";-473,161639967678
"BlueTeamPlayer1M Noodle";-826,427823083187
"BlueTeamPlayer5M Theop";-955,804041280501
"BlueTeamPlayer7D AlluK";-834,930712429699
"BlueTeamPlayerAFW D4nKa";-16,6809788391077
"BlueTeamPlayerALTarzan";188,884237213146
"BlueTeamPlayerAMI Lojaz";-222,16037646586
"BlueTeamPlayerANB Ajwad";-515,251583399418
"BlueTeamPlayerANB alex234";-286,662118725479
"BlueTeamPlayerANB SANTA";-763,009445289976
"BlueTeamPlayerANC Fragola";-1050,14234728537
"BlueTeamPlayerAOMA Oleg";281,609522092218
"BlueTeamPlayerAOMA Pipibaat";-525,361460883901
"BlueTeamPlayerAPM behave";-1713,42578749348
"BlueTeamPlayerAPM Joki37";-1492,72532049851
"BlueTeamPlayerARA Ever";-952,206670316021
"BlueTeamPlayerARA Nekro";-1722,35139186625
"BlueTeamPlayerAXL Balyy";-2315,45894266537
