"";"x"
"(Intercept)";-1105,58407480562
"BlueTeamChampionAkali";-8,06985202895167
"BlueTeamChampionAmbessa";-544,509811738354
"BlueTeamChampionAnivia";-585,992059435192
"BlueTeamChampionAnnie";-145,023703778092
"BlueTeamChampionAurelionSol";-481,462294337069
"BlueTeamChampionAurora";-78,1534921320528
"BlueTeamChampionAzir";-211,01315417995
"BlueTeamChampionCaitlyn";73,5385905773087
"BlueTeamChampionCassiopeia";44,0390876878466
"BlueTeamChampionChogath";352,873650254035
"BlueTeamChampionCorki";206,625250718248
"BlueTeamChampionEkko";-765,381928442708
"BlueTeamChampionEzreal";-934,625617255028
"BlueTeamChampionFiora";-137,663077386155
"BlueTeamChampionGalio";-215,933924321413
"BlueTeamChampionGragas";-548,3705109268
"BlueTeamChampionHwei";-65,3067301504209
"BlueTeamChampionIrelia";187,083400545811
"BlueTeamChampionJayce";-192,671773148078
"BlueTeamChampionKaisa";862,124130070636
"BlueTeamChampionKarma";-459,506466601342
"BlueTeamChampionKassadin";-1003,62278657744
"BlueTeamChampionKatarina";94,9751948480914
"BlueTeamChampionKayle";-901,130064342385
"BlueTeamChampionKogMaw";422,672068139472
"BlueTeamChampionKSante";-261,385456597756
"BlueTeamChampionLeblanc";291,904319395729
"BlueTeamChampionLeeSin";349,058874946998
"BlueTeamChampionLissandra";536,508445738671
"BlueTeamChampionLucian";-282,666442077142
"BlueTeamChampionLux";741,75431790912
"BlueTeamChampionMel";-312,33404326564
"BlueTeamChampionMissFortune";-815,337239166417
"BlueTeamChampionNaafiri";-105,530777401566
"BlueTeamChampionNeeko";-116,29725014513
"BlueTeamChampionOrianna";141,579243203036
"BlueTeamChampionOrnn";1288,25963869769
"BlueTeamChampionPantheon";-416,145558352805
"BlueTeamChampionRenekton";-228,891265180806
"BlueTeamChampionRumble";3171,52801629563
"BlueTeamChampionRyze";35,1659895196047
"BlueTeamChampionSett";-1077,50927498001
"BlueTeamChampionSion";295,586035166642
"BlueTeamChampionSmolder";-602,506689553372
"BlueTeamChampionSwain";-148,671988924207
"BlueTeamChampionSylas";-218,061783434906
"BlueTeamChampionSyndra";-128,110059735226
"BlueTeamChampionTaliyah";-131,26766711736
"BlueTeamChampionTristana";31,9377391120157
"BlueTeamChampionTryndamere";-20,9367528259929
"BlueTeamChampionTwistedFate";682,884001426722
"BlueTeamChampionVarus";100,179538099079
"BlueTeamChampionVeigar";-513,019806407754
"BlueTeamChampionVelkoz";67,1677129731718
"BlueTeamChampionVex";186,473112441606
"BlueTeamChampionViktor";-62,9287830451377
"BlueTeamChampionVladimir";-536,739884107877
"BlueTeamChampionXerath";-353,311796141187
"BlueTeamChampionYasuo";55,2727112152275
"BlueTeamChampionYone";-202,117864432436
"BlueTeamChampionZed";-275,485787097104
"BlueTeamChampionZiggs";177,509244158924
"BlueTeamChampionZilean";-1026,55890559242
"BlueTeamChampionZoe";334,864798222608
"RedTeamChampionAhri";1288,02491779292
"RedTeamChampionAkali";1041,4540961373
"RedTeamChampionAkshan";1249,5222045551
"RedTeamChampionAmbessa";1433,77344873798
"RedTeamChampionAnivia";764,430010190464
"RedTeamChampionAnnie";824,288256941416
"RedTeamChampionAurelionSol";2059,11195763678
"RedTeamChampionAurora";1263,62776470849
"RedTeamChampionAzir";1319,24184001804
"RedTeamChampionCassiopeia";1104,14414276326
"RedTeamChampionChogath";1154,22256024315
"RedTeamChampionCorki";1301,47350831395
"RedTeamChampionDiana";-449,646963911885
"RedTeamChampionEkko";-254,280948972016
"RedTeamChampionEzreal";1299,53499648985
"RedTeamChampionGalio";1447,23445847858
"RedTeamChampionGragas";1762,27638623213
"RedTeamChampionHwei";1258,92752593706
"RedTeamChampionIrelia";-2,8211971542199
"RedTeamChampionJayce";1284,66852388214
"RedTeamChampionKarma";1618,5131083703
"RedTeamChampionKatarina";3816,76979488422
"RedTeamChampionKayle";NA
"RedTeamChampionLeblanc";1074,15352691007
"RedTeamChampionLeeSin";2215,18062657792
"RedTeamChampionLissandra";1394,6855975603
"RedTeamChampionLucian";3228,10129148359
"RedTeamChampionLux";1810,82674456915
"RedTeamChampionMel";912,274009762163
"RedTeamChampionNaafiri";1121,26766160156
"RedTeamChampionNasus";1501,22774322238
"RedTeamChampionOrianna";1290,28352562942
"RedTeamChampionPantheon";465,559242722862
"RedTeamChampionRyze";1326,22459135516
"RedTeamChampionSett";1445,37289212561
"RedTeamChampionSion";1420,88336001234
"RedTeamChampionSmolder";1401,38944185923
"RedTeamChampionSwain";842,441139827405
"RedTeamChampionSylas";1392,95793826055
"RedTeamChampionSyndra";1142,12303296986
"RedTeamChampionTaliyah";1475,36745043752
"RedTeamChampionTristana";1217,43215022482
"RedTeamChampionTryndamere";1274,24172128336
"RedTeamChampionVeigar";779,533678215701
"RedTeamChampionVelkoz";929,348825293987
"RedTeamChampionVex";406,218314267155
"RedTeamChampionViego";1168,59941029493
"RedTeamChampionViktor";1318,8298596906
"RedTeamChampionVladimir";1254,52981610843
"RedTeamChampionXerath";828,141967964879
"RedTeamChampionYasuo";1535,68383456857
"RedTeamChampionYone";1409,7182501733
"RedTeamChampionZed";670,721463833978
"RedTeamChampionZeri";1157,32903431331
"RedTeamChampionZiggs";1776,62843262346
"RedTeamChampionZilean";2824,64379060504
"RedTeamChampionZoe";791,848151848529
"BlueTeamPlayer1M Panda2";1194,40609788823
"BlueTeamPlayer1M Sahira";780,215427087345
"BlueTeamPlayer5M Azura";-1059,13417536767
"BlueTeamPlayer7D Saifer";-965,136740983705
"BlueTeamPlayerAFW Nano";947,986221633283
"BlueTeamPlayerALShanks";-74,2479357943465
"BlueTeamPlayerAMI PhyMini";-575,433936501021
"BlueTeamPlayerANB Annie Bot";507,904889190317
"BlueTeamPlayerANB Ksaez";681,506337796007
"BlueTeamPlayerANB Secrett";1093,58529062443
"BlueTeamPlayerANC Vyctor";-45,0333156591168
"BlueTeamPlayerAOMA Painful";1295,5330714648
"BlueTeamPlayerAPM Alvanai";941,667001585181
"BlueTeamPlayerAPM Satan";396,802812776945
"BlueTeamPlayerARA Madara";615,575117387151
"BlueTeamPlayerAXL Camana";-514,53882725232
"BlueTeamPlayerAXL FSZ";348,550849389814
"BlueTeamPlayerB2TG Roison";-314,878012798093
"BlueTeamPlayerBAM 6ax";1184,12590733568
"BlueTeamPlayerBAM Daemi";570,365793807103
"BlueTeamPlayerBAR Czekolad";738,343178704828
"BlueTeamPlayerBCT Enapon";479,95671575651
"BlueTeamPlayerBCT R0se";1392,93568877009
"BlueTeamPlayerBDG Kaymin";1215,36629148328
"BlueTeamPlayerBDS nuc";-550,901282747614
"BlueTeamPlayerBDSA Toffe";1456,26418059112
"BlueTeamPlayerBE5 Bruno";589,299557956108
"BlueTeamPlayerBE5 MarrowOoze";1729,92443716023
"BlueTeamPlayerBE5 Sintax";-228,181989479224
"BlueTeamPlayerBER Dumbinho";-1162,77066777865
"BlueTeamPlayerBFX Daystar";-509,191554887438
"BlueTeamPlayerBFX VicLa";-281,251250627998
"BlueTeamPlayerBGT Jool";1550,17119470908
"BlueTeamPlayerBIG Dajor";1506,11614246774
"BlueTeamPlayerBJK Mask";1752,64159164706
"BlueTeamPlayerBJK TolanD";1320,84350533543
"BlueTeamPlayerBKD Eria";209,029149572954
"BlueTeamPlayerBKR OMON";1358,91449477348
"BlueTeamPlayerBLDP Kofte";1429,10735977236
"BlueTeamPlayerBLGKnight";-151,992601362765
"BlueTeamPlayerBLUE Samikin";-275,872525579498
"BlueTeamPlayerBRO Clozer";-383,158499171685
"BlueTeamPlayerBRO Starlit";-566,874500783729
"BlueTeamPlayerBRT D1verse";98,9436671445941
"BlueTeamPlayerBRT Tibor";1577,68626514653
"BlueTeamPlayerBVL uwaa";-2267,06785564616
"BlueTeamPlayerBVL uwaaaa";-152,539541833716
"BlueTeamPlayerBW Mercy9";1576,79213070385
"BlueTeamPlayerBW Ronaldo";1432,91687696727
"BlueTeamPlayerBWE DarkBlue";-505,98294825766
"BlueTeamPlayerC9 Loki ";-298,445867068422
"BlueTeamPlayerCBC Henli";10,0580894170395
"BlueTeamPlayerCCG AoJune";18,6003973778789
"BlueTeamPlayerCFO HongQ";-443,503351618611
"BlueTeamPlayerCFOA Ka1ser";-864,336026500674
"BlueTeamPlayerCG Vigil";-211,666408917173
"BlueTeamPlayerCGN Phantasm";1338,93273079162
"BlueTeamPlayerCHF JimieN";-1049,41436116072
"BlueTeamPlayerCK Razer";-2,460495964305
"BlueTeamPlayerCK Saba";-52,0318174689143
"BlueTeamPlayerCKZ Mildorff";-568,667519507327
"BlueTeamPlayerCNA Shizika";908,377720603757
"BlueTeamPlayerCNV DARKWINGS";-396,80838667567
"BlueTeamPlayerCRZ Narttaker";-477,348440555758
"BlueTeamPlayerCZV Pesho";1625,35848526203
"BlueTeamPlayerDCG HongSuo";-320,15302732761
"BlueTeamPlayerDCG XiaoXiang";-1651,49864146855
"BlueTeamPlayerDFM Aria";-671,131144823321
"BlueTeamPlayerDFMA rre ";194,204738664963
"BlueTeamPlayerDG hatinyang";202,47539884695
"BlueTeamPlayerDG suyahime";68,6248909979213
"BlueTeamPlayerDIG Keine";-125,428419829864
"BlueTeamPlayerDINO TT";-104,658532506487
"BlueTeamPlayerDK Garden";-786,408752087402
"BlueTeamPlayerDK ShowMaker";-295,117953952485
"BlueTeamPlayerDM Ramune";223,876500246719
"BlueTeamPlayerDMG Bisgaard";1450,96861580436
"BlueTeamPlayerDND KatEvolved";1006,797941457
"BlueTeamPlayerDND Phantasm";1424,6132467908
"BlueTeamPlayerDNE KOUBEE";905,101344622539
"BlueTeamPlayerDNET Benda";1694,8486353454
"BlueTeamPlayerDNF BuLLDoG";-334,028433253761
"BlueTeamPlayerDNF Pungyeon";-274,010281102765
"BlueTeamPlayerDOC Liivek";-323,990913426683
"BlueTeamPlayerDPM Envy";-3,36458033827378
"BlueTeamPlayerDRX kyeahoo";-165,504219652132
"BlueTeamPlayerDRX Ucal";-157,015242161961
"BlueTeamPlayerDSG Abbedagge";-859,479115500981
"BlueTeamPlayerDVG Lukyss";683,920737971925
"BlueTeamPlayerDVKM Overpow";-470,684966379524
"BlueTeamPlayerDVX TalentLess";859,169817971893
"BlueTeamPlayerDZ Spirax";-544,149085829092
"BlueTeamPlayerDZ Toasty";224,398229008532
"BlueTeamPlayerEDGAngel";-366,373477749971
"BlueTeamPlayerEE Slide";354,453959681666
"BlueTeamPlayerEF Ivory ";1189,33430534657
"BlueTeamPlayerEINS PowerOfEvil";1436,340445924
"BlueTeamPlayerEIQ many";1250,52987826662
"BlueTeamPlayerEKO Divinee";-32,4085915965883
"BlueTeamPlayerEKO DVN";-310,695952429275
"BlueTeamPlayerESB Fade";1173,08422938111
"BlueTeamPlayerESBA WalliR";1270,51836380014
"BlueTeamPlayerET Hitsu";-1004,01390956033
"BlueTeamPlayerEWI Relative";1346,65306051401
"BlueTeamPlayerF0X Warner";1072,73838664751
"BlueTeamPlayerFAK Pretender";-564,495519804624
"BlueTeamPlayerFES DIVA";1692,26862721444
"BlueTeamPlayerFLA Pilot";-226,317902192795
"BlueTeamPlayerFLH Heroic";-552,092981940687
"BlueTeamPlayerFLH Tibor";627,77967928286
"BlueTeamPlayerFLY Quad";-12,637059470896
"BlueTeamPlayerFMS Mrozku";-271,634174402103
"BlueTeamPlayerFNC Humanoid";-182,278187993824
"BlueTeamPlayerFOG Furuy";861,077257388844
"BlueTeamPlayerFOG Sencux";1158,2495822832
"BlueTeamPlayerFPXCare";-404,751731402912
"BlueTeamPlayerFSK Mrozku";-351,829372667732
"BlueTeamPlayerFSK Secrett";-638,867618680907
"BlueTeamPlayerFTW NOMA";463,144198266891
"BlueTeamPlayerFUE Zelt";-407,865690965656
"BlueTeamPlayerFUR Tutsz";-496,327475588993
"BlueTeamPlayerFVN Enga";837,068113319965
"BlueTeamPlayerFX Fuuu";622,491277185468
"BlueTeamPlayerFXW7 Fuuu";-594,078341161136
"BlueTeamPlayerG2 Caps";-439,147423886417
"BlueTeamPlayerGAM Aress";-1275,4537714203
"BlueTeamPlayerGEN Chovy";216,510675969004
"BlueTeamPlayerGEN Kemish";-373,957527504996
"BlueTeamPlayerGK Giyuu";1349,65800862266
"BlueTeamPlayerGL SeRiN";1296,50131046794
"BlueTeamPlayerGLR Heroic";2167,67769016523
"BlueTeamPlayerGLR SeMike";938,021644202729
"BlueTeamPlayerGMB iwanan";-445,089464513945
"BlueTeamPlayerGNG Koussay";1012,51444447617
"BlueTeamPlayerGOAL J0J0C";625,471461257308
"BlueTeamPlayerGSMC FIERCE";1447,31973261124
"BlueTeamPlayerGSMC Tsiperakos";755,844225033125
"BlueTeamPlayerGSNS Macaquino";-554,130402341918
"BlueTeamPlayerGTZ Fantomisto";17,4975168627429
"BlueTeamPlayerGW Backlund";920,314812863506
"BlueTeamPlayerGX Jackies";-625,334518747739
"BlueTeamPlayerGXP Feisty";998,843028006873
"BlueTeamPlayerGZ Dooly";-1107,16754473153
"BlueTeamPlayerGZ Mission";-880,43872168691
"BlueTeamPlayerGZ Nestea";-504,672445884773
"BlueTeamPlayerHELL Faded2";500,687921613107
"BlueTeamPlayerHKUF Qubi";-1533,03853899769
"BlueTeamPlayerHLE Tempester";-639,612307551732
"BlueTeamPlayerHLE Zeka";129,537958332269
"BlueTeamPlayerHOF Waterbender";296,997161378403
"BlueTeamPlayerHPS kanashimi";-897,472591384477
