"";"x"
"(Intercept)";-150,134775893246
"BlueTeamChampionAmumu";93,1285779313417
"BlueTeamChampionAnnie";169,749348824595
"BlueTeamChampionAshe";311,965162964239
"BlueTeamChampionBard";231,521278458262
"BlueTeamChampionBlitzcrank";15,398210286941
"BlueTeamChampionBraum";99,4952702200637
"BlueTeamChampionCamille";-401,056703842226
"BlueTeamChampionChogath";601,519676053926
"BlueTeamChampionElise";458,949710262661
"BlueTeamChampionFiddleSticks";-26,1468052681549
"BlueTeamChampionGalio";196,014224737926
"BlueTeamChampionGragas";201,813804049681
"BlueTeamChampionHwei";978,454164719113
"BlueTeamChampionJanna";-18,3492078207064
"BlueTeamChampionKarma";319,743078394037
"BlueTeamChampionLeblanc";50,866344360639
"BlueTeamChampionLeeSin";299,78233252938
"BlueTeamChampionLeona";30,3754890267046
"BlueTeamChampionLulu";59,4545021087982
"BlueTeamChampionLux";-342,366250508396
"BlueTeamChampionMaokai";268,996874716553
"BlueTeamChampionMilio";-196,249166347011
"BlueTeamChampionMonkeyKing";738,737727018616
"BlueTeamChampionMorgana";969,825618616271
"BlueTeamChampionNami";199,34496570524
"BlueTeamChampionNautilus";61,9999271590623
"BlueTeamChampionNeeko";277,658981481742
"BlueTeamChampionPantheon";178,925901424233
"BlueTeamChampionPoppy";156,810972670077
"BlueTeamChampionPyke";460,863176767035
"BlueTeamChampionRakan";101,362724076116
"BlueTeamChampionRell";41,6583813247178
"BlueTeamChampionRenata";64,5226189715991
"BlueTeamChampionSejuani";-244,383568366708
"BlueTeamChampionSenna";21,8960495011592
"BlueTeamChampionSeraphine";159,574851045487
"BlueTeamChampionSett";237,622203381208
"BlueTeamChampionShen";253,141913860403
"BlueTeamChampionSona";-479,888171872509
"BlueTeamChampionSoraka";-105,492302732258
"BlueTeamChampionTahmKench";-9,95130300565981
"BlueTeamChampionTaric";14,2037999129002
"BlueTeamChampionThresh";4,04259059048
"BlueTeamChampionVeigar";-222,509054093188
"BlueTeamChampionYuumi";37,5417462699519
"BlueTeamChampionZac";8,83608610004477
"BlueTeamChampionZilean";186,217535711222
"BlueTeamChampionZyra";265,61352553974
"RedTeamChampionAmumu";-110,174213892036
"RedTeamChampionAnnie";-360,598465136113
"RedTeamChampionAshe";-180,828609258706
"RedTeamChampionBard";-79,9640746663305
"RedTeamChampionBlitzcrank";73,6788218137859
"RedTeamChampionBraum";-106,931676507554
"RedTeamChampionCamille";-257,976127468407
"RedTeamChampionElise";-368,563817795708
"RedTeamChampionFiddleSticks";-233,542692841007
"RedTeamChampionGalio";-152,615133246588
"RedTeamChampionGragas";-231,848827690217
"RedTeamChampionJanna";-456,574973081652
"RedTeamChampionKarma";-137,568829292854
"RedTeamChampionKennen";137,691020453133
"RedTeamChampionLeblanc";472,177791841118
"RedTeamChampionLeona";13,2587300428287
"RedTeamChampionLulu";-145,047737691378
"RedTeamChampionLux";-211,399241701625
"RedTeamChampionMaokai";-38,7352598646139
"RedTeamChampionMel";201,772051817121
"RedTeamChampionMilio";-180,032618833134
"RedTeamChampionNami";248,341041920138
"RedTeamChampionNautilus";-33,90895272167
"RedTeamChampionNeeko";-101,772276114556
"RedTeamChampionNidalee";-927,193458011556
"RedTeamChampionOrnn";-785,087907807347
"RedTeamChampionPantheon";-228,854642580219
"RedTeamChampionPoppy";-42,5530931626416
"RedTeamChampionPyke";-417,73800016713
"RedTeamChampionRakan";-81,4612771834458
"RedTeamChampionRell";-54,2045547064491
"RedTeamChampionRenata";-158,87486762084
"RedTeamChampionSenna";-551,017027344852
"RedTeamChampionSeraphine";-412,292906138753
"RedTeamChampionShen";-867,711007547603
"RedTeamChampionSoraka";-229,040225131812
"RedTeamChampionTahmKench";252,354942815036
"RedTeamChampionTaric";855,912757146498
"RedTeamChampionThresh";-28,4981096267011
"RedTeamChampionYuumi";334,731746194261
"RedTeamChampionZac";-133,829716490368
"RedTeamChampionZilean";6,7135334404011
"RedTeamChampionZyra";56,3009288821661
"BlueTeamPlayer1M Frozenn1";1165,38937780057
"BlueTeamPlayer1M Leo S Man";1223,89396503154
"BlueTeamPlayer5M Profirio";237,001451970666
"BlueTeamPlayer7D Max";-346,60859490693
"BlueTeamPlayerAFW HungryPanda";1615,41554786414
"BlueTeamPlayerALKael";-9,90174851289916
"BlueTeamPlayerAMI Pockus";156,283302767406
"BlueTeamPlayerANB B Butcher";1234,20979702193
"BlueTeamPlayerANB Klownz";1324,81861169765
"BlueTeamPlayerANB uden";1227,67615648827
"BlueTeamPlayerANC Paulcannon";-40,3515525925678
"BlueTeamPlayerAOMA Stookbeer";185,481167351552
"BlueTeamPlayerAOMA Urban";21,9123956199243
"BlueTeamPlayerAPM Roo";1022,0529450975
"BlueTeamPlayerAPM Xavi";1117,33393672416
"BlueTeamPlayerARA Ducks";658,588130856374
"BlueTeamPlayerARA Ipecacuhana";-451,22438126161
"BlueTeamPlayerAXL justcan";274,603985346098
"BlueTeamPlayerB2TG Czypsy";973,076243256671
"BlueTeamPlayerBAM Biskoo";964,806833035645
"BlueTeamPlayerBAM Goliath";1287,08952323603
"BlueTeamPlayerBAM Klownz";2069,04770775749
"BlueTeamPlayerBAR whiteinn";935,215674584714
"BlueTeamPlayerBCT Enapon";124,187768293979
