"";"x"
"(Intercept)";-381,452752133205
"BlueTeamChampionAkali";592,024458465445
"BlueTeamChampionAmbessa";36,311882850211
"BlueTeamChampionAnivia";81,0174211029789
"BlueTeamChampionAurora";266,819107655589
"BlueTeamChampionAzir";-78,3261940003599
"BlueTeamChampionCamille";-141,597688147416
"BlueTeamChampionCassiopeia";671,309415029019
"BlueTeamChampionChogath";-22,2296412318
"BlueTeamChampionCorki";224,614146162593
"BlueTeamChampionDarius";347,783101130195
"BlueTeamChampionDiana";-1013,29754584581
"BlueTeamChampionDraven";230,158995892916
"BlueTeamChampionDrMundo";70,8586693290221
"BlueTeamChampionFiora";563,544209196168
"BlueTeamChampionGalio";-42,4970562254695
"BlueTeamChampionGangplank";401,481726630862
"BlueTeamChampionGaren";-169,262548697527
"BlueTeamChampionGnar";193,596290212668
"BlueTeamChampionGragas";-47,4179469484724
"BlueTeamChampionGwen";195,596017880935
"BlueTeamChampionIrelia";400,020570691883
"BlueTeamChampionJax";-41,7298297726712
"BlueTeamChampionJayce";370,264310084101
"BlueTeamChampionKaisa";46,5188638633826
"BlueTeamChampionKalista";567,088744613488
"BlueTeamChampionKarma";-181,657135179512
"BlueTeamChampionKayle";-41,715458501985
"BlueTeamChampionKayn";-555,064259275192
"BlueTeamChampionKennen";333,65843139152
"BlueTeamChampionKled";771,498903975203
"BlueTeamChampionKSante";70,7446093772013
"BlueTeamChampionLeblanc";125,935638861118
"BlueTeamChampionMalphite";-174,359935513105
"BlueTeamChampionMaokai";220,957180021113
"BlueTeamChampionMissFortune";-138,19247208291
"BlueTeamChampionMonkeyKing";-34,7238086141526
"BlueTeamChampionMordekaiser";-49,2653769382786
"BlueTeamChampionNaafiri";-1016,01492506929
"BlueTeamChampionNasus";-198,858310774876
"BlueTeamChampionNautilus";-1492,76802979534
"BlueTeamChampionNeeko";279,891939990712
"BlueTeamChampionNidalee";541,358168805272
"BlueTeamChampionOlaf";58,3249671670091
"BlueTeamChampionOrnn";-203,717520384661
"BlueTeamChampionPantheon";682,901701565921
"BlueTeamChampionPoppy";100,058503438041
"BlueTeamChampionQuinn";-588,841384808605
"BlueTeamChampionRenekton";301,069746308535
"BlueTeamChampionRiven";564,341285006723
"BlueTeamChampionRumble";36,6467564076179
"BlueTeamChampionRyze";191,239245009511
"BlueTeamChampionSejuani";-21,0237081128605
"BlueTeamChampionSett";408,076215117755
"BlueTeamChampionShen";139,518328298132
"BlueTeamChampionSinged";41,5881107333457
"BlueTeamChampionSion";54,2987247290716
"BlueTeamChampionSmolder";-482,482455178196
"BlueTeamChampionSwain";145,870149475609
"BlueTeamChampionSylas";662,013831157213
"BlueTeamChampionTrundle";963,97363962752
"BlueTeamChampionTryndamere";1667,43241434157
"BlueTeamChampionUdyr";99,9668223536278
"BlueTeamChampionUrgot";361,63508055626
"BlueTeamChampionVarus";489,015429446266
"BlueTeamChampionVayne";-379,447677469965
"BlueTeamChampionVex";128,222608718333
"BlueTeamChampionVi";-768,799774319526
"BlueTeamChampionVladimir";452,478443245705
"BlueTeamChampionVolibear";102,716928766085
"BlueTeamChampionWarwick";28,5247897206646
"BlueTeamChampionXerath";773,658233211103
"BlueTeamChampionYasuo";-526,390881157982
"BlueTeamChampionYone";86,6116454796694
"BlueTeamChampionYorick";217,053658225674
"BlueTeamChampionZac";143,660363033325
"RedTeamChampionAkali";-221,528531486898
"RedTeamChampionAmbessa";-8,46751660424525
"RedTeamChampionAnivia";100,25439041515
"RedTeamChampionAurora";-342,521875856637
"RedTeamChampionCamille";113,055321696961
"RedTeamChampionCassiopeia";-747,419651994869
"RedTeamChampionChogath";-1,92177458817293
"RedTeamChampionDarius";-653,023502034025
"RedTeamChampionDraven";-2146,17990652203
"RedTeamChampionDrMundo";343,253874613705
