"";"x"
"(Intercept)";684,92431364064
"BlueTeamChampionAshe";381,714995867478
"BlueTeamChampionBrand";1981,7886356459
"BlueTeamChampionCaitlyn";697,803259907858
"BlueTeamChampionCorki";543,68265397136
"BlueTeamChampionDraven";421,290892312081
"BlueTeamChampionEzreal";458,847302957073
"BlueTeamChampionGalio";1356,62875858629
"BlueTeamChampionGnar";-1382,61894938869
"BlueTeamChampionHwei";237,950964443895
"BlueTeamChampionJhin";539,703890616334
"BlueTeamChampionJinx";692,315244783301
"BlueTeamChampionKaisa";799,366056755993
"BlueTeamChampionKalista";759,459727167182
"BlueTeamChampionKogMaw";-67,8417656572708
"BlueTeamChampionLeeSin";-2803,0169734484
"BlueTeamChampionLucian";814,843140050507
"BlueTeamChampionLux";311,408284077724
"BlueTeamChampionMel";-141,42256674384
"BlueTeamChampionMissFortune";818,457763630463
"BlueTeamChampionNilah";4722,67908114301
"BlueTeamChampionRumble";1849,28779285807
"BlueTeamChampionSenna";-5881,85404236111
"BlueTeamChampionSeraphine";371,979258534575
"BlueTeamChampionSion";1846,04892875777
"BlueTeamChampionSivir";1022,0563050064
"BlueTeamChampionSmolder";638,378634478742
"BlueTeamChampionSwain";1223,37041310732
"BlueTeamChampionTaliyah";1924,03858538499
"BlueTeamChampionTristana";1045,0065224092
"BlueTeamChampionTwitch";60,0334716441902
"BlueTeamChampionVarus";404,584285476338
"BlueTeamChampionVayne";742,212078914216
"BlueTeamChampionViktor";-3848,67975582416
"BlueTeamChampionXayah";694,345487357049
"BlueTeamChampionYasuo";-377,984954660482
"BlueTeamChampionZeri";900,261002734247
"BlueTeamChampionZiggs";-225,041495237508
"BlueTeamChampionZyra";-1274,20989734389
"RedTeamChampionAshe";825,223254466513
"RedTeamChampionBrand";220,120171184027
"RedTeamChampionCaitlyn";132,376460193049
"RedTeamChampionCassiopeia";1762,88970241556
"RedTeamChampionCorki";374,506033053647
"RedTeamChampionDraven";-694,851597938967
"RedTeamChampionEzreal";999,862911648179
"RedTeamChampionHwei";1260,5483435502
"RedTeamChampionJhin";918,378171016945
"RedTeamChampionJinx";256,10358224512
"RedTeamChampionKaisa";69,4514534802029
"RedTeamChampionKalista";485,23557116604
"RedTeamChampionKogMaw";2281,96488959016
"RedTeamChampionLucian";330,742903757289
"RedTeamChampionMel";254,724435695473
"RedTeamChampionMissFortune";-29,7739754999865
"RedTeamChampionNilah";1784,88053322311
"RedTeamChampionOrianna";3401,81379618877
"RedTeamChampionOrnn";3198,12269958466
"RedTeamChampionRumble";-1233,21736846291
"RedTeamChampionSenna";4620,46455560354
"RedTeamChampionSeraphine";2433,7344853127
"RedTeamChampionSivir";509,683535257679
"RedTeamChampionSmolder";1185,57933585876
"RedTeamChampionSwain";2819,57224746874
"RedTeamChampionTahmKench";4134,09417343489
"RedTeamChampionTaliyah";1117,42365521031
"RedTeamChampionTristana";191,600761736703
"RedTeamChampionTwitch";830,69817827436
"RedTeamChampionVarus";644,784865724332
"RedTeamChampionVayne";2194,19973731165
"RedTeamChampionVeigar";5198,29573725472
"RedTeamChampionVelkoz";3201,61714165216
"RedTeamChampionXayah";518,867719586702
"RedTeamChampionXerath";-114,98992965383
"RedTeamChampionYasuo";-2634,08667545196
"RedTeamChampionZeri";7,93562740528006
"RedTeamChampionZiggs";1454,38015109026
"BlueTeamPlayer1M MetroArcher";-297,199129469715
"BlueTeamPlayer1M Unkn0wn";1193,84229027212
"BlueTeamPlayer5M Ratao";-1308,10727801068
"BlueTeamPlayer7D 6onza";-6307,59252297271
"BlueTeamPlayer7D Hika";-4400,20504253152
"BlueTeamPlayerAFW Vaynedeta";2265,49556871613
"BlueTeamPlayerALHope";-389,048700900177
"BlueTeamPlayerAMI Bazz1";-2882,31300603839
"BlueTeamPlayerANB kehvo";734,007978836264
"BlueTeamPlayerANB Kehvo";1404,59516186717
"BlueTeamPlayerANB Mimic1";524,830253351417
"BlueTeamPlayerANC Brizz";-2768,81160223877
"BlueTeamPlayerAOMA Guppy";-473,000235010512
"BlueTeamPlayerAOMA MrHB";344,080875359576
"BlueTeamPlayerAPM Nikiyas";1035,15519913747
"BlueTeamPlayerAPM Odi11";-515,44230335998
"BlueTeamPlayerARA Khaydarin";-774,879748459387
"BlueTeamPlayerAXL Crem";-161,002712084706
"BlueTeamPlayerB2TG Lothen";291,419383720727
"BlueTeamPlayerBAM Nawaf";1382,50763101731
"BlueTeamPlayerBAR Legolas";2230,29316868456
"BlueTeamPlayerBCT L1mit";985,408246617951
"BlueTeamPlayerBDG Exofeng";2544,72978081052
"BlueTeamPlayerBDS Ice";812,457560926063
"BlueTeamPlayerBDSA Mishi";2037,44845657995
"BlueTeamPlayerBDSA Piwek";1363,7440003086
"BlueTeamPlayerBE5 Pl0x";1852,2331101698
"BlueTeamPlayerBER Berimbau";-5360,4695383093
"BlueTeamPlayerBFX Diable";588,281262997589
"BlueTeamPlayerBFX Envyy";-410,555863459192
"BlueTeamPlayerBGT ToongE";4768,97844491878
"BlueTeamPlayerBIG Bean";2627,90112417286
"BlueTeamPlayerBJK Lens";1698,37156711761
"BlueTeamPlayerBJK Neon";6059,27079605485
"BlueTeamPlayerBKD chilioil";-437,834551320369
"BlueTeamPlayerBKR BOOSHI";2106,73928506724
"BlueTeamPlayerBKR Keduii";3404,49534937253
"BlueTeamPlayerBLDP Nawa";4402,99104822526
"BlueTeamPlayerBLDP Slayder";3985,36851044098
"BlueTeamPlayerBLGElk";-1684,21943787138
"BlueTeamPlayerBLUE Levitate";-3123,56637631283
"BlueTeamPlayerBRO Bull";-1314,34528838646
"BlueTeamPlayerBRO Ellim";NA
"BlueTeamPlayerBRO Hype ";149,06458363101
"BlueTeamPlayerBRO Levy";-3598,01266196611
"BlueTeamPlayerBRT Esko";1943,44075161476
"BlueTeamPlayerBVL MayR";-1179,65291278975
"BlueTeamPlayerBW Scorth";5027,75550156661
"BlueTeamPlayerBWE NBA";-2234,99061926514
"BlueTeamPlayerC9 Zven";-1401,87598982664
"BlueTeamPlayerCBC SkyK";-3357,24668975397
"BlueTeamPlayerCCG Array";-3376,81007962137
"BlueTeamPlayerCFO Doggo";307,024800222566
"BlueTeamPlayerCFOA Cuicuixi";-3707,05974546987
"BlueTeamPlayerCG Zewih";-605,574107493513
"BlueTeamPlayerCGN Reptile";4778,36615815611
"BlueTeamPlayerCHF leemas";-2071,40998065422
"BlueTeamPlayerCHF Violet";-2954,94659945517
"BlueTeamPlayerCK Damocles";-511,291826039455
"BlueTeamPlayerCKZ Luca Brassi";2253,45905534614
"BlueTeamPlayerCNA Pcelica";934,984695238379
"BlueTeamPlayerCNV Chrome";-1254,3440114466
"BlueTeamPlayerCRZ Rashiro";-861,578394558668
"BlueTeamPlayerCZV Devn";1052,96160433584
"BlueTeamPlayerDCG Feng ";-1056,65918679702
"BlueTeamPlayerDFM Kakkun";-2834,52091694091
"BlueTeamPlayerDFM Milan";-704,175517913445
"BlueTeamPlayerDFMA Deant9";-1056,93812083322
"BlueTeamPlayerDG W1ng";-681,962860903344
"BlueTeamPlayerDIG Tomo";-2545,83274175855
"BlueTeamPlayerDINO Harky";-3371,40622314088
"BlueTeamPlayerDK Aiming";1456,06280737332
"BlueTeamPlayerDK Wayne";-906,477171098895
"BlueTeamPlayerDM history";847,345508665327
"BlueTeamPlayerDMG Faetski";1674,33009530441
"BlueTeamPlayerDND Innaxe";3362,72446579696
"BlueTeamPlayerDND Reptile";2194,30993184855
"BlueTeamPlayerDNE BlackSwan";1436,75666507889
"BlueTeamPlayerDNET Rias1";3723,55987649308
"BlueTeamPlayerDNF Berserker";464,451075914974
"BlueTeamPlayerDNF Slayer";-654,116119312378
"BlueTeamPlayerDOC Sidav";1454,20662339515
"BlueTeamPlayerDPM Kojima";-3667,35508911254
"BlueTeamPlayerDPM micaO";-1487,99487106421
"BlueTeamPlayerDRX Alive";-330,510269285494
"BlueTeamPlayerDRX LazyFeel";-195,279987791561
"BlueTeamPlayerDRX Teddy";-842,752473397403
"BlueTeamPlayerDSG ScaryJerry";-3031,89228347413
"BlueTeamPlayerDVG 452apm";542,211393447869
"BlueTeamPlayerDVKM Lucker";1144,56106717788
"BlueTeamPlayerDVX Etoo";1427,17253383364
"BlueTeamPlayerDZ sajed";-704,368259001107
"BlueTeamPlayerDZ Spawn";-6511,31407683169
"BlueTeamPlayerEDGAhn";-2258,7068380174
"BlueTeamPlayerEDGAssum";-2990,38688032706
"BlueTeamPlayerEE Morfan";372,023618968473
"BlueTeamPlayerEF Ruep";4951,91616601127
"BlueTeamPlayerEF RUEP";5394,94673262794
"BlueTeamPlayerEINS Broeki";708,50159717723
"BlueTeamPlayerEIQ Strode";2493,19922669401
"BlueTeamPlayerEKO MrFreezed";-762,445223709795
"BlueTeamPlayerESB Ascend";4236,75883183447
"BlueTeamPlayerESBA ONLY";1073,02873550727
"BlueTeamPlayerET Kumew";-5633,53589480419
"BlueTeamPlayerEWI noz2k";2068,90585569996
"BlueTeamPlayerF0X Fede";1226,60640129277
"BlueTeamPlayerFAK Shunn";-1497,17633453563
"BlueTeamPlayerFES Paladin";-2570,33547311782
"BlueTeamPlayerFLA NinjaKiwi";-2880,51530873549
