"";"x"
"(Intercept)";-188,790570457867
"BlueTeamChampionAmumu";665,956717118434
"BlueTeamChampionBelveth";3731,83998057906
"BlueTeamChampionBrand";234,876653352484
"BlueTeamChampionDarius";2188,23000716611
"BlueTeamChampionDiana";1613,9305210403
"BlueTeamChampionDrMundo";1310,46629640459
"BlueTeamChampionElise";852,130789873899
"BlueTeamChampionGragas";2751,27829881337
"BlueTeamChampionGwen";2696,44724999129
"BlueTeamChampionHecarim";4706,90091190756
"BlueTeamChampionIvern";730,088623061662
"BlueTeamChampionJarvanIV";532,461833471774
"BlueTeamChampionJax";2070,08309244445
"BlueTeamChampionKarthus";2253,7254728522
"BlueTeamChampionKayn";2411,61117701355
"BlueTeamChampionKhazix";2455,19593985954
"BlueTeamChampionKindred";2216,01862004074
"BlueTeamChampionLeeSin";1504,95004269385
"BlueTeamChampionLillia";1792,36715751625
"BlueTeamChampionMaokai";538,633231394696
"BlueTeamChampionMasterYi";2911,47311598334
"BlueTeamChampionMonkeyKing";1291,27514950042
"BlueTeamChampionMorgana";2323,51676616985
"BlueTeamChampionNaafiri";2068,21025856063
"BlueTeamChampionNautilus";-1542,61508622786
"BlueTeamChampionNeeko";3032,85236836653
"BlueTeamChampionNidalee";1831,45597072481
"BlueTeamChampionNocturne";1159,89356919213
"BlueTeamChampionNunu";612,876641413048
"BlueTeamChampionOlaf";2446,56660966127
"BlueTeamChampionPantheon";1671,68825026967
"BlueTeamChampionPoppy";1240,74840929748
"BlueTeamChampionRekSai";1374,10525104244
"BlueTeamChampionRengar";1091,04892128421
"BlueTeamChampionRumble";786,820170069988
"BlueTeamChampionSejuani";590,883956303738
"BlueTeamChampionSion";-3351,22505964179
"BlueTeamChampionSkarner";514,110854109019
"BlueTeamChampionTaliyah";1835,66277226285
"BlueTeamChampionTrundle";1123,45031627466
"BlueTeamChampionVi";1243,21208210599
"BlueTeamChampionViego";2334,41617222815
"BlueTeamChampionVolibear";736,05004243133
"BlueTeamChampionXinZhao";1189,34474252436
"BlueTeamChampionZac";795,789358348797
"BlueTeamChampionZed";2414,83677014637
"BlueTeamChampionZyra";1731,982616852
"RedTeamChampionAmumu";623,606079699515
"RedTeamChampionBelveth";-697,865207702084
"RedTeamChampionBrand";-286,991957619076
"RedTeamChampionDarius";-1133,02446730816
"RedTeamChampionDiana";348,999896848605
"RedTeamChampionDrMundo";-1354,95931800216
"RedTeamChampionFiddleSticks";-3115,86337447604
"RedTeamChampionGraves";-4037,83806996728
"RedTeamChampionGwen";-1244,74082190779
"RedTeamChampionHecarim";460,244533499857
"RedTeamChampionIvern";370,495532324713
"RedTeamChampionJarvanIV";-100,40675240858
"RedTeamChampionJax";-421,612764144063
"RedTeamChampionKarthus";-821,277694628622
"RedTeamChampionKayn";-266,800188584964
"RedTeamChampionKhazix";-810,921531311615
"RedTeamChampionKindred";-1026,18735558934
