"";"x"
"(Intercept)";-1490,94396344001
"BlueTeamChampionAkali";13,868337529758
"BlueTeamChampionAmbessa";-1012,71357626293
"BlueTeamChampionAnivia";-1345,83414008344
"BlueTeamChampionAnnie";-353,001800643805
"BlueTeamChampionAurelionSol";647,181439128928
"BlueTeamChampionAurora";-326,574485889791
"BlueTeamChampionAzir";198,158756102497
"BlueTeamChampionCaitlyn";3270,25428969605
"BlueTeamChampionCassiopeia";694,387291893923
"BlueTeamChampionChogath";-338,533460974088
"BlueTeamChampionCorki";904,636228344393
"BlueTeamChampionEkko";-822,426732657383
"BlueTeamChampionEzreal";878,607078345479
"BlueTeamChampionFiora";4160,1131198806
"BlueTeamChampionGalio";-718,92583900365
"BlueTeamChampionGragas";-1337,60484120277
"BlueTeamChampionHwei";-470,240512181218
"BlueTeamChampionIrelia";1094,57499647203
"BlueTeamChampionJayce";-177,81868889238
"BlueTeamChampionKaisa";4441,68835584741
"BlueTeamChampionKarma";-539,793198312839
"BlueTeamChampionKassadin";-150,415289445451
"BlueTeamChampionKatarina";-5141,64094288644
"BlueTeamChampionKayle";1506,06359630101
"BlueTeamChampionKogMaw";-2162,44564402142
"BlueTeamChampionKSante";-721,307513582569
"BlueTeamChampionLeblanc";848,405588106262
"BlueTeamChampionLeeSin";547,230901169813
"BlueTeamChampionLissandra";1647,65685304918
"BlueTeamChampionLucian";-914,182237295624
"BlueTeamChampionLux";1453,67555361643
"BlueTeamChampionMel";-325,08342641072
"BlueTeamChampionMissFortune";-1933,52416122116
"BlueTeamChampionNaafiri";432,641081550796
"BlueTeamChampionNeeko";-12,2773485130839
"BlueTeamChampionOrianna";325,463631084879
"BlueTeamChampionOrnn";-3840,3883901348
"BlueTeamChampionPantheon";-449,248414425101
"BlueTeamChampionRenekton";-1194,40592908328
"BlueTeamChampionRumble";1855,5175118684
"BlueTeamChampionRyze";57,9415900736751
"BlueTeamChampionSett";-2298,24679185881
"BlueTeamChampionSion";-368,046887186197
"BlueTeamChampionSmolder";-312,142115969758
"BlueTeamChampionSwain";-272,178204586567
"BlueTeamChampionSylas";-247,950361889244
"BlueTeamChampionSyndra";246,496664159751
"BlueTeamChampionTaliyah";211,205155309717
"BlueTeamChampionTristana";913,395785794702
"BlueTeamChampionTryndamere";-662,852311472535
"BlueTeamChampionTwistedFate";1093,72507470882
"BlueTeamChampionVarus";-2828,18418707225
"BlueTeamChampionVeigar";-3422,64423131308
"BlueTeamChampionVelkoz";1067,28954075678
"BlueTeamChampionVex";656,929831631411
"BlueTeamChampionViktor";31,6032539616721
"BlueTeamChampionVladimir";-1762,56831150637
"BlueTeamChampionXerath";457,164855907094
"BlueTeamChampionYasuo";1135,4370830116
"BlueTeamChampionYone";228,390124818541
"BlueTeamChampionZed";716,031224809436
"BlueTeamChampionZiggs";314,338262824141
"BlueTeamChampionZilean";-2193,04662695573
"BlueTeamChampionZoe";841,765448384048
"RedTeamChampionAhri";3049,04735048322
"RedTeamChampionAkali";2689,35530813168
"RedTeamChampionAkshan";-4013,00641094995
"RedTeamChampionAmbessa";2908,2654269333
"RedTeamChampionAnivia";2940,99977319609
"RedTeamChampionAnnie";2917,00412733231
"RedTeamChampionAurelionSol";4411,3475152151
"RedTeamChampionAurora";3419,18248463532
"RedTeamChampionAzir";2859,69809652141
"RedTeamChampionCassiopeia";2894,78859597828
"RedTeamChampionChogath";1606,10645057993
"RedTeamChampionCorki";3048,88720449931
"RedTeamChampionDiana";2549,87804532274
"RedTeamChampionEkko";-364,714699907291
"RedTeamChampionEzreal";3836,87984635187
"RedTeamChampionGalio";3758,30097942312
"RedTeamChampionGragas";3473,02884761466
"RedTeamChampionHwei";3459,00263521603
"RedTeamChampionIrelia";388,575685582105
"RedTeamChampionJayce";3182,19133248168
"RedTeamChampionKarma";4102,20817073475
"RedTeamChampionKatarina";8533,04997314182
"RedTeamChampionKayle";NA
"RedTeamChampionLeblanc";2842,40531422539
"RedTeamChampionLeeSin";4123,60367063719
"RedTeamChampionLissandra";4534,38005453678
"RedTeamChampionLucian";9306,294027058
"RedTeamChampionLux";5020,48689285071
"RedTeamChampionMel";2845,11166801424
"RedTeamChampionNaafiri";4687,32377855355
"RedTeamChampionNasus";6112,21303320703
"RedTeamChampionOrianna";3316,59616108629
"RedTeamChampionPantheon";1985,33326131092
"RedTeamChampionRyze";2836,70236670677
"RedTeamChampionSett";3325,35326458372
"RedTeamChampionSion";5489,38748301246
"RedTeamChampionSmolder";3051,11969858255
"RedTeamChampionSwain";1828,47349980775
"RedTeamChampionSylas";3163,92864340531
"RedTeamChampionSyndra";2805,44440192292
"RedTeamChampionTaliyah";3427,43164005953
"RedTeamChampionTristana";2490,00806853701
"RedTeamChampionTryndamere";1737,79713961148
"RedTeamChampionVeigar";2996,48365983237
"RedTeamChampionVelkoz";2383,8987358516
"RedTeamChampionVex";3250,42571181861
"RedTeamChampionViego";3072,77460357511
"RedTeamChampionViktor";3258,83366954991
"RedTeamChampionVladimir";4919,45488652578
"RedTeamChampionXerath";3292,78270377696
"RedTeamChampionYasuo";4254,89720963547
"RedTeamChampionYone";2756,38617581314
"RedTeamChampionZed";1116,62335963831
"RedTeamChampionZeri";3724,83329961872
"RedTeamChampionZiggs";5272,2472853064
"RedTeamChampionZilean";5163,33912693249
"RedTeamChampionZoe";1628,80068205732
"BlueTeamPlayer1M Panda2";-310,061970561234
"BlueTeamPlayer1M Sahira";-1928,39447874756
"BlueTeamPlayer5M Azura";-2782,4422123731
"BlueTeamPlayer7D Saifer";-3448,4311699465
"BlueTeamPlayerAFW Nano";-775,309425723445
"BlueTeamPlayerALShanks";-65,1439286742605
"BlueTeamPlayerAMI PhyMini";-3645,05862610949
"BlueTeamPlayerANB Annie Bot";-2898,79353649227
"BlueTeamPlayerANB Ksaez";-412,401933041942
"BlueTeamPlayerANB Secrett";-760,701404394223
"BlueTeamPlayerANC Vyctor";-3891,87487853553
"BlueTeamPlayerAOMA Painful";67,2194275141479
"BlueTeamPlayerAPM Alvanai";-1733,97591451794
"BlueTeamPlayerAPM Satan";-2129,76603864815
"BlueTeamPlayerARA Madara";-752,150725375872
"BlueTeamPlayerAXL Camana";130,420908784547
"BlueTeamPlayerAXL FSZ";-2982,46693517444
"BlueTeamPlayerB2TG Roison";-3245,45665483211
"BlueTeamPlayerBAM 6ax";-1124,1615184684
"BlueTeamPlayerBAM Daemi";-3325,25432786991
"BlueTeamPlayerBAR Czekolad";-1087,19711603898
"BlueTeamPlayerBCT Enapon";540,668731316653
"BlueTeamPlayerBCT R0se";2952,50042445558
"BlueTeamPlayerBDG Kaymin";1128,88993125314
"BlueTeamPlayerBDS nuc";-1353,6920352986
"BlueTeamPlayerBDSA Toffe";-263,257775226119
"BlueTeamPlayerBE5 Bruno";-3689,35645556068
"BlueTeamPlayerBE5 MarrowOoze";-4619,44943331046
"BlueTeamPlayerBE5 Sintax";-5356,82531482401
"BlueTeamPlayerBER Dumbinho";-4144,25545160791
"BlueTeamPlayerBFX Daystar";-710,157153936568
"BlueTeamPlayerBFX VicLa";-1265,30473396211
"BlueTeamPlayerBGT Jool";1494,1684534968
"BlueTeamPlayerBIG Dajor";363,626153924685
"BlueTeamPlayerBJK Mask";-312,152299055749
"BlueTeamPlayerBJK TolanD";38,9331045962754
"BlueTeamPlayerBKD Eria";793,713866357419
"BlueTeamPlayerBKR OMON";395,424660129413
"BlueTeamPlayerBLDP Kofte";114,254943328776
"BlueTeamPlayerBLGKnight";-1283,776635924
"BlueTeamPlayerBLUE Samikin";-2392,41649053677
"BlueTeamPlayerBRO Clozer";-758,569585019363
"BlueTeamPlayerBRO Starlit";-1283,67667017781
"BlueTeamPlayerBRT D1verse";-2513,09623734003
"BlueTeamPlayerBRT Tibor";862,024103585202
"BlueTeamPlayerBVL uwaa";-7169,49613452035
"BlueTeamPlayerBVL uwaaaa";855,127219674986
"BlueTeamPlayerBW Mercy9";435,315876723612
"BlueTeamPlayerBW Ronaldo";499,461277991711
"BlueTeamPlayerBWE DarkBlue";-3928,78734224853
"BlueTeamPlayerC9 Loki ";-1921,73533923644
"BlueTeamPlayerCBC Henli";-2688,86641606674
