"";"x"
"(Intercept)";57,7644767936197
"BlueTeamChampionAmumu";-190,601413568292
"BlueTeamChampionAnnie";-387,603236692728
"BlueTeamChampionAshe";2621,44100121518
"BlueTeamChampionBard";419,750660264494
"BlueTeamChampionBlitzcrank";232,790110573925
"BlueTeamChampionBraum";148,419858807386
"BlueTeamChampionCamille";-194,883604157797
"BlueTeamChampionChogath";732,989677164242
"BlueTeamChampionElise";601,865299757702
"BlueTeamChampionFiddleSticks";504,280386116311
"BlueTeamChampionGalio";355,314209823319
"BlueTeamChampionGragas";-149,943736584785
"BlueTeamChampionHwei";-285,067191375584
"BlueTeamChampionJanna";474,8167107093
"BlueTeamChampionKarma";723,737546606754
"BlueTeamChampionLeblanc";78,993448942441
"BlueTeamChampionLeeSin";-577,59484137058
"BlueTeamChampionLeona";-5,76926283320581
"BlueTeamChampionLulu";31,2998763394558
"BlueTeamChampionLux";1018,01022457321
"BlueTeamChampionMaokai";553,939916002804
"BlueTeamChampionMilio";-694,856332103084
"BlueTeamChampionMonkeyKing";3077,97299463978
"BlueTeamChampionMorgana";2792,15856797303
"BlueTeamChampionNami";1328,51096136931
"BlueTeamChampionNautilus";165,317890914578
"BlueTeamChampionNeeko";691,019184663572
"BlueTeamChampionPantheon";-130,578428031288
"BlueTeamChampionPoppy";438,066812309509
"BlueTeamChampionPyke";1300,30225695607
"BlueTeamChampionRakan";224,634630455018
"BlueTeamChampionRell";165,794302306168
"BlueTeamChampionRenata";176,162997136338
"BlueTeamChampionSejuani";549,557260436632
"BlueTeamChampionSenna";-89,5192019478335
"BlueTeamChampionSeraphine";439,23191647505
"BlueTeamChampionSett";302,672794503217
"BlueTeamChampionShen";519,869505339114
"BlueTeamChampionSona";1103,64492300902
"BlueTeamChampionSoraka";879,285628768579
"BlueTeamChampionTahmKench";-170,233448590598
"BlueTeamChampionTaric";154,731733909568
"BlueTeamChampionThresh";47,5551764495249
"BlueTeamChampionVeigar";1483,16795917882
"BlueTeamChampionYuumi";144,707315027198
"BlueTeamChampionZac";-59,7490421984275
"BlueTeamChampionZilean";1282,5013428059
"BlueTeamChampionZyra";3843,52907033392
"RedTeamChampionAmumu";-60,5336211176284
