"";"x"
"(Intercept)";1808,96831364922
"BlueTeamChampionAkali";745,146016158413
"BlueTeamChampionAmbessa";401,369165304173
"BlueTeamChampionAnivia";306,659122283448
"BlueTeamChampionAurora";479,389003697009
"BlueTeamChampionAzir";6387,50384750313
"BlueTeamChampionCamille";666,818356745037
"BlueTeamChampionCassiopeia";-712,086340636887
"BlueTeamChampionChogath";-619,18733701425
"BlueTeamChampionCorki";304,124666919839
"BlueTeamChampionDarius";666,784456935408
"BlueTeamChampionDiana";-2107,94787671522
"BlueTeamChampionDraven";6,33387912361329
"BlueTeamChampionDrMundo";1011,10221805297
"BlueTeamChampionFiora";1596,21909666114
"BlueTeamChampionGalio";-727,135743470465
"BlueTeamChampionGangplank";849,279897877092
"BlueTeamChampionGaren";1254,20961196989
"BlueTeamChampionGnar";591,657062320081
"BlueTeamChampionGragas";-231,873343326428
"BlueTeamChampionGwen";991,773962296639
"BlueTeamChampionIrelia";1601,45620801069
"BlueTeamChampionJax";343,171234968202
"BlueTeamChampionJayce";838,971605972787
"BlueTeamChampionKaisa";6402,50923961286
"BlueTeamChampionKalista";1503,60921264823
"BlueTeamChampionKarma";-901,989848456535
"BlueTeamChampionKayle";1025,66836777991
"BlueTeamChampionKayn";-381,511160436201
"BlueTeamChampionKennen";916,580943847918
"BlueTeamChampionKled";931,721141982704
"BlueTeamChampionKSante";-191,312804632236
"BlueTeamChampionLeblanc";2296,28512752824
"BlueTeamChampionMalphite";-1231,79546946496
"BlueTeamChampionMaokai";-955,612094659723
"BlueTeamChampionMissFortune";968,635971368936
"BlueTeamChampionMonkeyKing";-28,8186368460234
"BlueTeamChampionMordekaiser";810,607123754548
"BlueTeamChampionNaafiri";4535,45574696021
"BlueTeamChampionNasus";-182,056846775562
"BlueTeamChampionNautilus";-1476,97704630891
"BlueTeamChampionNeeko";-3073,78579348914
"BlueTeamChampionNidalee";1401,31955886428
"BlueTeamChampionOlaf";1115,83144665858
"BlueTeamChampionOrnn";-1107,9982269248
"BlueTeamChampionPantheon";591,124991447731
"BlueTeamChampionPoppy";43,5790335223005
"BlueTeamChampionQuinn";1089,69697317615
"BlueTeamChampionRenekton";300,498201396297
"BlueTeamChampionRiven";-103,033623373579
"BlueTeamChampionRumble";-92,2643209840133
"BlueTeamChampionRyze";1068,53088552626
"BlueTeamChampionSejuani";-741,651365920267
"BlueTeamChampionSett";117,523414013906
"BlueTeamChampionShen";465,411663042952
"BlueTeamChampionSinged";-2359,8893895133
"BlueTeamChampionSion";-460,331764712098
"BlueTeamChampionSmolder";-603,610966609341
"BlueTeamChampionSwain";-702,673098607003
"BlueTeamChampionSylas";588,717665902135
"BlueTeamChampionTrundle";5610,3774208737
"BlueTeamChampionTryndamere";2835,3286715142
"BlueTeamChampionUdyr";-1040,35535124824
"BlueTeamChampionUrgot";-195,142316014504
"BlueTeamChampionVarus";1917,2365086852
"BlueTeamChampionVayne";-2391,41826200201
"BlueTeamChampionVex";-389,969714564036
"BlueTeamChampionVi";-2968,40102106066
"BlueTeamChampionVladimir";2645,67573206268
"BlueTeamChampionVolibear";712,476614389606
"BlueTeamChampionWarwick";266,036817425454
"BlueTeamChampionXerath";-531,995716229231
"BlueTeamChampionYasuo";-512,826294927906
"BlueTeamChampionYone";248,727662016213
"BlueTeamChampionYorick";687,002326052788
"BlueTeamChampionZac";-866,750661177449
"RedTeamChampionAkali";-1518,36859949153
"RedTeamChampionAmbessa";-517,567627561088
"RedTeamChampionAnivia";605,904420937714
"RedTeamChampionAurora";288,110315144599
"RedTeamChampionCamille";-681,721950631928
"RedTeamChampionCassiopeia";-1274,77661402465
"RedTeamChampionChogath";312,685860529519
"RedTeamChampionDarius";-1231,37029531528
"RedTeamChampionDraven";-3374,97615156581
"RedTeamChampionDrMundo";742,875651285532
"RedTeamChampionFiora";-2324,51500331696
"RedTeamChampionGalio";306,348127442455
"RedTeamChampionGangplank";-2390,46871186743
"RedTeamChampionGaren";-603,969980943306
"RedTeamChampionGnar";-1189,73495990337
"RedTeamChampionGragas";222,055796204905
"RedTeamChampionGwen";-903,73772902802
"RedTeamChampionIrelia";-1295,56737589739
"RedTeamChampionJax";-921,002021451584
"RedTeamChampionJayce";-831,623022341908
"RedTeamChampionKarma";137,256751585686
"RedTeamChampionKennen";-634,636165085795
"RedTeamChampionKled";-967,497964307934
"RedTeamChampionKSante";-182,223207570545
"RedTeamChampionLeeSin";-2941,33560813957
"RedTeamChampionMalphite";-281,489275422009
"RedTeamChampionMaokai";519,35848671008
"RedTeamChampionMel";-2296,18192157776
"RedTeamChampionMonkeyKing";-268,214698298191
"RedTeamChampionMordekaiser";1107,83281904296
"RedTeamChampionNaafiri";-752,762390763105
"RedTeamChampionNautilus";426,007513854222
"RedTeamChampionNidalee";-1180,2195101305
"RedTeamChampionOlaf";442,832045648283
"RedTeamChampionOrnn";836,135855903799
"RedTeamChampionPantheon";-1959,65704356956
"RedTeamChampionPoppy";395,992907039646
"RedTeamChampionRenekton";-1086,65340075326
"RedTeamChampionRengar";-7730,06716299743
"RedTeamChampionRiven";-5140,70399266526
"RedTeamChampionRumble";-351,566710543999
"RedTeamChampionRyze";-284,104559425327
"RedTeamChampionSejuani";771,8343931051
"RedTeamChampionSett";-1630,48439721389
"RedTeamChampionShen";922,737776010458
"RedTeamChampionSion";431,703588931122
"RedTeamChampionSivir";-2964,47979773587
