"";"x"
"(Intercept)";0,163000103048823
"BlueTeamChampionAshe";0,839910264782812
"BlueTeamChampionBrand";7,83049803263941
"BlueTeamChampionCaitlyn";-0,0787342007029547
"BlueTeamChampionCorki";0,713284303723382
"BlueTeamChampionDraven";-0,15544734184432
"BlueTeamChampionEzreal";0,690026795903296
"BlueTeamChampionGalio";2,6524897613879
"BlueTeamChampionGnar";-0,718068154884238
"BlueTeamChampionHwei";-1,07261322912251
"BlueTeamChampionJhin";1,20087152063094
"BlueTeamChampionJinx";0,761422111306994
"BlueTeamChampionKaisa";1,50764438384582
"BlueTeamChampionKalista";1,42854785243299
"BlueTeamChampionKogMaw";2,47125793440329
"BlueTeamChampionLeeSin";-5,17530514821357
"BlueTeamChampionLucian";0,895803671349106
"BlueTeamChampionLux";0,122476070287814
"BlueTeamChampionMel";1,64888188137829
"BlueTeamChampionMissFortune";1,03588870876157
"BlueTeamChampionNilah";1,65543008910082
"BlueTeamChampionRumble";4,00062810757367
"BlueTeamChampionSenna";-9,07859862831589
"BlueTeamChampionSeraphine";1,58101677301119
"BlueTeamChampionSion";1,97148065843438
"BlueTeamChampionSivir";1,00305939423164
"BlueTeamChampionSmolder";1,2159077161212
"BlueTeamChampionSwain";2,00710613763063
"BlueTeamChampionTaliyah";2,93878302924325
"BlueTeamChampionTristana";1,93455369495064
"BlueTeamChampionTwitch";2,44462754649451
"BlueTeamChampionVarus";0,832529527349027
"BlueTeamChampionVayne";4,05472232111843
"BlueTeamChampionViktor";-8,65781808047749
"BlueTeamChampionXayah";1,05886792404327
"BlueTeamChampionYasuo";0,345962589822042
"BlueTeamChampionZeri";0,629045761172772
"BlueTeamChampionZiggs";-0,880163110924355
"BlueTeamChampionZyra";-0,130070580946489
"RedTeamChampionAshe";1,27394592935183
"RedTeamChampionBrand";3,34507359383318
"RedTeamChampionCaitlyn";0,364288533246694
"RedTeamChampionCassiopeia";2,18374836850204
"RedTeamChampionCorki";0,415969482251374
"RedTeamChampionDraven";0,390418080702239
"RedTeamChampionEzreal";1,16456523990749
"RedTeamChampionHwei";1,70147858068555
"RedTeamChampionJhin";0,904895151169601
"RedTeamChampionJinx";0,303122415434504
"RedTeamChampionKaisa";-0,346996094450192
"RedTeamChampionKalista";0,287585087053161
"RedTeamChampionKogMaw";2,74911972725514
"RedTeamChampionLucian";0,179555288564554
"RedTeamChampionMel";-1,16309128325469
"RedTeamChampionMissFortune";0,486916793513837
"RedTeamChampionNilah";-0,898652595993441
"RedTeamChampionOrianna";-5,21091904258618
"RedTeamChampionOrnn";3,80721181424693
"RedTeamChampionRumble";-3,83974681384562
"RedTeamChampionSenna";4,48491764864721
"RedTeamChampionSeraphine";5,49981661470452
"RedTeamChampionSivir";1,01027251246713
"RedTeamChampionSmolder";-1,68738882092355
"RedTeamChampionSwain";4,96905277863701
"RedTeamChampionTahmKench";2,55782849975205
"RedTeamChampionTaliyah";-1,15464544597864
"RedTeamChampionTristana";-0,161919219311088
"RedTeamChampionTwitch";0,263704942706406
"RedTeamChampionVarus";0,113984677461791
"RedTeamChampionVayne";2,59224718003231
"RedTeamChampionVeigar";6,74850047764023
"RedTeamChampionVelkoz";3,66537915655488
"RedTeamChampionXayah";1,15306139546487
"RedTeamChampionXerath";-3,52147267364859
"RedTeamChampionYasuo";-4,35936525448148
"RedTeamChampionZeri";0,138573082364058
"RedTeamChampionZiggs";1,52562257331387
"BlueTeamPlayer1M MetroArcher";3,27163069449653
"BlueTeamPlayer1M Unkn0wn";4,62723714612747
"BlueTeamPlayer5M Ratao";1,92251639017923
"BlueTeamPlayer7D 6onza";-9,13416357355685
"BlueTeamPlayer7D Hika";-4,89967434767703
"BlueTeamPlayerAFW Vaynedeta";8,10395522417715
"BlueTeamPlayerALHope";1,57590227745053
"BlueTeamPlayerAMI Bazz1";-0,953656479696217
"BlueTeamPlayerANB kehvo";5,13191557498458
"BlueTeamPlayerANB Kehvo";4,90697305225755
"BlueTeamPlayerANB Mimic1";5,46167234161341
"BlueTeamPlayerANC Brizz";2,83565239482603
"BlueTeamPlayerAOMA Guppy";6,45307512092638
"BlueTeamPlayerAOMA MrHB";4,17118582756115
"BlueTeamPlayerAPM Nikiyas";5,55387643328523
"BlueTeamPlayerAPM Odi11";-4,75784234460846
"BlueTeamPlayerARA Khaydarin";1,42077330805042
"BlueTeamPlayerAXL Crem";4,66413435844817
"BlueTeamPlayerB2TG Lothen";3,4908583968614
"BlueTeamPlayerBAM Nawaf";5,05184047997618
