"";"x"
"(Intercept)";1,56000084869219
"BlueTeamChampionAmumu";-0,750878145537358
"BlueTeamChampionBelveth";1,97359748725986
"BlueTeamChampionBrand";-2,15064200701975
"BlueTeamChampionDarius";0,839096557008015
"BlueTeamChampionDiana";-1,05360906805667
"BlueTeamChampionDrMundo";-1,91360229946161
"BlueTeamChampionElise";1,2092923212553
"BlueTeamChampionGragas";1,02488141454311
"BlueTeamChampionGwen";1,0363320155899
"BlueTeamChampionHecarim";3,9437093963569
"BlueTeamChampionIvern";-2,36892261523472
"BlueTeamChampionJarvanIV";-2,13130322068601
"BlueTeamChampionJax";0,637593382353316
"BlueTeamChampionKarthus";-1,27427578164694
"BlueTeamChampionKayn";-0,204745383729706
"BlueTeamChampionKhazix";0,844455768771444
"BlueTeamChampionKindred";0,994467683214336
"BlueTeamChampionLeeSin";0,361848475719148
"BlueTeamChampionLillia";0,0632121317507939
"BlueTeamChampionMaokai";-1,29458929506866
"BlueTeamChampionMasterYi";5,4191870031759
"BlueTeamChampionMonkeyKing";-0,638359526254658
"BlueTeamChampionMorgana";-2,25747216340997
"BlueTeamChampionNaafiri";0,133165533635053
"BlueTeamChampionNautilus";-2,46483871863154
"BlueTeamChampionNeeko";4,00667401711461
"BlueTeamChampionNidalee";-0,350913592899519
"BlueTeamChampionNocturne";-1,07457811502782
"BlueTeamChampionNunu";-2,10531541210533
"BlueTeamChampionOlaf";-0,767153132261944
"BlueTeamChampionPantheon";0,254773781962988
"BlueTeamChampionPoppy";-0,120541611449915
"BlueTeamChampionRekSai";-0,362592084976557
"BlueTeamChampionRengar";-1,79535588496818
"BlueTeamChampionRumble";-1,92778921018081
"BlueTeamChampionSejuani";-1,6193743889741
"BlueTeamChampionSion";-6,18123429802763
"BlueTeamChampionSkarner";-1,58373148970836
"BlueTeamChampionTaliyah";-0,000204792658238655
"BlueTeamChampionTrundle";-2,04671341588218
"BlueTeamChampionVi";-0,509603365848297
"BlueTeamChampionViego";0,890507913085837
"BlueTeamChampionVolibear";-0,506522878250087
"BlueTeamChampionXinZhao";-0,773973333383446
"BlueTeamChampionZac";-1,76596542686551
"BlueTeamChampionZed";0,612961417860459
"BlueTeamChampionZyra";-0,781134513430437
"RedTeamChampionAmumu";0,321223469482442
"RedTeamChampionBelveth";-1,62202257271672
"RedTeamChampionBrand";-1,21367882809945
"RedTeamChampionDarius";-1,29138589722566
"RedTeamChampionDiana";-0,893980446155633
"RedTeamChampionDrMundo";-1,76424522692822
"RedTeamChampionFiddleSticks";-2,80519926749384
"RedTeamChampionGraves";-7,93791708688157
"RedTeamChampionGwen";-1,13873061732618
"RedTeamChampionHecarim";2,94456181841047
"RedTeamChampionIvern";0,967615439375693
"RedTeamChampionJarvanIV";-0,281487669296432
"RedTeamChampionJax";-0,917184340303794
"RedTeamChampionKarthus";-1,16268812980222
"RedTeamChampionKayn";-3,66258615554568
"RedTeamChampionKhazix";-2,1385562777149
"RedTeamChampionKindred";-1,91953849759115
"RedTeamChampionLeeSin";-1,04397863792051
"RedTeamChampionLillia";-0,815460199569705
"RedTeamChampionMaokai";0,652481331072812
"RedTeamChampionMonkeyKing";-1,100169225176
"RedTeamChampionMordekaiser";1,35957856141743
"RedTeamChampionMorgana";-0,61901614572368
"RedTeamChampionNaafiri";-1,70112185824788
"RedTeamChampionNidalee";-0,579282476542716
"RedTeamChampionNocturne";-0,876293603878336
"RedTeamChampionNunu";-0,941003264635106
"RedTeamChampionOlaf";-1,14659918701837
"RedTeamChampionPantheon";-1,46012115265481
"RedTeamChampionPoppy";0,143604951002492
"RedTeamChampionRekSai";-0,645872610926643
"RedTeamChampionSejuani";0,232672911239172
"RedTeamChampionShaco";-4,81528627361868
"RedTeamChampionShyvana";-2,08100767950651
"RedTeamChampionSkarner";0,260467408305409
"RedTeamChampionTaliyah";1,47027531541365
"RedTeamChampionTrundle";1,1118216538202
"RedTeamChampionUdyr";1,39941267646718
"RedTeamChampionVi";-0,220758256785615
"RedTeamChampionViego";-1,66098694424244
"RedTeamChampionVolibear";0,382527824467144
"RedTeamChampionXinZhao";-0,531574821806709
"RedTeamChampionYorick";0,412352772387675
"RedTeamChampionZac";0,294825481967003
"RedTeamChampionZed";-6,88981414981655
"RedTeamChampionZyra";-0,373867129378832
"BlueTeamPlayer1M Djoko";4,71381141822489
"BlueTeamPlayer1M Noodle";3,66897209546813
"BlueTeamPlayer5M Theop";-0,547774193058788
"BlueTeamPlayer7D AlluK";-5,30616843205406
"BlueTeamPlayerAFW D4nKa";6,74009144841409
"BlueTeamPlayerALTarzan";-0,128495242435903
"BlueTeamPlayerAMI Lojaz";-4,26090088787172
"BlueTeamPlayerANB Ajwad";3,28313937845681
"BlueTeamPlayerANB alex234";4,01292302590811
"BlueTeamPlayerANB SANTA";3,37716699056062
"BlueTeamPlayerANC Fragola";4,85494302368313
"BlueTeamPlayerAOMA Oleg";6,81341716968493
"BlueTeamPlayerAOMA Pipibaat";7,72797480807437
"BlueTeamPlayerAPM behave";4,47550296304328
"BlueTeamPlayerAPM Joki37";4,76607437995116
"BlueTeamPlayerARA Ever";3,85497131984186
"BlueTeamPlayerARA Nekro";2,53172459878427
"BlueTeamPlayerAXL Balyy";1,17527523059866
"BlueTeamPlayerAXL Kikis";6,24924587425444
"BlueTeamPlayerB2TG ShazQ";3,03272698850268
"BlueTeamPlayerBAM Kania";2,60606635005427
"BlueTeamPlayerBAR Thayger";6,16238061994363
"BlueTeamPlayerBCT Brucee";-6,98801700718233
"BlueTeamPlayerBDG Lulas";4,895740519954
"BlueTeamPlayerBDS 113";0,461808849280831
"BlueTeamPlayerBDSA Shlatan";7,1214484001085
"BlueTeamPlayerBE5 behave";3,95670592794517
"BlueTeamPlayerBE5 DoubleAiM";3,54063977473872
"BlueTeamPlayerBER Cerelac";-5,4385088463815
"BlueTeamPlayerBFX Bonnie";-0,539034105985954
"BlueTeamPlayerBFX Raptor";-0,110450546510628
"BlueTeamPlayerBFX Willer";0,0894445808953245
"BlueTeamPlayerBGT Typhoon";8,10544819749659
"BlueTeamPlayerBGT XnS";7,01630620319434
"BlueTeamPlayerBIG Leb";9,17221718274882
"BlueTeamPlayerBJK Chef";7,28461655924975
"BlueTeamPlayerBKD Meii";-7,56866425972371
"BlueTeamPlayerBKR Rhilech";7,53050026136483
"BlueTeamPlayerBLDP Bonnie";7,14055439189454
"BlueTeamPlayerBLDP Kituruken";5,27779867718362
"BlueTeamPlayerBLDP XnS";8,34449990001095
"BlueTeamPlayerBLGBeichuan";-1,18321729284394
"BlueTeamPlayerBLGWei";-0,929435927993483
"BlueTeamPlayerBLUE Music";-1,16394291334671
"BlueTeamPlayerBRO Croco";-2,60064520612153
"BlueTeamPlayerBRO Ellim";-0,218817285563965
"BlueTeamPlayerBRO HamBak";-0,0374661004270382
"BlueTeamPlayerBRT Fallen";5,06670871022922
"BlueTeamPlayerBVL Fubuki";-4,01102257476076
"BlueTeamPlayerBW Citrus";5,35263219722387
"BlueTeamPlayerBW KIREAS";7,21547654498556
"BlueTeamPlayerBW noname";8,01337929119318
"BlueTeamPlayerBWE Errado";-3,60187356265228
"BlueTeamPlayerC9 Blaber";0,204203763083582
"BlueTeamPlayerCBC Dust";-2,82169633105093
"BlueTeamPlayerCCG Dardoch";-1,10468643904542
"BlueTeamPlayerCFO JunJia";1,0120890478254
"BlueTeamPlayerCFOA Xin";-1,47230206108591
"BlueTeamPlayerCG Jeykup";4,50782078489666
"BlueTeamPlayerCGN Agurin";8,07004779809968
"BlueTeamPlayerCHF Husha";1,10234458054939
"BlueTeamPlayerCHF Mir";0,625264869087097
