"";"x"
"(Intercept)";-6,16373140254173
"BlueTeamChampionAkali";0,813433889481133
"BlueTeamChampionAmbessa";-2,29628387323053
"BlueTeamChampionAnivia";-3,57648846764668
"BlueTeamChampionAnnie";-1,11936275474301
"BlueTeamChampionAurelionSol";1,65224620604006
"BlueTeamChampionAurora";0,0406143025498087
"BlueTeamChampionAzir";-0,883377104841919
"BlueTeamChampionCaitlyn";5,9210007238349
"BlueTeamChampionCassiopeia";-0,136781759838064
"BlueTeamChampionChogath";-1,29557671251155
"BlueTeamChampionCorki";0,610038277845699
"BlueTeamChampionEkko";-2,77760942015549
"BlueTeamChampionEzreal";-1,18266898623393
"BlueTeamChampionFiora";2,92386422462774
"BlueTeamChampionGalio";-1,01271459863219
"BlueTeamChampionGragas";-1,14914203511007
"BlueTeamChampionHwei";-0,83303415776949
"BlueTeamChampionIrelia";0,790301054157198
"BlueTeamChampionJayce";-1,05095579378644
"BlueTeamChampionKaisa";6,96620255377789
"BlueTeamChampionKarma";-0,967634738952693
"BlueTeamChampionKassadin";-0,986597439387288
"BlueTeamChampionKatarina";-2,28196686797141
"BlueTeamChampionKayle";1,16118525348111
"BlueTeamChampionKogMaw";-1,87471796106775
"BlueTeamChampionKSante";-0,472957706222826
"BlueTeamChampionLeblanc";0,77298794148461
"BlueTeamChampionLeeSin";0,289995613638771
"BlueTeamChampionLissandra";-0,442725310419775
"BlueTeamChampionLucian";-2,34294219589388
"BlueTeamChampionLux";4,47177690412375
"BlueTeamChampionMel";-0,442377266416069
"BlueTeamChampionMissFortune";-4,18898159067079
"BlueTeamChampionNaafiri";-0,687265390582746
"BlueTeamChampionNeeko";-0,309243348867552
"BlueTeamChampionOrianna";0,00407024704119934
"BlueTeamChampionOrnn";3,87152135026787
"BlueTeamChampionPantheon";1,13911834824058
"BlueTeamChampionRenekton";-1,26387232241359
"BlueTeamChampionRumble";7,77493402688669
"BlueTeamChampionRyze";-1,08726750232858
"BlueTeamChampionSett";-4,42340435231453
"BlueTeamChampionSion";-0,810620136633547
"BlueTeamChampionSmolder";-0,737152890108162
"BlueTeamChampionSwain";0,206936648331384
"BlueTeamChampionSylas";-0,55894795063285
"BlueTeamChampionSyndra";-0,272562470573436
"BlueTeamChampionTaliyah";-0,329955756319179
"BlueTeamChampionTristana";-0,0436655577744123
"BlueTeamChampionTryndamere";-1,41575462722223
"BlueTeamChampionTwistedFate";0,375676632646387
"BlueTeamChampionVarus";-1,62300799616486
"BlueTeamChampionVeigar";-0,89543994506303
"BlueTeamChampionVelkoz";4,37041209537266
"BlueTeamChampionVex";1,88907250902396
"BlueTeamChampionViktor";-0,326655515724371
"BlueTeamChampionVladimir";-1,92447334830291
"BlueTeamChampionXerath";0,234758283204053
"BlueTeamChampionYasuo";1,19623355104183
"BlueTeamChampionYone";-0,885241353305728
"BlueTeamChampionZed";0,495289405924224
"BlueTeamChampionZiggs";-2,09498883381257
"BlueTeamChampionZilean";-4,46751273082435
"BlueTeamChampionZoe";2,90922600054642
"RedTeamChampionAhri";8,61331027788402
"RedTeamChampionAkali";7,5373649148011
"RedTeamChampionAkshan";-2,17294086480435
"RedTeamChampionAmbessa";7,95133213337753
"RedTeamChampionAnivia";9,739660896695
"RedTeamChampionAnnie";8,48534953982142
"RedTeamChampionAurelionSol";11,1062465622175
"RedTeamChampionAurora";8,88937104786916
"RedTeamChampionAzir";9,23602100778728
"RedTeamChampionCassiopeia";6,9093150245384
"RedTeamChampionChogath";4,86866003299633
"RedTeamChampionCorki";9,54224441489021
"RedTeamChampionDiana";6,82646071189875
"RedTeamChampionEkko";4,80289454349639
"RedTeamChampionEzreal";9,40782721145879
