"";"x"
"(Intercept)";-2,3570385366149
"BlueTeamChampionAshe";1,90112317706702
"BlueTeamChampionBrand";6,82382002675415
"BlueTeamChampionCaitlyn";0,505016543293967
"BlueTeamChampionCorki";1,25509390304576
"BlueTeamChampionDraven";-1,08289772130443
"BlueTeamChampionEzreal";0,922301914462427
"BlueTeamChampionGalio";13,1390445916771
"BlueTeamChampionGnar";-0,193231608230101
"BlueTeamChampionHwei";-2,88193236138795
"BlueTeamChampionJhin";1,25408407317658
"BlueTeamChampionJinx";1,28061247617157
"BlueTeamChampionKaisa";0,0779745280327181
"BlueTeamChampionKalista";-0,0516119214366473
"BlueTeamChampionKogMaw";0,707819428731127
"BlueTeamChampionLeeSin";-3,87718232699383
"BlueTeamChampionLucian";1,51635152017593
"BlueTeamChampionLux";-0,0920985972479864
"BlueTeamChampionMel";0,421752817032285
"BlueTeamChampionMissFortune";0,843772238580591
"BlueTeamChampionNilah";0,549254268166273
"BlueTeamChampionRumble";9,83585680401234
"BlueTeamChampionSenna";2,11769675565452
"BlueTeamChampionSeraphine";5,30673503713549
"BlueTeamChampionSion";9,42780974164935
"BlueTeamChampionSivir";2,14957645845959
"BlueTeamChampionSmolder";-0,746711667157343
"BlueTeamChampionSwain";5,47788399577845
"BlueTeamChampionTaliyah";9,3145360296598
"BlueTeamChampionTristana";0,462899987655658
"BlueTeamChampionTwitch";-0,467545590324416
"BlueTeamChampionVarus";0,86322070487924
"BlueTeamChampionVayne";-2,39064536961783
"BlueTeamChampionViktor";4,35218538964144
"BlueTeamChampionXayah";0,883309949772703
"BlueTeamChampionYasuo";-1,64718649073342
"BlueTeamChampionZeri";0,366560178957332
"BlueTeamChampionZiggs";0,300970341337787
"BlueTeamChampionZyra";-0,592455155563694
"RedTeamChampionAshe";1,67259716441673
"RedTeamChampionBrand";0,921639680639958
"RedTeamChampionCaitlyn";2,92276242674549
"RedTeamChampionCassiopeia";6,75275179918474
"RedTeamChampionCorki";2,87612246945222
"RedTeamChampionDraven";2,52095175905371
"RedTeamChampionEzreal";3,23510147319342
"RedTeamChampionHwei";3,61611816116333
"RedTeamChampionJhin";3,12022379214895
"RedTeamChampionJinx";2,87055906707772
"RedTeamChampionKaisa";3,09553172194075
"RedTeamChampionKalista";4,29967048863844
"RedTeamChampionKogMaw";3,21039666096851
"RedTeamChampionLucian";2,63823621117965
"RedTeamChampionMel";2,91147200249219
"RedTeamChampionMissFortune";1,85625497135505
"RedTeamChampionNilah";1,39963482242007
"RedTeamChampionOrianna";6,56262389146393
"RedTeamChampionOrnn";3,48385078684146
"RedTeamChampionRumble";-0,108297159389384
"RedTeamChampionSenna";-1,79081380158194
"RedTeamChampionSeraphine";3,21453119699713
"RedTeamChampionSivir";2,17297161635226
"RedTeamChampionSmolder";4,16623952239648
"RedTeamChampionSwain";2,46541619341448
"RedTeamChampionTahmKench";6,87411546532597
"RedTeamChampionTaliyah";6,50736441830241
"RedTeamChampionTristana";4,2555780176917
"RedTeamChampionTwitch";3,15624995077125
"RedTeamChampionVarus";2,30774124169764
"RedTeamChampionVayne";-2,01762260784299
"RedTeamChampionVeigar";17,41119692611
