"";"x"
"(Intercept)";-2,44972102370707
"BlueTeamChampionAmumu";5,67589225292607
"BlueTeamChampionBelveth";7,98932897910709
"BlueTeamChampionBrand";4,62943293988649
"BlueTeamChampionDarius";5,45658353368732
"BlueTeamChampionDiana";5,37944735012988
"BlueTeamChampionDrMundo";5,49264180758246
"BlueTeamChampionElise";-0,849100772232936
"BlueTeamChampionGragas";10,0934677743451
"BlueTeamChampionGwen";2,7373857398572
"BlueTeamChampionHecarim";9,23930261988908
"BlueTeamChampionIvern";9,32019166933915
"BlueTeamChampionJarvanIV";7,22446564652812
"BlueTeamChampionJax";5,67047017076153
"BlueTeamChampionKarthus";6,81910790262096
"BlueTeamChampionKayn";6,21587679494354
"BlueTeamChampionKhazix";7,59300523740066
"BlueTeamChampionKindred";7,14934871362197
"BlueTeamChampionLeeSin";4,19836037636037
"BlueTeamChampionLillia";5,22896762362223
"BlueTeamChampionMaokai";6,76665629568145
"BlueTeamChampionMasterYi";-18,0575630543066
"BlueTeamChampionMonkeyKing";4,99004861011048
"BlueTeamChampionMorgana";7,98301587893726
"BlueTeamChampionNaafiri";5,11151064242628
"BlueTeamChampionNautilus";2,96605112828836
"BlueTeamChampionNeeko";10,4998721287454
"BlueTeamChampionNidalee";5,51785476029619
"BlueTeamChampionNocturne";5,5644658221312
"BlueTeamChampionNunu";4,17024242321401
"BlueTeamChampionOlaf";4,20606328749572
"BlueTeamChampionPantheon";5,06806391704712
"BlueTeamChampionPoppy";5,70128876834351
"BlueTeamChampionRekSai";1,60863890732181
"BlueTeamChampionRengar";1,00359634157228
"BlueTeamChampionRumble";4,22491399686219
"BlueTeamChampionSejuani";6,7257404091805
"BlueTeamChampionSion";6,34172135344832
"BlueTeamChampionSkarner";5,8940467251142
"BlueTeamChampionTaliyah";2,99599566046185
"BlueTeamChampionTrundle";7,52861034117823
"BlueTeamChampionVi";5,12824987584546
"BlueTeamChampionViego";5,04183541444406
"BlueTeamChampionVolibear";3,60656326749333
"BlueTeamChampionXinZhao";5,25356457000923
"BlueTeamChampionZac";8,19393797841445
