"";"x"
"(Intercept)";-2,84734698076008
"BlueTeamChampionAkali";-2,44788589986098
"BlueTeamChampionAmbessa";-2,17640660419493
"BlueTeamChampionAnivia";-2,82871332797673
"BlueTeamChampionAnnie";0,0558096959386211
"BlueTeamChampionAurelionSol";0,812755855648156
"BlueTeamChampionAurora";-1,9364674247035
"BlueTeamChampionAzir";-1,58113001084604
"BlueTeamChampionCaitlyn";-4,81724624545358
"BlueTeamChampionCassiopeia";0,52663361730303
"BlueTeamChampionChogath";-3,3682359085236
"BlueTeamChampionCorki";-1,79926291853395
"BlueTeamChampionEkko";-7,54319520998902
"BlueTeamChampionEzreal";-0,31212522459443
"BlueTeamChampionFiora";3,80615066078538
"BlueTeamChampionGalio";0,380776076828803
"BlueTeamChampionGragas";0,885320678871405
"BlueTeamChampionHwei";-0,526493893278058
"BlueTeamChampionIrelia";-3,39791139884693
"BlueTeamChampionJayce";-1,3640504989506
"BlueTeamChampionKaisa";-7,89094845414639
"BlueTeamChampionKarma";2,20571852271106
"BlueTeamChampionKassadin";-1,62542242453776
"BlueTeamChampionKatarina";-5,87762026730469
"BlueTeamChampionKayle";-1,03515884709041
"BlueTeamChampionKogMaw";-3,56320217895734
"BlueTeamChampionKSante";-1,39822276249891
"BlueTeamChampionLeblanc";-3,45199406898867
"BlueTeamChampionLeeSin";-0,122310436036302
"BlueTeamChampionLissandra";1,21657391639237
"BlueTeamChampionLucian";-3,63106651698408
"BlueTeamChampionLux";-1,09863442073767
"BlueTeamChampionMel";-0,621683619511464
"BlueTeamChampionMissFortune";-6,64740666073523
"BlueTeamChampionNaafiri";-2,08991293873492
"BlueTeamChampionNeeko";-1,35398344748846
"BlueTeamChampionOrianna";0,84328558513656
"BlueTeamChampionOrnn";-2,7941578977838
"BlueTeamChampionPantheon";-3,73419816630863
"BlueTeamChampionRenekton";-3,34036614087128
"BlueTeamChampionRumble";13,9498720124295
"BlueTeamChampionRyze";-0,543593663763862
"BlueTeamChampionSett";0,796276170223798
"BlueTeamChampionSion";-4,91927437909619
"BlueTeamChampionSmolder";-4,46893939253423
"BlueTeamChampionSwain";-0,032379679021273
"BlueTeamChampionSylas";-0,993544056300299
"BlueTeamChampionSyndra";-0,947079374918959
"BlueTeamChampionTaliyah";0,571821741933952
"BlueTeamChampionTristana";-0,887306671022541
"BlueTeamChampionTryndamere";-2,21462052902373
"BlueTeamChampionTwistedFate";-0,917513958366293
"BlueTeamChampionVarus";-4,48457627456487
"BlueTeamChampionVeigar";2,86089157376307
"BlueTeamChampionVelkoz";-3,98780786715602
"BlueTeamChampionVex";-0,00810771617661448
"BlueTeamChampionViktor";-1,89675806001383
"BlueTeamChampionVladimir";-2,58596240143354
"BlueTeamChampionXerath";1,03853785690459
"BlueTeamChampionYasuo";-0,95484414193829
"BlueTeamChampionYone";-1,99181943052136
"BlueTeamChampionZed";-4,6812639710924
"BlueTeamChampionZiggs";0,166298812230041
"BlueTeamChampionZilean";-1,50876468534562
"BlueTeamChampionZoe";0,849097450537361
"RedTeamChampionAhri";1,68123067548057
"RedTeamChampionAkali";3,5261004252924
"RedTeamChampionAkshan";7,12349887941631
"RedTeamChampionAmbessa";5,35946125085133
"RedTeamChampionAnivia";2,47464607576379
"RedTeamChampionAnnie";0,454408389344063
"RedTeamChampionAurelionSol";3,07100868095202
"RedTeamChampionAurora";3,14776417698854
"RedTeamChampionAzir";3,23294127588496
"RedTeamChampionCassiopeia";3,64637454494105
"RedTeamChampionChogath";0,862313716733389
"RedTeamChampionCorki";4,67091670797609
"RedTeamChampionDiana";-3,56550743325978
"RedTeamChampionEkko";0,886165756685409
"RedTeamChampionEzreal";1,51882744759883
"RedTeamChampionGalio";1,01470756095831
"RedTeamChampionGragas";4,6953336849093
"RedTeamChampionHwei";2,10479617561922
"RedTeamChampionIrelia";6,9259027755443
"RedTeamChampionJayce";2,6844267801138
"RedTeamChampionKarma";2,25527394979459
"RedTeamChampionKatarina";1,69576016156002
"RedTeamChampionKayle";NA
"RedTeamChampionLeblanc";3,69263404378217
"RedTeamChampionLeeSin";0,863200891399014
"RedTeamChampionLissandra";2,56419542155701
"RedTeamChampionLucian";5,33866739489772
"RedTeamChampionLux";2,03698048363312
"RedTeamChampionMel";4,52269580327229
"RedTeamChampionNaafiri";6,74160332866744
"RedTeamChampionNasus";12,7791948369626
"RedTeamChampionOrianna";2,01749565765242
"RedTeamChampionPantheon";0,568361014913077
"RedTeamChampionRyze";3,70329438464204
"RedTeamChampionSett";0,340537252150013
"RedTeamChampionSion";5,53616700274904
"RedTeamChampionSmolder";3,50974810155995
"RedTeamChampionSwain";-2,03657628599676
"RedTeamChampionSylas";2,68381344725714
"RedTeamChampionSyndra";3,36850541728707
"RedTeamChampionTaliyah";1,78689680293986
"RedTeamChampionTristana";4,00471451074098
"RedTeamChampionTryndamere";4,76378033270655
"RedTeamChampionVeigar";9,8283574250451
"RedTeamChampionVelkoz";2,76386198868208
"RedTeamChampionVex";5,16925682847647
"RedTeamChampionViego";0,393684743805913
"RedTeamChampionViktor";2,36803212887769
"RedTeamChampionVladimir";4,77085502389777
"RedTeamChampionXerath";1,1043293756468
"RedTeamChampionYasuo";4,20843615667659
"RedTeamChampionYone";3,43390308699614
"RedTeamChampionZed";2,16531944543699
"RedTeamChampionZeri";8,89318559981227
"RedTeamChampionZiggs";5,10226193522625
"RedTeamChampionZilean";5,33034946546285
"RedTeamChampionZoe";1,86982853422506
"BlueTeamPlayer1M Panda2";9,27834563927505
"BlueTeamPlayer1M Sahira";8,47153468863655
"BlueTeamPlayer5M Azura";3,41344389376401
"BlueTeamPlayer7D Saifer";-3,64739881262303
"BlueTeamPlayerAFW Nano";11,2933424311495
"BlueTeamPlayerALShanks";2,8776519589349
"BlueTeamPlayerAMI PhyMini";-0,956918068851529
"BlueTeamPlayerANB Annie Bot";4,443965416553
"BlueTeamPlayerANB Ksaez";8,55896002123721
"BlueTeamPlayerANB Secrett";10,2739783937698
"BlueTeamPlayerANC Vyctor";1,73740787529941
"BlueTeamPlayerAOMA Painful";8,50017557124997
"BlueTeamPlayerAPM Alvanai";10,50374230059
"BlueTeamPlayerAPM Satan";3,78988607423325
"BlueTeamPlayerARA Madara";7,07996650012573
"BlueTeamPlayerAXL Camana";6,21635516439226
"BlueTeamPlayerAXL FSZ";7,85382648149974
"BlueTeamPlayerB2TG Roison";5,35855526214686
"BlueTeamPlayerBAM 6ax";8,74787951531026
"BlueTeamPlayerBAM Daemi";7,63259698587667
"BlueTeamPlayerBAR Czekolad";7,71986746591598
"BlueTeamPlayerBCT Enapon";10,1875437862584
"BlueTeamPlayerBCT R0se";3,11289786953055
"BlueTeamPlayerBDG Kaymin";10,6009154383704
"BlueTeamPlayerBDS nuc";-2,77365101728338
