"";"x"
"(Intercept)";0,128033298844657
"BlueTeamChampionAmumu";-1,37568708087476
"BlueTeamChampionAnnie";-4,00198489613947
"BlueTeamChampionAshe";9,72014941554875
"BlueTeamChampionBard";0,874282023630591
"BlueTeamChampionBlitzcrank";0,98804799676022
"BlueTeamChampionBraum";0,646197163240307
"BlueTeamChampionCamille";-11,3868478056418
"BlueTeamChampionChogath";-13,5565746648499
"BlueTeamChampionElise";-2,02653098764224
"BlueTeamChampionFiddleSticks";1,79249216944033
"BlueTeamChampionGalio";0,717151058126325
"BlueTeamChampionGragas";0,667079018341792
"BlueTeamChampionHwei";-8,82743998200321
"BlueTeamChampionJanna";7,25985213018269
"BlueTeamChampionKarma";1,57312959427429
"BlueTeamChampionLeblanc";-1,96614521163054
"BlueTeamChampionLeeSin";-9,09744285006933
"BlueTeamChampionLeona";-0,899933513946747
"BlueTeamChampionLulu";1,18679809650001
"BlueTeamChampionLux";-1,01626354808259
"BlueTeamChampionMaokai";-0,45382880130679
"BlueTeamChampionMilio";-3,98698098528862
"BlueTeamChampionMonkeyKing";9,2071778396388
"BlueTeamChampionMorgana";4,85899178418878
"BlueTeamChampionNami";8,07864410301559
"BlueTeamChampionNautilus";0,0543528615660327
"BlueTeamChampionNeeko";0,447302949724292
"BlueTeamChampionPantheon";-4,59433195142188
"BlueTeamChampionPoppy";0,150514975171609
"BlueTeamChampionPyke";0,343617851563581
"BlueTeamChampionRakan";0,961998307983893
"BlueTeamChampionRell";0,820121724174228
"BlueTeamChampionRenata";-0,108256091178251
"BlueTeamChampionSejuani";-3,909261619636
"BlueTeamChampionSenna";-1,48166349131437
"BlueTeamChampionSeraphine";0,0978940956854442
"BlueTeamChampionSett";6,18992664611597
"BlueTeamChampionShen";1,20807025628199
"BlueTeamChampionSona";7,57446926821232
"BlueTeamChampionSoraka";3,91514442966952
"BlueTeamChampionTahmKench";-4,18155215358037
"BlueTeamChampionTaric";3,51038937560455
"BlueTeamChampionThresh";0,221327723710947
"BlueTeamChampionVeigar";16,6592884444707
"BlueTeamChampionYuumi";-0,118546140717816
"BlueTeamChampionZac";-6,32599193109683
"BlueTeamChampionZilean";5,48758890356327
