"";"x"
"(Intercept)";3,23366100200986
"BlueTeamChampionAkali";-2,17527193934989
"BlueTeamChampionAmbessa";-0,153034331177369
"BlueTeamChampionAnivia";-1,39226015395378
"BlueTeamChampionAurora";0,631837453564925
"BlueTeamChampionAzir";1,18976522253859
"BlueTeamChampionCamille";-0,663699436385869
"BlueTeamChampionCassiopeia";0,603184540927688
"BlueTeamChampionChogath";-0,547090002256137
"BlueTeamChampionCorki";1,55585631143105
"BlueTeamChampionDarius";-1,78979806244908
"BlueTeamChampionDiana";-1,51380957607473
"BlueTeamChampionDraven";1,16174612376676
"BlueTeamChampionDrMundo";-2,93786784960791
"BlueTeamChampionFiora";-1,59943455228609
"BlueTeamChampionGalio";1,42568537487792
"BlueTeamChampionGangplank";1,61933882541943
"BlueTeamChampionGaren";-1,5446521902962
"BlueTeamChampionGnar";0,165192802251385
"BlueTeamChampionGragas";2,25243866992023
"BlueTeamChampionGwen";-0,256866503119944
"BlueTeamChampionIrelia";-2,87213711036203
"BlueTeamChampionJax";-0,463113219698899
"BlueTeamChampionJayce";-0,30956271904789
"BlueTeamChampionKaisa";11,6567769645989
"BlueTeamChampionKalista";1,76243202687423
"BlueTeamChampionKarma";-3,64239292112103
"BlueTeamChampionKayle";4,98193041436418
"BlueTeamChampionKayn";2,14558885366234
"BlueTeamChampionKennen";-0,956651742396076
"BlueTeamChampionKled";-1,80980059810192
"BlueTeamChampionKSante";0,911174814361065
"BlueTeamChampionLeblanc";-3,73758066837399
"BlueTeamChampionMalphite";1,27425029671217
"BlueTeamChampionMaokai";0,558730754458128
"BlueTeamChampionMissFortune";1,66671062005365
"BlueTeamChampionMonkeyKing";-0,717921280351878
"BlueTeamChampionMordekaiser";-0,94521321248685
"BlueTeamChampionNaafiri";7,36007826025009
"BlueTeamChampionNasus";-2,70965435967567
"BlueTeamChampionNautilus";0,564361951569426
"BlueTeamChampionNeeko";-3,93365528855606
"BlueTeamChampionNidalee";-1,98394982827338
"BlueTeamChampionOlaf";0,743359308176219
"BlueTeamChampionOrnn";1,85726651015113
"BlueTeamChampionPantheon";1,21027447131647
"BlueTeamChampionPoppy";0,972916357970565
"BlueTeamChampionQuinn";0,308461449873196
"BlueTeamChampionRenekton";-0,147738746655392
"BlueTeamChampionRiven";1,87442803341743
"BlueTeamChampionRumble";-0,415736156872828
"BlueTeamChampionRyze";1,23232965106825
"BlueTeamChampionSejuani";3,53170033454963
"BlueTeamChampionSett";-2,05413201001717
"BlueTeamChampionShen";4,07415423375886
"BlueTeamChampionSinged";-4,27778261322853
"BlueTeamChampionSion";0,874762257825376
"BlueTeamChampionSmolder";-6,40490410441091
"BlueTeamChampionSwain";5,75743942786768
"BlueTeamChampionSylas";3,42433625365244
"BlueTeamChampionTrundle";1,7346310479927
"BlueTeamChampionTryndamere";-6,39819410756327
"BlueTeamChampionUdyr";-1,62723805059592
"BlueTeamChampionUrgot";-1,39480616757293
"BlueTeamChampionVarus";1,10395304885683
"BlueTeamChampionVayne";-3,54446413712239
"BlueTeamChampionVex";-1,18054450574552
"BlueTeamChampionVi";-7,33008033053957
"BlueTeamChampionVladimir";0,208313729233585
"BlueTeamChampionVolibear";-0,408196774025069
"BlueTeamChampionWarwick";-1,42702759924329
"BlueTeamChampionXerath";2,98080612802858
"BlueTeamChampionYasuo";-1,16259144559848
"BlueTeamChampionYone";-4,61621444496143
"BlueTeamChampionYorick";0,282544203437798
"BlueTeamChampionZac";-3,71048398697388
"RedTeamChampionAkali";-2,4979490962992
"RedTeamChampionAmbessa";-0,296172335373588
"RedTeamChampionAnivia";1,73019804477336
"RedTeamChampionAurora";0,765724785191038
"RedTeamChampionCamille";-0,462862815142153
"RedTeamChampionCassiopeia";-4,77454662731598
"RedTeamChampionChogath";0,170886349937001
"RedTeamChampionDarius";-1,51996461912145
"RedTeamChampionDraven";2,26016913335062
"RedTeamChampionDrMundo";1,81324064514446
"RedTeamChampionFiora";2,23529213075477
"RedTeamChampionGalio";-2,20245350480089
"RedTeamChampionGangplank";-2,24449291131419
"RedTeamChampionGaren";-0,62176754418746
"RedTeamChampionGnar";-1,1532729201064
"RedTeamChampionGragas";-0,0478493362771368
"RedTeamChampionGwen";0,342088422511882
"RedTeamChampionIrelia";3,7697260921811
"RedTeamChampionJax";-0,276045506681737
"RedTeamChampionJayce";-0,867324017721972
"RedTeamChampionKarma";-4,46850775446434
"RedTeamChampionKennen";-2,01759191471811
"RedTeamChampionKled";-0,760888510674626
"RedTeamChampionKSante";-0,638726974250904
"RedTeamChampionLeeSin";-1,20093810447583
"RedTeamChampionMalphite";-0,213473350315827
"RedTeamChampionMaokai";-3,63183410242622
"RedTeamChampionMel";-7,18633667297051
"RedTeamChampionMonkeyKing";-0,530522216739735
"RedTeamChampionMordekaiser";1,24010594595826
"RedTeamChampionNaafiri";-2,63527808094479
"RedTeamChampionNautilus";-1,28297013974026
"RedTeamChampionNidalee";0,657634223707159
"RedTeamChampionOlaf";-0,438637356688262
"RedTeamChampionOrnn";-1,71257853250516
"RedTeamChampionPantheon";-1,1858676849514
"RedTeamChampionPoppy";-1,60805428948744
"RedTeamChampionRenekton";-0,420275940862169
"RedTeamChampionRengar";2,16756964657483
"RedTeamChampionRiven";-5,81792484513702
"RedTeamChampionRumble";-0,75319603532274
"RedTeamChampionRyze";2,03206018361826
"RedTeamChampionSejuani";-1,0561889773789
"RedTeamChampionSett";0,511081531270527
"RedTeamChampionShen";0,29928925230103
"RedTeamChampionSion";-2,41964179095827
"RedTeamChampionSivir";-9,3849542287839
"RedTeamChampionSwain";2,94945480459165
"RedTeamChampionSylas";-0,288992184540189
"RedTeamChampionUdyr";-0,660694078871823
"RedTeamChampionUrgot";3,72229199470857
"RedTeamChampionVarus";2,35005246733665
"RedTeamChampionVex";-0,47426374195587
"RedTeamChampionVi";-2,34218967157386
"RedTeamChampionVladimir";0,399280886415883
"RedTeamChampionVolibear";-0,223975570273077
"RedTeamChampionWarwick";1,55847752484385
"RedTeamChampionYasuo";-0,915178016879061
"RedTeamChampionYone";0,46871614077209
"RedTeamChampionYorick";-0,857589195860974
"RedTeamChampionZac";5,80764707346239
"BlueTeamPlayer1M Claww";0,858002035680668
"BlueTeamPlayer5M Crop";-3,06151793759321
"BlueTeamPlayer7D Dinastik";-14,2691551448453
"BlueTeamPlayer7D Wolfy";-1,95060082741507
"BlueTeamPlayerAFW NightSlayer";-0,696958634007936
"BlueTeamPlayerALFlandre";-0,161743992911677
"BlueTeamPlayerAMI Dcoy";-6,21702888701047
"BlueTeamPlayerANB Juzu";3,02199505316564
"BlueTeamPlayerANB Maged";2,2846691673929
"BlueTeamPlayerANB REV";2,67098718926753
"BlueTeamPlayerANC Deidara";1,28697796373607
"BlueTeamPlayerAOMA MaiYuk";0,149657364454447
"BlueTeamPlayerAPM Loading";-0,215653305619534
"BlueTeamPlayerARA WNTR";0,437093881918176
"BlueTeamPlayerAXL Kaylem";3,23417560870414
"BlueTeamPlayerAXL TheMountain";0,15423458214777
"BlueTeamPlayerB2TG Agresivoo";-2,13622300808239
"BlueTeamPlayerBAM handm";1,72797272086699
"BlueTeamPlayerBAR WhiteKnight";2,78497259269087
"BlueTeamPlayerBCT tol2";0,082839503042791
"BlueTeamPlayerBDG Mietek";3,31842786396836
"BlueTeamPlayerBDS Irrelevant";-0,729802120388912
"BlueTeamPlayerBDSA Hiro1";-1,68647596201281
"BlueTeamPlayerBDSA Papiteero";0,333510637611416
"BlueTeamPlayerBE5 Falleo";1,6224294661806
"BlueTeamPlayerBER Outskale";-6,6603507299703
"BlueTeamPlayerBFX Clear";-1,12050953787373
"BlueTeamPlayerBFX Soboro";-0,953784085559068
"BlueTeamPlayerBGT NuQ";5,25301284158363
"BlueTeamPlayerBIG Shelfmade";1,94972744761624
"BlueTeamPlayerBJK Photon";5,88081523050095
"BlueTeamPlayerBKD yokiha";-3,43268169573208
"BlueTeamPlayerBKR Szygenda";2,60893216296924
"BlueTeamPlayerBLDP Bong";4,92312093863387
"BlueTeamPlayerBLDP Yeti";5,85044728832611
"BlueTeamPlayerBLGBin";-4,24612410270026
"BlueTeamPlayerBLUE Qwacker";-3,12802219808028
"BlueTeamPlayerBRO Bull";-4,13387269787166
"BlueTeamPlayerBRO DDahyuk";-3,80287827427652
"BlueTeamPlayerBRO Levy";-1,63354420600483
"BlueTeamPlayerBRO Lonely";-6,15778592197062
"BlueTeamPlayerBRO Morgan";-0,917907057389535
"BlueTeamPlayerBRT Addusto";-1,26588325852248
"BlueTeamPlayerBVL Fantasyleaf";-4,78160283897776
"BlueTeamPlayerBVL udon";-4,06693389777429
"BlueTeamPlayerBW Bong";5,93758537884302
"BlueTeamPlayerBW Destroy";4,4042609028673
"BlueTeamPlayerBWE Surdinz";-9,01307587237952
"BlueTeamPlayerC9 Thanatos";-3,41109922436326
"BlueTeamPlayerCBC Kazunn1";-0,3802973189931
"BlueTeamPlayerCCG Crimson";-2,74646826132977
"BlueTeamPlayerCFO Driver";0,484559120296927
"BlueTeamPlayerCFO Rest";-0,740139158034145
"BlueTeamPlayerCFOA Zkai";-4,32170285680411
"BlueTeamPlayerCG Dionelux";-1,61928987395763
"BlueTeamPlayerCG Leks";1,88086907811559
"BlueTeamPlayerCGN Send0o";5,93113836838586
"BlueTeamPlayerCHF BioPanther";0,29098538532726
"BlueTeamPlayerCHF zorenous";-1,41025527628836
"BlueTeamPlayerCK gotae";-6,05702524013928
"BlueTeamPlayerCK Razer";-7,42387797553232
"BlueTeamPlayerCKZ Krosak";-0,0658324819265412
"BlueTeamPlayerCNA Fikus";8,30832447824882
"BlueTeamPlayerCNV Horder";-4,09885623983186
"BlueTeamPlayerCRZ Meoww";-8,19175035831966
