"";"x"
"(Intercept)";0,944409266878968
"BlueTeamChampionAshe";-1,00735567432992
"BlueTeamChampionBrand";-2,4608318792299
"BlueTeamChampionCaitlyn";-1,05525587946358
"BlueTeamChampionCorki";-1,08782580378476
"BlueTeamChampionDraven";-0,227622891840529
"BlueTeamChampionEzreal";-1,17797122361326
"BlueTeamChampionGalio";0,352988975120939
"BlueTeamChampionGnar";-2,72855727062243
"BlueTeamChampionHwei";5,77312311029978
"BlueTeamChampionJhin";-1,36977881228217
"BlueTeamChampionJinx";-0,724606430962214
"BlueTeamChampionKaisa";-1,05216235489722
"BlueTeamChampionKalista";-0,813823203925335
"BlueTeamChampionKogMaw";0,712207723588211
"BlueTeamChampionLeeSin";2,52954072899033
"BlueTeamChampionLucian";-0,915825128313627
"BlueTeamChampionLux";-3,07957542314473
"BlueTeamChampionMel";-2,14924591425217
"BlueTeamChampionMissFortune";-0,897481167971652
"BlueTeamChampionNilah";-4,39684380054922
"BlueTeamChampionRumble";3,60247367313064
"BlueTeamChampionSenna";0,558934900112509
"BlueTeamChampionSeraphine";-1,75278426633771
"BlueTeamChampionSion";0,216158494114582
"BlueTeamChampionSivir";-1,17916249117813
"BlueTeamChampionSmolder";-0,574721293261646
"BlueTeamChampionSwain";-1,50888707293438
"BlueTeamChampionTaliyah";-2,33065439504252
"BlueTeamChampionTristana";-1,32384445585122
"BlueTeamChampionTwitch";-1,11168309356594
"BlueTeamChampionVarus";-0,632010208443242
"BlueTeamChampionVayne";-1,55240604325965
"BlueTeamChampionViktor";7,76531670787959
"BlueTeamChampionXayah";-1,00709307589754
"BlueTeamChampionYasuo";1,18003770449544
"BlueTeamChampionZeri";-0,789129067093301
"BlueTeamChampionZiggs";-0,0529050515823717
"BlueTeamChampionZyra";-1,51761936505929
"RedTeamChampionAshe";-0,674804160534143
"RedTeamChampionBrand";-3,65169474227486
"RedTeamChampionCaitlyn";-0,369874431373774
"RedTeamChampionCassiopeia";-3,04937587965417
"RedTeamChampionCorki";0,172579590329654
"RedTeamChampionDraven";0,307513165699999
"RedTeamChampionEzreal";-0,281121394344589
"RedTeamChampionHwei";-2,71396217180297
"RedTeamChampionJhin";-0,217159064705732
"RedTeamChampionJinx";-0,364089676983995
"RedTeamChampionKaisa";0,0793218762939174
"RedTeamChampionKalista";-1,0174351245109
"RedTeamChampionKogMaw";-2,73372385508694
"RedTeamChampionLucian";-0,0269710752482705
"RedTeamChampionMel";-0,990605285023575
"RedTeamChampionMissFortune";-0,376091097868307
"RedTeamChampionNilah";-1,15261271121075
"RedTeamChampionOrianna";-1,37843341718298
"RedTeamChampionOrnn";-0,703379726686377
"RedTeamChampionRumble";5,08470586314604
"RedTeamChampionSenna";1,69344130810403
"RedTeamChampionSeraphine";-1,91749137836043
"RedTeamChampionSivir";0,190626716647752
"RedTeamChampionSmolder";-0,3475239792278
"RedTeamChampionSwain";-1,53190094907022
"RedTeamChampionTahmKench";-2,56679581167932
"RedTeamChampionTaliyah";-0,187692063761128
"RedTeamChampionTristana";-0,269844482774034
"RedTeamChampionTwitch";-0,761215673402363
"RedTeamChampionVarus";-0,385763269301417
"RedTeamChampionVayne";-1,39278964351
"RedTeamChampionVeigar";-5,77145402140586
"RedTeamChampionVelkoz";-0,677086084252751
"RedTeamChampionXayah";-0,449352028815419
"RedTeamChampionXerath";2,37729234088096
"RedTeamChampionYasuo";0,113611645193155
"RedTeamChampionZeri";-0,0860522266397439
"RedTeamChampionZiggs";-0,361460409318192
"BlueTeamPlayer1M MetroArcher";-0,538392806012468
"BlueTeamPlayer1M Unkn0wn";-0,767359079014747
"BlueTeamPlayer5M Ratao";3,22954919289868
"BlueTeamPlayer7D 6onza";6,16546290704044
"BlueTeamPlayer7D Hika";3,47775286489489
"BlueTeamPlayerAFW Vaynedeta";-3,72653589710403
"BlueTeamPlayerALHope";-0,164119420305998
"BlueTeamPlayerAMI Bazz1";0,305162981946087
"BlueTeamPlayerANB kehvo";-0,666274797107914
"BlueTeamPlayerANB Kehvo";0,128615594250109
"BlueTeamPlayerANB Mimic1";0,338750693197143
"BlueTeamPlayerANC Brizz";2,50975799450867
