"";"x"
"(Intercept)";0,283121933890314
"BlueTeamChampionAmumu";4,01148640706354
"BlueTeamChampionAnnie";-1,70895355812546
"BlueTeamChampionAshe";-3,54040749207668
"BlueTeamChampionBard";-0,719922680133881
"BlueTeamChampionBlitzcrank";-0,279983291380786
"BlueTeamChampionBraum";-0,578722344359945
"BlueTeamChampionCamille";5,211900956777
"BlueTeamChampionChogath";3,38192199441906
"BlueTeamChampionElise";0,139978553049094
"BlueTeamChampionFiddleSticks";-0,99106481860514
"BlueTeamChampionGalio";0,510376555198388
"BlueTeamChampionGragas";-1,50586134728247
"BlueTeamChampionHwei";6,14584570697403
"BlueTeamChampionJanna";-1,75246848836141
"BlueTeamChampionKarma";-1,1200062940037
"BlueTeamChampionLeblanc";-1,82753915845439
"BlueTeamChampionLeeSin";-0,615909827772935
"BlueTeamChampionLeona";0,20594185787448
"BlueTeamChampionLulu";-1,30021807507461
"BlueTeamChampionLux";0,46489315796993
"BlueTeamChampionMaokai";-0,330447277264428
"BlueTeamChampionMilio";0,118878186813059
"BlueTeamChampionMonkeyKing";-0,119189847321022
"BlueTeamChampionMorgana";-4,2828149913069
"BlueTeamChampionNami";-2,15219829829677
"BlueTeamChampionNautilus";-0,317385228172199
"BlueTeamChampionNeeko";-0,699687052450905
"BlueTeamChampionPantheon";1,10717216229009
"BlueTeamChampionPoppy";-0,650426562489514
"BlueTeamChampionPyke";-0,8892548762805
"BlueTeamChampionRakan";-0,847077051170086
"BlueTeamChampionRell";-0,0549323264870826
"BlueTeamChampionRenata";-0,260837554826886
"BlueTeamChampionSejuani";-1,03327213778327
"BlueTeamChampionSenna";1,03943076240946
"BlueTeamChampionSeraphine";-1,51247390889665
"BlueTeamChampionSett";-0,324804458733992
"BlueTeamChampionShen";-0,3016412258519
"BlueTeamChampionSona";-2,99910264694904
"BlueTeamChampionSoraka";-1,53033173193151
"BlueTeamChampionTahmKench";1,42944655434052
"BlueTeamChampionTaric";-0,914814579916995
"BlueTeamChampionThresh";-0,787727585727417
"BlueTeamChampionVeigar";-7,53932515562188
"BlueTeamChampionYuumi";-0,782501808805971
"BlueTeamChampionZac";2,06479935254461
"BlueTeamChampionZilean";-2,64416321064199
"BlueTeamChampionZyra";-2,70915852186277
"RedTeamChampionAmumu";0,462704938005129
"RedTeamChampionAnnie";1,5281476151036
"RedTeamChampionAshe";-0,488372224906359
"RedTeamChampionBard";-0,01782423243769
"RedTeamChampionBlitzcrank";-0,0884684259616088
"RedTeamChampionBraum";0,689381072321258
"RedTeamChampionCamille";-2,4298743171665
"RedTeamChampionElise";-0,0309463230392987
"RedTeamChampionFiddleSticks";-0,3364044219985
"RedTeamChampionGalio";0,738831261586257
"RedTeamChampionGragas";-0,512309754035774
"RedTeamChampionJanna";0,0664291820953844
"RedTeamChampionKarma";0,164775869763337
"RedTeamChampionKennen";-5,71335907805358
"RedTeamChampionLeblanc";-12,4160452003143
"RedTeamChampionLeona";-0,654459481450642
"RedTeamChampionLulu";0,282368354115621
"RedTeamChampionLux";2,14036082128726
"RedTeamChampionMaokai";-0,811112461459709
"RedTeamChampionMel";-0,436044882720217
"RedTeamChampionMilio";1,516771073975
