"";"Parameter_2";"Parameter_type";"Side";"Role";"Kills";"Deaths";"Assists";"CSAt15Min";"CSAtEnd";"GoldAt15Min";"GoldAtEnd";"Games_played.x";"Games_played.y"
"1";"(Intercept)";"(Intercept)";"(Intercept)";"bottom";0,163000103048823;0,944409266878968;-2,3570385366149;3,0778891064222;20,3992625374264;4,70579273350067;684,92431364064;NA;NA
"2";"(Intercept)";"(Intercept)";"(Intercept)";"jungle";1,56000084869219;-3,50125107428086;-2,44972102370707;-15,8705692997117;-35,6073554422245;246,358029768165;-188,790570457867;NA;NA
"3";"(Intercept)";"(Intercept)";"(Intercept)";"mid";-6,16373140254173;-2,57708670131627;-2,84734698076008;14,0002284913292;37,6879798979696;-1105,58407480562;-1490,94396344001;NA;NA
"4";"(Intercept)";"(Intercept)";"(Intercept)";"support";-0,0330677763552479;0,283121933890314;0,128033298844657;2,55092272329351;1,76433111777308;-150,134775893246;57,7644767936197;NA;NA
"5";"(Intercept)";"(Intercept)";"(Intercept)";"top";1,30926391491804;-1,30029012056345;3,23366100200986;-15,1129889986686;-1,91163420406599;-381,452752133205;1808,96831364922;NA;NA
"6";"100T Eyla";"Player";"Blue";"support";0;0;0;0;0;0;0;NA;8
"7";"100T Eyla";"Player";"Red";"support";0;0;0;0;0;0;0;NA;11
"8";"100T FBI";"Player";"Blue";"bottom";0;0;0;0;0;0;0;NA;8
"9";"100T FBI";"Player";"Red";"bottom";0;0;0;0;0;0;0;NA;11
"10";"100T Quid";"Player";"Blue";"mid";0;0;0;0;0;0;0;NA;8
"11";"100T Quid";"Player";"Red";"mid";0;0;0;0;0;0;0;NA;11
"12";"100T River";"Player";"Blue";"jungle";0;0;0;0;0;0;0;NA;8
"13";"100T River";"Player";"Red";"jungle";0;0;0;0;0;0;0;NA;11
"14";"100T Sniper";"Player";"Blue";"top";0;0;0;0;0;0;0;NA;8
"15";"100T Sniper";"Player";"Red";"top";0;0;0;0;0;0;0;NA;11
"16";"1M Claww";"Player";"Blue";"top";2,13764381380489;3,00229845053719;0,858002035680668;22,134551078965;11,9923048563561;271,766012749774;-285,641763785683;NA;16
"17";"1M Claww";"Player";"Red";"top";3,78440118448514;1,43658301469821;4,55144364252706;9,25096975138003;2,06628111919323;-87,1380454877391;1417,22212388116;NA;11
"18";"1M Djoko";"Player";"Blue";"jungle";4,71381141822489;-1,10947774023129;13,5216750431761;-15,9123696089115;8,7032271902488;-473,161639967678;2569,86777199113;NA;4
"19";"1M Djoko";"Player";"Red";"jungle";5,50443647092396;-4,00644780677714;14,6473111335457;-24,623852299908;-6,37194199718238;-811,847917730699;3837,42374640328;NA;4
"20";"1M Frozenn1";"Player";"Blue";"support";4,46310914378665;-11,6104347799188;28,6905755254246;3,13461945199479;10,0669141353222;1165,38937780057;4222,19675601021;NA;12
"21";"1M Frozenn1";"Player";"Red";"support";5,02678947003549;-13,2303458354115;33,4010870569377;5,55875074713534;8,60946863426808;1202,15549903761;5345,71824275407;NA;7
"22";"1M Leo S Man";"Player";"Blue";"support";5,00212239621639;-9,29813437795493;32,0163497101633;-8,00680895541322;-7,45112169965382;1223,89396503154;4857,9693460451;NA;4
"23";"1M Leo S Man";"Player";"Red";"support";5,65992063921555;-10,90653122566;23,9745453917976;-4,29006859428592;2,58205508147894;1039,66236046728;4253,5566014335;NA;4
"24";"1M MetroArcher";"Player";"Blue";"bottom";3,27163069449653;-0,538392806012468;2,42520329507489;-64,7644568990505;-25,0654631694974;-2051,71280284027;-297,199129469715;NA;4
"25";"1M MetroArcher";"Player";"Red";"bottom";5,31450629435965;-0,718360365382995;-0,00713604448993833;-40,0805075508147;-8,8605650172233;-1056,38895140388;2308,05932622769;NA;4
"26";"1M Noodle";"Player";"Blue";"jungle";3,66897209546813;-0,90159702342414;9,69217012474823;-20,537005030123;-12,9233258606395;-826,427823083187;1253,5344305381;NA;12
"27";"1M Noodle";"Player";"Red";"jungle";5,30654086472078;-4,5292320674891;15,0158346147272;-12,6952866733042;10,1045807189743;-371,093757355131;3811,44255859847;NA;7
"28";"1M Panda2";"Player";"Blue";"mid";5,26476605104058;-7,58382088883393;9,27834563927505;-10,6416634556979;-25,5516928693877;1194,40609788823;-310,061970561234;NA;4
"29";"1M Panda2";"Player";"Red";"mid";1,20264804847144;-7,87405531762658;8,32622881225734;0,390892992209514;12,8300392680189;564,107362711805;-1331,05823928865;NA;4
"30";"1M Sahira";"Player";"Blue";"mid";1,44234625802581;-5,81766632550754;8,47153468863655;-19,826952332064;-17,6557515799486;780,215427087345;-1928,39447874756;NA;12
"31";"1M Sahira";"Player";"Red";"mid";5,23703353918546;-8,56209318009961;10,1749585920461;-10,0743632288604;18,182764714775;991,975543662767;1044,40851755798;NA;7
"32";"1M Unkn0wn";"Player";"Blue";"bottom";4,62723714612747;-0,767359079014747;0,242307471064837;-33,2382985039582;24,6210012430244;-937,034260846517;1193,84229027212;NA;12
"33";"1M Unkn0wn";"Player";"Red";"bottom";8,15104430978915;-2,14297351820389;3,76517454406955;-29,1243364663769;45,3388173734928;-213,067092496474;4251,3876575191;NA;7
"34";"5M Azura";"Player";"Blue";"mid";-4,30883944365323;4,55616500577307;3,41344389376401;-40,5922026353778;-51,1125215710132;-1059,13417536767;-2782,4422123731;NA;1
"35";"5M Crop";"Player";"Blue";"top";-5,51208264309664;-0,890027846436031;-3,06151793759321;-35,4047626271205;-44,5899596797699;-954,884041339221;-6293,18084684684;NA;1
"36";"5M Profirio";"Player";"Blue";"support";1,77594556622808;-0,894435432854213;2,82762833487177;13,1181547737571;21,5943856968782;237,001451970666;979,327112970103;NA;1
"37";"5M Ratao";"Player";"Blue";"bottom";1,92251639017923;3,22954919289868;2,15171791994856;-0,809841724286454;-11,9488118419626;144,189927815268;-1308,10727801068;NA;1
"38";"5M Theop";"Player";"Blue";"jungle";-0,547774193058788;1,91625041555868;-1,314961809062;-23,4751814774503;-61,4879574062956;-955,804041280501;-2614,84822956118;NA;1
"39";"7D 6onza";"Player";"Blue";"bottom";-9,13416357355685;6,16546290704044;-6,2961991547771;-28,9478096849709;-72,5292578014731;-947,352985528285;-6307,59252297271;NA;1
"40";"7D AlluK";"Player";"Blue";"jungle";-5,30616843205406;5,33607713983695;-9,74415402835145;-18,5612720721805;-60,0914275681524;-834,930712429699;-5256,09687208258;NA;3
"41";"7D AlluK";"Player";"Red";"jungle";-4,5610793100711;1,11266030339809;1,94527381640422;-24,2645986197372;-53,9612419824077;-1435,4620326205;-2868,29009070112;NA;2
"42";"7D Dinastik";"Player";"Blue";"top";-6,83294682021927;0,254967663377819;-14,2691551448453;57,6012105068279;12,0822429456735;1570,25838719105;-4792,78755680279;NA;2
"43";"7D Dinastik";"Player";"Red";"top";-0,914564419179889;-1,19004622243731;-2,95204784840989;10,5425292637519;38,0965713999966;515,979177888084;872,758244901183;NA;2
"44";"7D Fortu";"Player";"Red";"support";0,591972646496969;7,38735166038997;-30,3624555443027;-10,9327786042019;-12,8714889094547;-1326,21438851473;-4054,77833198217;NA;1
"45";"7D Hika";"Player";"Blue";"bottom";-4,89967434767703;3,47775286489489;-8,87578304554587;-11,8408189076446;-21,2103960501148;-688,78291771445;-4400,20504253152;NA;2
"46";"7D Hika";"Player";"Red";"bottom";-1,03855761512143;-0,500428855522199;-3,61072901229711;-16,4692674843264;-7,46334123189981;-210,155204598136;-1839,66515802298;NA;3
"47";"7D Max";"Player";"Blue";"support";2,52290469930484;5,76439855622073;-26,9363696034623;2,57961859629616;-4,59438669150369;-346,60859490693;-2643,91494875172;NA;3
"48";"7D Max";"Player";"Red";"support";3,66309161988949;-1,49450562320137;2,53001664404938;-1,40981290551218;-7,58974286053384;-278,346072698919;1298,65885350451;NA;2
"49";"7D Saifer";"Player";"Blue";"mid";-5,97130616195831;2,27683305997308;-3,64739881262303;-29,6433508313413;-29,3992055718479;-965,136740983705;-3448,4311699465;NA;3
"50";"7D Saifer";"Player";"Red";"mid";0,386263031726935;2,95926033317112;-1,8052097634242;-31,1858768676408;-44,728249620285;-820,159625580887;-1888,15922375719;NA;3
"51";"7D Skratt";"Player";"Red";"jungle";-7,54016547313955;2,18582540376766;3,13984213945119;-5,12907992063881;-63,3452429046766;-1431,51863643228;-5403,63251597751;NA;1
"52";"7D Wolfy";"Player";"Blue";"top";-1,89566991355574;1,61238159732277;-1,95060082741507;11,7453509049296;-0,0629746377358166;444,193990095706;-1717,0809703233;NA;1
"53";"7D Wolfy";"Player";"Red";"top";0,326279220492444;-1,58928966853153;-2,06423093512765;25,7521207175942;-54,8187074770409;1613,87616366587;-1918,6985004849;NA;1
"54";"Aatrox";"Champion";"Blue";"top";0;0;0;0;0;0;0;94;NA
"55";"Aatrox";"Champion";"Red";"mid";0;0;0;0;0;0;0;1;NA
"56";"Aatrox";"Champion";"Red";"top";0;0;0;0;0;0;0;83;NA
"57";"ACE  2";"Player";"Red";"support";NA;NA;NA;NA;NA;NA;NA;NA;NA
"58";"AFW D4nKa";"Player";"Blue";"jungle";6,74009144841409;-1,70786097811476;13,8240143103628;-10,669772034096;-17,2855766977713;-16,6809788391077;2333,0581943948;NA;15
"59";"AFW D4nKa";"Player";"Red";"jungle";6,95112227914974;-3,80437773063941;16,0635930325302;2,49974110080415;12,0533423449785;133,411284915125;3438,08086751232;NA;17
"60";"AFW HungryPanda";"Player";"Blue";"support";6,0894964456662;-12,2394143958759;31,3709339966877;1,84712358552316;1,65195295336219;1615,41554786414;4551,27702012242;NA;15
"61";"AFW HungryPanda";"Player";"Red";"support";5,31770388585083;-12,6729010080178;33,6663453548128;0,170698927842553;1,83954857735177;1180,85873452902;4480,10667433544;NA;17
"62";"AFW Nano";"Player";"Blue";"mid";1,4210656264617;-6,62284200679235;11,2933424311495;-9,92180611558631;16,4898049554457;947,986221633283;-775,309425723445;NA;15
"63";"AFW Nano";"Player";"Red";"mid";3,66825267501628;-8,39370963647394;10,9077724983798;-2,65525588859817;48,4567936885718;1269,38655458003;936,693646223457;NA;17
"64";"AFW NightSlayer";"Player";"Blue";"top";1,53950173259511;1,96972462985213;-0,696958634007936;27,2081692713091;-0,327298267535677;191,53213082663;-1084,1134868913;NA;15
"65";"AFW NightSlayer";"Player";"Red";"top";3,39722550721093;-0,153167633063375;3,8906528418201;10,4907856767876;-1,41376106706105;45,4962978512968;1196,60471381594;NA;17
"66";"AFW Vaynedeta";"Player";"Blue";"bottom";8,10395522417715;-3,72653589710403;3,73217025126698;-26,9339744940448;16,0199530185578;-382,823937083038;2265,49556871613;NA;15
"67";"AFW Vaynedeta";"Player";"Red";"bottom";10,8153357413092;-4,18064561962547;5,07025136843015;-20,7581341880403;36,2802169454883;27,8183736525897;4506,65936696701;NA;17
"68";"Ahri";"Champion";"Blue";"mid";0;0;0;0;0;0;0;211;NA
"69";"Ahri";"Champion";"Red";"mid";-8,61331027788402;-0,82697463542179;-1,68123067548057;4,51848899441013;9,54421548964803;-1288,02491779292;-3049,04735048322;231;NA
"70";"Akali";"Champion";"Blue";"mid";0,813433889481133;0,757997611072187;-2,44788589986098;-2,43136383400378;-6,6924306956546;-8,06985202895167;13,868337529758;84;NA
"71";"Akali";"Champion";"Blue";"top";1,47247549404449;0,842211030018706;-2,17527193934989;15,049706426904;11,9282583943302;592,024458465445;745,146016158413;13;NA
"72";"Akali";"Champion";"Red";"mid";-7,5373649148011;-0,268146396039702;-3,5261004252924;7,27419534849154;8,36150849805978;-1041,4540961373;-2689,35530813168;74;NA
"73";"Akali";"Champion";"Red";"top";0,814413423803387;0,304161533256903;2,4979490962992;10,655106630309;36,6667551790473;221,528531486898;1518,36859949153;2;NA
"74";"Akshan";"Champion";"Red";"mid";2,17294086480435;-1,51820023591822;-7,12349887941631;1,54192298879091;48,5576338897207;-1249,5222045551;4013,00641094995;1;NA
"75";"ALFlandre";"Player";"Blue";"top";0,495248974642787;-0,179030461710119;-0,161743992911677;10,4380779525409;26,2478735157992;292,665706263749;-314,582467881109;NA;19
"76";"ALFlandre";"Player";"Red";"top";1,74632105206756;-0,938931916020734;2,5830836665525;-5,21210656562915;23,6129299935758;-63,8312834430743;1392,51914438523;NA;16
"77";"ALHope";"Player";"Blue";"bottom";1,57590227745053;-0,164119420305998;-0,52054928442288;7,19182185879535;-9,89835215929379;203,196195915305;-389,048700900177;NA;19
"78";"ALHope";"Player";"Red";"bottom";3,05577259796631;-0,120613201478615;1,30303597688644;8,34713498192829;2,83182471622499;504,964473791929;1488,15942610203;NA;16
"79";"Alistar";"Champion";"Blue";"support";0;0;0;0;0;0;0;292;NA
"80";"Alistar";"Champion";"Red";"support";0;0;0;0;0;0;0;267;NA
"81";"ALKael";"Player";"Blue";"support";-0,483240592458572;-0,695605503682791;3,20532084333659;3,86870509439781;9,08998824770543;-9,90174851289916;285,027423373423;NA;19
"82";"ALKael";"Player";"Red";"support";-0,0787540174327478;-1,53346793606057;5,63819130593406;6,69103387861262;9,48221552350951;-99,5010403604054;433,315350074744;NA;16
"83";"ALShanks";"Player";"Blue";"mid";-0,800182514070689;0,0710787718459997;2,8776519589349;-5,10075092407959;1,1213158335492;-74,2479357943465;-65,1439286742605;NA;19
"84";"ALShanks";"Player";"Red";"mid";1,49292976717846;-1,47568562886429;2,0753635836394;4,20633973766457;18,6905025981829;40,936862461714;980,577773736067;NA;16
"85";"ALTarzan";"Player";"Blue";"jungle";-0,128495242435903;0,229511499602394;2,02791235411827;3,86471705036871;5,70484517799088;188,884237213146;-330,186821286432;NA;19
"86";"ALTarzan";"Player";"Red";"jungle";0,829705811740505;-2,53022170606207;4,7101731825616;12,2436155177449;35,600120524739;364,042136071035;1406,80320865331;NA;16
"87";"Ambessa";"Champion";"Blue";"jungle";0;0;0;0;0;0;0;6;NA
"88";"Ambessa";"Champion";"Blue";"mid";-2,29628387323053;1,85318797411209;-2,17640660419493;-10,1818085649862;-17,9392573312436;-544,509811738354;-1012,71357626293;19;NA
"89";"Ambessa";"Champion";"Blue";"top";0,728000616102445;-0,0495650081891785;-0,153034331177369;-2,69956778252347;0,0322092739124729;36,311882850211;401,369165304173;351;NA
"90";"Ambessa";"Champion";"Red";"jungle";0;0;0;0;0;0;0;4;NA
"91";"Ambessa";"Champion";"Red";"mid";-7,95133213337753;-0,380488503157416;-5,35946125085133;-0,461399328046083;8,36932284623518;-1433,77344873798;-2908,2654269333;15;NA
"92";"Ambessa";"Champion";"Red";"top";1,00255953348347;-0,344953150017133;0,296172335373588;-2,44405131774994;-0,488772049787269;8,46751660424525;517,567627561088;315;NA
"93";"AMI Bazz1";"Player";"Blue";"bottom";-0,953656479696217;0,305162981946087;-2,83466408189197;-12,0200787567664;-49,7138095130611;-146,163882873455;-2882,31300603839;NA;5
"94";"AMI Bazz1";"Player";"Red";"bottom";0,613969243690679;-1,35570938327502;0,441141030764849;3,96984874866;1,39352650759164;634,635039611761;-266,628148945594;NA;7
"95";"AMI Dcoy";"Player";"Blue";"top";-2,43366268241337;1,88951528202594;-6,21702888701047;-3,88096056702345;8,08251263682495;-679,180438747649;-2798,98855730902;NA;5
